index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
3087,chartwell royal oak long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,1750,division road n,N9Y4G7,kingsville,on,,Kingsville,3537013,35,42.0501946,-82.7375796
3088,chartwell royal on gordon retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1691,gordon street,N1L1E1,guelph,on,,Guelph,3523008,35,43.50287752,-80.19348183
3089,chartwell royalcliffe retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,609,wharncliffe road s,N6J2N7,london,on,,London,3539036,35,42.95257037,-81.26148042
3090,chartwell scarlett heights retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,4005,eglinton avenue w,M9A5H3,toronto,on,,Toronto,3520005,35,43.68288858,-79.52073923
3091,chartwell southwind retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1645,paris street,P3E6L5,sudbury,on,,Greater Sudbury / Grand Sudbury,3553005,35,46.45963938,-81.00297678
3092,chartwell st. clair beach retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,13500,riverside drive e,N8N0C3,windsor,on,,Tecumseh,3537048,35,42.32599578,-82.86564416
3093,chartwell stillwater creek retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,2018,robertson road,K2H1C6,ottawa,on,,Ottawa,3506008,35,45.32345073,-75.82748427
3094,chartwell stonehaven retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,70,stonehaven drive,K2M3B4,ottawa,on,,Ottawa,3506008,35,45.29185263,-75.85586078
3095,chartwell terrace on the square retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,100,caroline street s,N2L1X5,waterloo,on,,Waterloo,3530016,35,43.4609376,-80.52157873
3096,chartwell thunder bay retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,770,arundel street,P7A8C8,thunder bay,on,,Thunder Bay,3558004,35,48.46526737,-89.20749116
3097,chartwell tiffin retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,105,pillsbury drive,L4R0E7,midland,on,,Midland,3543074,35,44.7428346,-79.8554069
3098,chartwell tranquility place retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,436,powerline road,N3T6G5,brantford,on,,Brantford,3529006,35,43.18565986,-80.27885003
3099,chartwell trilogy long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,340,mccowan road,M1J3P4,toronto,on,,Toronto,3520005,35,43.73848531,-79.23864245
3100,chartwell valley vista retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,600,valley vista drive,L6A4H2,vaughan,on,,Vaughan,3519028,35,43.85950242,-79.48212453
3101,chartwell van horne retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,25,van horne avenue,K7A5L2,smiths falls,on,,Smiths Falls,3509004,35,44.88141425,-76.0128102
3102,chartwell waterford long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,2140,baronwood drive,L6M4V6,oakville,on,,Oakville,3524001,35,43.42715623,-79.76303438
3103,chartwell waterford retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,2160,baronwood drive,L6M0Y1,oakville,on,,Oakville,3524001,35,43.42740353,-79.76329719
3104,chartwell wedgewood retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,15,market street e,K6V0A6,brockville,on,,Brockville,3507015,35,44.59067871,-75.68220626
3105,chartwell wellington park retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,181,janefield avenue,N1G1V2,guelph,on,,Guelph,3523008,35,43.51693402,-80.24516065
3106,chartwell wenleigh long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,2065,leanne boulevard,L5K2L6,mississauga,on,,Mississauga,3521005,35,43.52485635,-79.65178876
3107,chartwell westbury long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,495,the west mall,M9C5S3,toronto,on,,Toronto,3520005,35,43.64832328,-79.56767874
3108,chartwell westmount long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,200,david bergey drive,N2E3Y4,kitchener,on,,Kitchener,3530013,35,43.40613299,-80.51775782
3109,chartwell westmount on william retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,599,william avenue,P3A5E3,sudbury,on,,Greater Sudbury / Grand Sudbury,3553005,35,46.50942279,-80.94676907
3110,chartwell westmount retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,190,david bergey drive,N2E3Y4,kitchener,on,,Kitchener,3530013,35,43.40682679,-80.51801842
3111,chartwell whispering pines retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,140,letitia street,L4N1P5,barrie,on,,Barrie,3543042,35,44.3914871,-79.71751146
3112,chartwell white eagle long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,138,dowling avenue,M6K3A6,toronto,on,,Toronto,3520005,35,43.63717128,-79.4392265
3113,chartwell willowdale retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,9,armstrong drive,K7A5H7,smiths falls,on,,Smiths Falls,3509004,35,44.88178075,-76.0181318
3114,chartwell willowgrove long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,1217,old mohawk road,L9K1P6,hamilton,on,,Hamilton,3525005,35,43.23324649,-79.93527582
3115,chartwell woodhaven long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,380,church street,L6B1E1,markham,on,,Markham,3519036,35,43.88586653,-79.23093356
3116,chartwell wynfield long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,451,woodmount drive,L1G8E3,hampton,on,,Oshawa,3518013,35,43.94673256,-78.87267965
3117,chartwell wynfield retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,431,woodmount drive,L1K0P7,oshawa,on,,Oshawa,3518013,35,43.94642766,-78.87369675
3118,chateau glengarry,retirement home,Nursing and residential care facilities,Province of Ontario,,105,st paul street e,K0C1A0,alexandria,on,,North Glengarry,3501050,35,45.31112498,-74.63167517
3119,chateau park long term care home,long-term care home,Nursing and residential care facilities,Province of Ontario,,2990,riverside drive w,N9C1A2,windsor,on,,Windsor,3537039,35,42.30747117,-83.07313582
3120,chatham retirement resort,retirement home,Nursing and residential care facilities,Province of Ontario,,25,keil drive n,N7L5J9,chatham-kent,on,,Chatham-Kent,3536020,35,42.39499053,-82.21070246
3121,chatham-kent community health centres,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,1574,lincoln road,N8Y2J4,windsor,on,,Windsor,3537039,35,42.30600867,-83.005524
3122,chatham-kent family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,20,emma street,N7L5K5,chatham-kent,on,,Chatham-Kent,3536020,35,42.40658323,-82.19086776
3123,chatham-kent health alliance,general,Hospitals,Public Health Agency of Canada,,80,grand ave w,N7M5L9,chatham,on,80 grand ave. w. chatham on n7m 5l9,Chatham-Kent,3536020,35,42.405071,-82.193665
3124,chatham-kent health alliance - (css),community support service,Ambulatory health care services,Province of Ontario,,80,grand avenue w,N7M5L9,chatham-kent,on,,Chatham-Kent,3536020,35,42.40506643,-82.19364046
3125,chatham-kent health alliance - chatham site,hospital - corporation,Hospitals,Province of Ontario,,80,grand avenue w,N7M5L9,chatham,on,,Chatham-Kent,3536020,35,42.40588433,-82.19401776
3126,chatham-kent health alliance - sydenham district hospital campus,general,Hospitals,Public Health Agency of Canada,,325,margaret ave,N8A2A7,wallaceburg,on,325 margaret ave. wallaceburg on n8a 2a7,Chatham-Kent,3536020,35,42.598468,-82.366871
3127,chatham-kent health alliance - sydenham site,hospital - site,Hospitals,Province of Ontario,,325,margaret avenue,N8A2A7,wallaceburg,on,,Chatham-Kent,3536020,35,42.59738676,-82.36690003
3128,chatham-kent health alliance ó chatham campus,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,N7M5L9,chatham,on,,,,35,,
3129,chatham-kent health alliance ó sydenham campus,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,N8A2A7,wallaceburg,on,,,,35,,
3130,chatham-kent health unit,public health unit office,Ambulatory health care services,Province of Ontario,,435,grand avenue w,N7M5L8,chatham-kent,on,,Chatham-Kent,3536020,35,42.4038131,-82.2085925
3131,chelsey park,long-term care home,Nursing and residential care facilities,Province of Ontario,,310,oxford street w,N6H4N6,london,on,,London,3539036,35,42.98760838,-81.27670392
3132,chelsey park retirement community,retirement home,Nursing and residential care facilities,Province of Ontario,,312,oxford street w,N6H4N7,london,on,,London,3539036,35,42.98779818,-81.27690042
3133,cheltenham care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,5935,bathurst street,M2R1Y8,toronto,on,,Toronto,3520005,35,43.7818402,-79.44446061
3134,cheshire homes (hastings-prince edward) inc.,community support service,Ambulatory health care services,Province of Ontario,,41,pinnacle street s,K8N3A1,belleville,on,,Belleville,3512005,35,44.15840816,-77.37946428
3135,cheshire homes - peel cheshire homes inc. (brampton),community support service,Ambulatory health care services,Province of Ontario,,156,murray street,L6X3L7,brampton,on,,Brampton,3521010,35,43.69888777,-79.78024741
3136,cheshire homes - peel cheshire homes inc. (streetsville),community support service,Ambulatory health care services,Province of Ontario,,361,queen street s,L5M1M3,mississauga,on,,Mississauga,3521005,35,43.57605736,-79.70511818
3137,"cheshire homes of london, inc.",community support service,Ambulatory health care services,Province of Ontario,,1111,elias street,N5W5L1,london,on,,London,3539036,35,42.99846998,-81.2152564
3138,chester village,long-term care home,Nursing and residential care facilities,Province of Ontario,,3555,danforth avenue,M1L1E3,toronto,on,,Toronto,3520005,35,43.6936488,-79.27484865
3139,chez nous retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,6815,tecumseh road,N0R1N0,lakeshore,on,,Lakeshore,3537064,35,42.30451789,-82.54951356
3140,chiefs of ontario,community support service,Ambulatory health care services,Province of Ontario,,468,queen street e,M5A1T7,toronto,on,,Toronto,3520005,35,43.65697389,-79.36050608
3141,child and parent resource institute,psychiatric,Hospitals,Public Health Agency of Canada,,600,sanatorium rd,N6H3W7,london,on,600 sanatorium rd. london on n6h 3w7,London,3539036,35,42.9673109,-81.3337064
3142,children's centre thunder bay,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,283,lisgar street,P7B6G6,thunder bay,on,,Thunder Bay,3558004,35,48.42375406,-89.23147636
3143,children's hospital of eastern ontario,hospital - corporation,Hospitals,Province of Ontario,,401,smyth road,K1H8L1,ottawa,on,,Ottawa,3506008,35,45.4007668,-75.652152
3144,children's hospital of eastern ontario (cheo),mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,2675,queensview drive,K2B8K2,ottawa,on,,Ottawa,3506008,35,45.35305824,-75.78762576
3145,chinese family services of ontario,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,3330,midland avenue,M1V5E7,toronto,on,,Toronto,3520005,35,43.80799722,-79.28979207
3146,chippewas of georgina island first nations,community support service,Ambulatory health care services,Province of Ontario,,,rr 2,L0E1R0,georgina,on,,West Elgin,3534042,35,42.604781,-81.60574
3147,chippewas of kettle and stony point home support program,community support service,Ambulatory health care services,Province of Ontario,,6275,indian lane,N0N1J1,lambton shores,on,,Kettle Point 44,3538056,35,43.17887838,-81.99593417
3148,chippewas of nawash unceded first nation,community support service,Ambulatory health care services,Province of Ontario,,135,lakeshore boulevard,N0H2T0,wiarton,on,,Neyaashiinigmiing 27,3541060,35,44.90715112,-81.02254923
3149,chippewas of rama,community support service,Ambulatory health care services,Province of Ontario,,5884,rama road,L3V6H6,orillia,on,,Mnjikaning First Nation 32,3543050,35,44.64654896,-79.35164566
3150,chippewas of saugeen (css),community support service,Ambulatory health care services,Province of Ontario,,57,mason drive,N0H2L0,southampton,on,,Saugeen 29,3541057,35,44.51468384,-81.34409219
3151,chippewas of the thames band (css),community support service,Ambulatory health care services,Province of Ontario,,,,,muncey,on,,Chippewas of the Thames First Nation 42,3539017,35,42.82015534,-81.44030796
3152,chirs,community support service,Ambulatory health care services,Province of Ontario,,62,finch avenue w,M2N7G1,toronto,on,,Toronto,3520005,35,43.77882471,-79.42092451
3153,"choices for change: alcohol, drug and gambling counselling centre",mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,29,kingston street,N7A3K2,goderich,on,,Goderich,3540028,35,43.74248749,-81.70993313
3154,choices living retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,326,12 street,N4N1V6,hanover,on,,Hanover,3542029,35,44.15403169,-81.02729035
3155,christie gardens,retirement home,Nursing and residential care facilities,Province of Ontario,,600,melita crescent,M6G3Z4,toronto,on,,Toronto,3520005,35,43.67304599,-79.4223122
3156,christie oaks care home,retirement home,Nursing and residential care facilities,Province of Ontario,,128,cobblehill road,L7J2N6,acton,on,,Halton Hills,3524015,35,43.62283575,-80.04369409
3157,churchill place,retirement home,Nursing and residential care facilities,Province of Ontario,,345,church street,L6J7G4,oakville,on,,Oakville,3524001,35,43.44942594,-79.66593136
3158,cilt (centre for independent living in toronto) (df),community support service,Ambulatory health care services,Province of Ontario,,365,bloor street e,M4W3L4,toronto,on,,Toronto,3520005,35,43.67192409,-79.37797418
3159,circle of home care services (toronto),community support service,Ambulatory health care services,Province of Ontario,,4211,yonge street,M2P2A9,toronto,on,,Toronto,3520005,35,43.7481786,-79.407177
3160,cite parkway retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,380,leboutillier avenue,K1K3W3,ottawa,on,,Ottawa,3506008,35,45.44484246,-75.63376962
3161,city housing hamilton,community support service,Ambulatory health care services,Province of Ontario,,55,hess street s,L8N4E5,hamilton,on,,Hamilton,3525005,35,43.25702279,-79.87796231
3162,city of hamilton,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,21,hunter street e,L8N1M2,hamilton,on,,Hamilton,3525005,35,43.25355619,-79.8686684
3163,city of hamilton ó macassa lodge,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L8V3M7,hamilton,on,,Hamilton,,35,,
3164,city of hamilton ó wentworth lodge,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L9H4C4,dundas,on,,,,35,,
3165,city of kawartha lakes family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,55,angeline street n,K9V5B7,kawartha lakes,on,,Kawartha Lakes,3516010,35,44.35532244,-78.75488564
3166,city of lakes family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,960,notre dame avenue,P3A2T4,sudbury,on,,Greater Sudbury / Grand Sudbury,3553005,35,46.51756439,-80.98200638
3167,city of mississauga -the next step to active living program,community support service,Ambulatory health care services,Province of Ontario,,2233,south millway drive,L5L3H7,mississauga,on,,Mississauga,3521005,35,43.542555,-79.684402
3168,city of ottawa - adult day programs,community support service,Ambulatory health care services,Province of Ontario,,100,constellation crescent w,K2A4A4,ottawa,on,,Ottawa,3506008,35,45.34567414,-75.76391455
3169,city of ottawa ó carleton lodge,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K2C3H1,ottawa,on,,Ottawa,,35,,
3170,city of ottawa ó centre díacceuil champlain,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K1L5C6,ottawa,on,,Ottawa,,35,,
3171,city of ottawa ó peter d. clark centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K2G6P8,ottawa,on,,Ottawa,,35,,
3172,city of ottawa ó the armstrong home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K1N5M2,ottawa,on,,Ottawa,,35,,
3173,city of thunder bay ó dawson court,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P7A5C2,thunder bay,on,,Thunder Bay,,35,,
3174,city of thunder bay ó grandview lodge,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P7C5Y2,thunder bay,on,,Thunder Bay,,35,,
3175,city of thunder bay ó pioneer ridge,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P7B6R1,thunder bay,on,,Thunder Bay,,35,,
3176,city of toronto,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,277,victoria street,M5B1W2,toronto,on,,Toronto,3520005,35,43.65654429,-79.37938038
3177,city of toronto - long-term care homes & services - supportive housing,community support service,Ambulatory health care services,Province of Ontario,,55,john street,M5V3C6,toronto,on,,Toronto,3520005,35,43.64609738,-79.38896939
3178,city of toronto cummer lodge,community support service,Ambulatory health care services,Province of Ontario,,55,john street,M5V3C6,toronto,on,,Toronto,3520005,35,43.64609738,-79.38896939
3179,city of toronto ó bendale acres,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M1P2T8,scarborough,on,,,,35,,
3180,city of toronto ó carefree lodge,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M2N4S5,north york,on,,,,35,,
3181,city of toronto ó castleview wychwood towers,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M6G3C3,toronto,on,,Toronto,,35,,
3182,city of toronto ó fudger house,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M4X1K6,toronto,on,,Toronto,,35,,
3183,city of toronto ó kipling acres,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M9W4L3,etobicoke,on,,,,35,,
3184,city of toronto ó lakeshore lodge,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M8V3X5,etobicoke,on,,,,35,,
3185,city of toronto ó seven oaks,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M1E5E1,scarborough,on,,,,35,,
3186,city of toronto ó true davidson acres,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M4C5M8,toronto,on,,Toronto,,35,,
3187,city of toronto ó wesburn manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M9C5S1,etobicoke,on,,,,35,,
3188,city view retirement community,retirement home,Nursing and residential care facilities,Province of Ontario,,151,meadowlands drive w,K2G2S3,ottawa,on,,Ottawa,3506008,35,45.34284694,-75.75549625
3189,clair hills retirement community,retirement home,Nursing and residential care facilities,Province of Ontario,,530,columbia street w,N2T0B1,waterloo,on,,Waterloo,3530016,35,43.4629158,-80.58129925
3190,clarence-rockland fht,family health team - contract,Ambulatory health care services,Province of Ontario,,2741,chamberland street,K4K0B4,clarence-rockland,on,,Clarence-Rockland,3502036,35,45.54450839,-75.30124672
3191,clarendon foundation (cheshire homes) inc.,community support service,Ambulatory health care services,Province of Ontario,,10,overlea boulevard,M4H1A4,toronto,on,,Toronto,3520005,35,43.703519,-79.35245538
3192,clarion nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,337,hamilton regional road 8,L8G1E7,hamilton,on,,Hamilton,3525005,35,43.22037979,-79.72817146
3193,clinton family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,105,shipley street,N0M1L0,clinton,on,,Central Huron,3540025,35,43.62158548,-81.54194706
3194,clinton public hospital,hospital - corporation,Hospitals,Province of Ontario,,98,shipley street,N0M1L0,clinton,on,,Central Huron,3540025,35,43.62139358,-81.54264646
3195,closing the gap healthcare group inc.,community support service,Ambulatory health care services,Province of Ontario,,2810,matheson boulevard e,L4W4X7,mississauga,on,,Mississauga,3521005,35,43.66542478,-79.59519885
3196,cmha - waterloo wellington dufferin branch (css),community support service,Ambulatory health care services,Province of Ontario,,80,waterloo avenue,N1H0A1,guelph,on,,Guelph,3523008,35,43.53895392,-80.25186875
3197,cmha durham,nurse practitioner led clinic,Ambulatory health care services,Province of Ontario,,60,bond street w,L1G1A5,oshawa,on,,Oshawa,3518013,35,43.89821385,-78.86653234
3198,cmha york region,community support service,Ambulatory health care services,Province of Ontario,,1101,nicholson road,L3Y9C3,newmarket,on,,Newmarket,3519048,35,44.05729695,-79.42756963
3199,cnib,community support service,Ambulatory health care services,Province of Ontario,,1929,bayview avenue,M4G3E8,toronto,on,,Toronto,3520005,35,43.7179585,-79.37770879
3200,cnib - hamilton,community support service,Ambulatory health care services,Province of Ontario,,115,parkdale avenue s,L8K1H1,hamilton,on,,Hamilton,3525005,35,43.23365099,-79.79279368
3201,cnib - sudbury & manitoulin district,community support service,Ambulatory health care services,Province of Ontario,,303,york street,P3E2A5,sudbury,on,,Greater Sudbury / Grand Sudbury,3553005,35,46.47508828,-81.00634068
3202,cnib - thunder bay & district,community support service,Ambulatory health care services,Province of Ontario,,229,camelot street,P7A4B2,thunder bay,on,,Thunder Bay,3558004,35,48.43712077,-89.21925496
3203,cnib - timmins & district branch,community support service,Ambulatory health care services,Province of Ontario,,206,fifth avenue,P4N5L3,timmins,on,,Timmins,3556027,35,48.47744267,-81.32947753
3204,cnib york branch,community support service,Ambulatory health care services,Province of Ontario,,20,anne street s,L4N2C6,barrie,on,,Barrie,3543042,35,44.3813294,-79.70462585
3205,cobble creek residence inc.,retirement home,Nursing and residential care facilities,Province of Ontario,,210,woolwich street,N2K1S7,kitchener,on,,Kitchener,3530013,35,43.4909305,-80.48076562
3206,cobblestone gardens retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,10,ormond street n,L2V1Y7,thorold,on,,Thorold,3526037,35,43.1255125,-79.19884428
3207,cobourg retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,310,division street,K9A3R3,cobourg,on,,Cobourg,3514021,35,43.96202309,-78.16625532
3208,cochrane family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,233,8 street,P0L1C0,cochrane,on,,Cochrane,3556042,35,49.06972337,-81.0205325
3209,cochrane temiskaming resource centre,psychiatric,Ambulatory health care services,Public Health Agency of Canada,,600,toke st,P4N6W1,timmins,on,600 toke st. timmins on p4n 6w1,Timmins,3556027,35,48.488455,-81.317921
3210,coleman care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,140,cundles road w,L4N9X8,barrie,on,,Barrie,3543042,35,44.4011191,-79.71536396
3211,collingwood general & marine hospital,community support service,Ambulatory health care services,Province of Ontario,,459,hume street,L9Y1W9,collingwood,on,,Collingwood,3543031,35,44.49830249,-80.20249962
3212,collingwood general and marine hospital,general,Hospitals,Public Health Agency of Canada,,459,hume st,L9Y1W9,collingwood,on,459 hume st. collingwood on l9y 1w9,Collingwood,3543031,35,44.499502,-80.203407
3213,collingwood nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,250,campbell street,L9Y4J9,collingwood,on,,Collingwood,3543031,35,44.48264419,-80.22895893
3214,collingwood nursing home limited,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L9Y4J9,collingwood,on,,Collingwood,,35,,
3215,colonel by,retirement home,Nursing and residential care facilities,Province of Ontario,,43,aylmer avenue,K1S5R4,ottawa,on,,Ottawa,3506008,35,45.39488455,-75.68678253
3216,columbia forest,long-term care home,Nursing and residential care facilities,Province of Ontario,,650,mountain maple avenue,N2V2P7,waterloo,on,,Waterloo,3530016,35,43.4649426,-80.59136415
3217,"community & primary health care - lanark, leeds & grenville",community support service,Ambulatory health care services,Province of Ontario,,2235,parkedale avenue,K6V6B2,brockville,on,,Brockville,3507015,35,44.60729181,-75.69309047
3218,community addiction and mental health services of haldimand and norfolk,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,50,orchard avenue,N3Y3H1,simcoe,on,,Norfolk County,3528052,35,42.8343442,-80.31537241
3219,community addiction services of niagara,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,60,james street,L2R7E7,st catharines,on,,St. Catharines,3526053,35,43.159034,-79.2453008
3220,community care city of kawartha lakes,community health centre,Hospitals,Province of Ontario,,34,cambridge street s,K9V3B8,kawartha lakes,on,,Kawartha Lakes,3516010,35,44.35293494,-78.73833674
3221,"community care concepts of woolwich, wellesley and wilmot",community support service,Ambulatory health care services,Province of Ontario,,929,arthur street s,N3B2Z2,elmira,on,,Woolwich,3530035,35,43.55382081,-80.55436845
3222,community care durham,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,20,sunray street,L1N8Y3,whitby,on,,Whitby,3518009,35,43.87165105,-78.91437355
3223,community care for central hastings,community support service,Ambulatory health care services,Province of Ontario,,108,russel street,K0K2K0,madoc,on,,Centre Hastings,3512026,35,44.50625122,-77.47498334
3224,community care for south hastings inc.,community support service,Ambulatory health care services,Province of Ontario,,470,dundas street e,K8N1G1,belleville,on,,Belleville,3512005,35,44.16962,-77.353655
3225,community care haliburton county,community support service,Ambulatory health care services,Province of Ontario,,83,maple avenue,K0M1S0,haliburton,on,,Dysart et al,3546024,35,45.0472037,-78.5085521
3226,community care northumberland,community support service,Ambulatory health care services,Province of Ontario,,174,oliver road,K0L1L0,campbellford,on,,Trent Hills,3514045,35,44.31344677,-77.78917393
3227,community care peterborough,community support service,Ambulatory health care services,Province of Ontario,,185,hunter street e,K9H0H1,peterborough,on,,Peterborough,3515014,35,44.30685175,-78.3061161
3228,community counselling & addictions services,community support service,Ambulatory health care services,Province of Ontario,,1,meno ya-win way,P8T1A8,sioux lookout,on,,Sioux Lookout,3560034,35,50.10598388,-91.92799068
3229,community counselling centre of nipissing,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,361,mcintyre street e,P1B1C9,north bay,on,,North Bay,3548044,35,46.30725453,-79.46013696
3230,community head injury resources services of toronto,community support service,Ambulatory health care services,Province of Ontario,,62,finch avenue w,M2N7G1,toronto,on,,Toronto,3520005,35,43.77882471,-79.42092451
3231,"community health services - canadian red cross, chatham-kent branch",community support service,Ambulatory health care services,Province of Ontario,,240,grand avenue w,N7L1C1,chatham-kent,on,,Chatham-Kent,3536020,35,42.40256903,-82.19808246
3232,"community health services - canadian red cross, grey-bruce branch",community support service,Ambulatory health care services,Province of Ontario,,1450,1 avenue w,N4K5H1,owen sound,on,,Owen Sound,3542059,35,44.57429817,-80.94626397
3233,"community health services - canadian red cross, stratford-perth branch",community support service,Ambulatory health care services,Province of Ontario,,100,gordon street,N5A7T8,stratford,on,,Stratford,3531011,35,43.37196946,-80.96039426
3234,"community health services - canadian red cross, woodstock branch",community support service,Ambulatory health care services,Province of Ontario,,65,cedar pointe drive,L4N5R7,barrie,on,,Barrie,3543042,35,44.3835427,-79.71089355
3235,community home assistance to seniors (chats),community support service,Ambulatory health care services,Province of Ontario,,240,edward street,L4G3S9,aurora,on,,Aurora,3519046,35,43.98811134,-79.46177824
3236,community home support - lanark county,community support service,Ambulatory health care services,Province of Ontario,,40,sunset boulevard,K7H2Y4,perth,on,,Perth,3509021,35,44.90587334,-76.26567728
3237,community mental health & addictions,community support service,Ambulatory health care services,Province of Ontario,,50,charlton avenue e,L8N4A6,hamilton,on,,Hamilton,3525005,35,43.24835429,-79.8712476
3238,community mental health services (orillia soldiers memorial hospital,community support service,Ambulatory health care services,Province of Ontario,,170,colborne street w,L3V2Z3,orillia,on,,Orillia,3543052,35,44.60486835,-79.42560388
3239,community options program to employment (cope) - torchlight services,community support service,Ambulatory health care services,Province of Ontario,,30,edinburgh road n,N1H7J1,guelph,on,,Guelph,3523008,35,43.53781712,-80.25944745
3240,community services for independence north west,community support service,Ambulatory health care services,Province of Ontario,,1201,jasper drive,P7B6R2,thunder bay,on,,Thunder Bay,3558004,35,48.41941576,-89.25413207
3241,community support centre of essex county,community support service,Ambulatory health care services,Province of Ontario,,499,notre dame street,N0R1A0,lakeshore,on,,Lakeshore,3537064,35,42.29329099,-82.706011
3242,community support connections - meals on wheels and more,community support service,Ambulatory health care services,Province of Ontario,,61,woolwich street n,N0B1M0,breslau,on,,Woolwich,3530035,35,43.48506151,-80.4156287
3243,community support services of niagara region,community support service,Ambulatory health care services,Province of Ontario,,320,vansickle road,,st. catharines,on,,St. Catharines,3526053,35,43.1448129,-79.2697296
3244,conestoga lodge,retirement home,Nursing and residential care facilities,Province of Ontario,,55,hugo crescent,N2M5J1,kitchener,on,,Kitchener,3530013,35,43.43042349,-80.49063072
3245,conmed health care group ó billings court manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L7N3N6,burlington,on,,Burlington,,35,,
