address,LHIN,licensee,management,home type,short stay,residents council,family council,accreditation,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,Pruid,latitude,longitude
155 John Street East,South West,Atk Care Inc.,,For-Profit,Yes,Yes,No,Yes,Exeter, N0M1S1,47.0,18.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,exeter villa,0,0,<5,Active,South Huron,3540005.0,35.0,43.34653763,-81.47441712
550 Cummer Avenue,Central,Extendicare (Canada) Inc.,,For-Profit,Yes,Yes,Yes,Yes,North York, M2K2M2,205.0,34.0,"(31.0, 46.0]",2.0,11.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,extendicare bayview,60,8,13,Active,Toronto,3520005.0,35.0,43.79341251,-79.3906724
7891 Mclaughlin Road,Central West,Extendicare (Canada) Inc.,,For-Profit,No,Yes,Yes,Yes,Brampton, L6Y5H8,150.0,26.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,extendicare brampton,13,<5,<5,Active,Brampton,3521010.0,35.0,43.65536347,-79.7356338
130 New Densmore Road,Central East,Extendicare (Canada) Inc.,,For-Profit,No,Yes,Yes,Yes,Cobourg, K9A5W2,69.0,42.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,extendicare cobourg,,,,,Cobourg,3514021.0,35.0,43.9837753,-78.17209322
281 Falconbridge Road,North East,Extendicare (Canada) Inc.,,For-Profit,Yes,Yes,Yes,Yes,Sudbury, P3A5K4,234.0,67.0,"(46.0, 172.0]",3.0,40.0,"(23.0, 86.0]",3.0,19.0,"(11.0, 44.0]",3.0,extendicare falconbridge,,,,,Greater Sudbury / Grand Sudbury,3553005.0,35.0,46.50713379,-80.93753367
60 Guildwood Parkway,Central East,Extendicare (Canada) Inc.,,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1E1N9,169.0,39.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,extendicare guildwood,36,7,12,Active,Toronto,3520005.0,35.0,43.74686311,-79.20313123
167 Park Street P.O. Box 780,Central East,Extendicare (Canada) Inc.,,For-Profit,No,Yes,Yes,Yes,Haliburton, K0M1S0,60.0,20.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,extendicare haliburton,,,,,Dysart et al,3546024.0,35.0,45.051712,-78.502471
9 Lindsay Court,Mississauga Halton,Extendicare (Canada) Inc.,,For-Profit,No,Yes,Yes,Yes,Georgetown, L7G6G9,130.0,45.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,extendicare halton hills,,,,,Halton Hills,3524015.0,35.0,43.64922616,-79.94812796
90 Chedmac Drive,Hamilton Niagara Haldimand Brant (Hnhb),Extendicare (Canada) Inc.,,For-Profit,No,Yes,Yes,Yes,Hamilton, L9C7S6,160.0,42.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,extendicare hamilton,,,,,Hamilton,3525005.0,35.0,43.23730029,-79.92136612
45 Ontario Street P.O. Box 460,North East,Extendicare (Canada) Inc.,,For-Profit,Yes,Yes,Yes,Yes,Kapuskasing, P5N2Y5,61.0,27.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,extendicare kapuskasing,,,,,Kapuskasing,3556066.0,35.0,49.41769224,-82.41017831
125 Colborne Street East,Central East,Extendicare (Canada) Inc.,,For-Profit,No,Yes,No,Yes,Lindsay, K0L2V0,64.0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,extendicare kawartha lakes,,,,,Kawartha Lakes,3516010.0,35.0,44.36383334,-78.72369584
309 Queen Mary Road,South East,Extendicare (Canada) Inc.,,For-Profit,No,Yes,Yes,Yes,Kingston, K7M6P4,150.0,28.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,extendicare kingston,,,,,Kingston,3510010.0,35.0,44.23934601,-76.53531092
155 Government Road East,North East,Extendicare (Canada) Inc.,,For-Profit,Yes,Yes,Yes,Yes,Kirkland Lake, P2N3P4,100.0,22.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,extendicare kirkland lake,,,,,Kirkland Lake,3554068.0,35.0,48.15597609,-80.02268375
19 Fraser Street,Central East,Extendicare (Canada) Inc.,,For-Profit,Yes,Yes,Yes,Yes,Lakefield, K0L2H0,100.0,19.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,extendicare lakefield,,0,,Inactive,Selwyn,3515015.0,35.0,44.42419477,-78.28153509999999
1715 Montreal Road,Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,No,Yes,Yes,Yes,Gloucester, K1J6N4,242.0,85.0,"(46.0, 172.0]",3.0,52.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,extendicare laurier manor,10,22,33,Active,Ottawa,3506008.0,35.0,45.44640676,-75.61084101
860 Waterloo Street,South West,Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Yes,Yes,Yes,Yes,London, N6A3W6,170.0,61.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,extendicare london,,,,,London,3539036.0,35.0,43.00042548,-81.24860602
650 Northern Avenue,North East,Extendicare (Canada) Inc.,,For-Profit,No,Yes,Yes,Yes,Sault Ste. Marie, P6B4J3,256.0,46.0,"(31.0, 46.0]",2.0,39.0,"(23.0, 86.0]",3.0,24.0,"(11.0, 44.0]",3.0,extendicare maple view of sault ste. marie,<5,0,0,Active,Sault Ste. Marie,3557061.0,35.0,46.5350635,-84.30335325
1865 Baseline Road,Champlain,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,No,Yes,No,Yes,Ottawa, K2C3K6,193.0,63.0,"(46.0, 172.0]",3.0,37.0,"(23.0, 86.0]",3.0,19.0,"(11.0, 44.0]",3.0,extendicare medex,,,,,Ottawa,3506008.0,35.0,45.35435184,-75.75821985
855 John Watt Boulevard,Mississauga Halton,Extendicare (Canada) Inc.,,For-Profit,No,Yes,Yes,Yes,Mississauga, L5W1G2,140.0,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,extendicare mississauga,,,,,Mississauga,3521005.0,35.0,43.63238897,-79.72791359
99 New Orchard Avenue,Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,No,Yes,No,Yes,Ottawa, K2B5E6,111.0,30.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,extendicare new orchard lodge,,,,,Ottawa,3506008.0,35.0,45.37526254,-75.77907516
82 Park Road North,Central East,Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Yes,Yes,Yes,Yes,Oshawa, L1J4L1,175.0,41.0,"(31.0, 46.0]",2.0,28.0,"(23.0, 86.0]",3.0,8.0,"(7.0, 11.0]",2.0,extendicare oshawa,<5,0,0,Active,Oshawa,3518013.0,35.0,43.89733765,-78.87514724
80 Alexander Avenue,Central East,Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Yes,Yes,Yes,Yes,Peterborough, K9J6B4,174.0,29.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,extendicare peterborough,,,,,Peterborough,3515014.0,35.0,44.29856245,-78.34564511
360 Croft Street,Central East,Extendicare (Canada) Inc.,,For-Profit,No,Yes,Yes,Yes,Port Hope, L1A4K8,128.0,29.0,"(21.0, 31.0]",1.0,21.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,extendicare port hope,,,,,Port Hope,3514020.0,35.0,43.96724219,-78.28414406
4551 East Road,South West,Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Yes,Yes,Yes,Yes,Port Stanley, N5L1J6,60.0,31.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,extendicare port stanley,,,,,Central Elgin,3534020.0,35.0,42.67066023,-81.20881357
551 Conlins Road,Central East,Extendicare (Canada) Inc.,,For-Profit,Yes,Yes,Yes,Yes,Toronto, M1B5S1,192.0,35.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,extendicare rouge valley,,0,,Inactive,Toronto,3520005.0,35.0,43.80332132,-79.18867764
3830 Lawrence Avenue East,Central East,Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1G1R6,154.0,31.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,extendicare scarborough,11,<5,8,Active,Toronto,3520005.0,35.0,43.76375641,-79.21012454
1255 North Talbot Road,Erie St. Clair,Extendicare (Canada) Inc.,,For-Profit,No,Yes,Yes,Yes,Windsor, N9G3A4,150.0,100.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,extendicare southwood lakes,0,0,<5,Active,Windsor,3537039.0,35.0,42.24130106,-82.97743668
283 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,No,Yes,Yes,Yes,St. Catharines, L2S1X7,153.0,27.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,extendicare st. catharines,,,,,St. Catharines,3526053.0,35.0,43.1300249,-79.2583408
114 Starwood Road,Champlain,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,No,Yes,Yes,Yes,Nepean, K2G3N5,192.0,54.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,extendicare starwood,,0,,Inactive,Ottawa,3506008.0,35.0,45.35366004,-75.75058715
2475 St. Alphonse Street,Erie St. Clair,Extendicare (Canada) Inc.,,For-Profit,No,Yes,Yes,Yes,Tecumseh, N8N2X2,128.0,66.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,extendicare tecumseh,,,,,Tecumseh,3537048.0,35.0,42.28214117,-82.88283156
62 St-Jean Avenue,North East,Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,No,Yes,Yes,Yes,Timmins, P4R0A6,121.0,39.0,"(31.0, 46.0]",2.0,25.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,extendicare timmins,<5,0,0,Active,Timmins,3556027.0,35.0,48.47746467,-81.37922804
143 Bruce Street P.O. Box 999,North East,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Yes,Yes,Yes,Yes,Haileybury, P0J1K0,60.0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,extendicare tri-town,,,,,Temiskaming Shores,3554020.0,35.0,47.4407208,-79.63014404
39 Van Daele Street,North East,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Yes,Yes,Yes,Yes,Sault Ste Marie, P6B4V3,100.0,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,extendicare van daele,,,,,Sault Ste. Marie,3557061.0,35.0,46.5295084,-84.32443156
2179 Elmira Drive,Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,No,Yes,Yes,Yes,Ottawa, K2C3S1,242.0,104.0,"(46.0, 172.0]",3.0,57.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,extendicare west end villa,0,0,<5,Active,Ottawa,3506008.0,35.0,45.35438354,-75.77592346
333 York Street,North East,Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Yes,Yes,Yes,Yes,Sudbury, P3E5J3,288.0,61.0,"(46.0, 172.0]",3.0,32.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,extendicare york,,0,,Inactive,Greater Sudbury / Grand Sudbury,3553005.0,35.0,46.47514368,-81.00771419
733 Third Line East,North East,F. J. Davey Home,,Non-Profit,No,Yes,Yes,Yes,Sault Ste Marie, P6A7C1,374.0,65.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,f. j. davey home,,,,,Sault Ste. Marie,3557061.0,35.0,46.552122100000005,-84.3119845
1934 Dufferin Avenue,Erie St. Clair,"Lapointe-fisher Nursing Home, Limited",,For-Profit,No,Yes,No,No,Wallaceburg, N8A4M2,99.0,32.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,fairfield park,,,,,Chatham-Kent,3536020.0,35.0,42.59425785,-82.41318124
881 Dutton Road,Central East,City And County Of Peterborough,,Municipal,Yes,Yes,Yes,Yes,Peterborough, K9H7S4,256.0,36.0,"(31.0, 46.0]",2.0,24.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,fairhaven,,,,,Peterborough,3515014.0,35.0,44.32761635,-78.3181676
2069 Battersea Road R. R. #1,South East,The Corporation Of The County Of Frontenac,,Municipal,No,Yes,No,Yes,Glenburnie, K0H1S0,128.0,34.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,fairmount home for the aged,,,,,Kingston,3510010.0,35.0,44.31346333,-76.4650418
14 Mill Street,North Simcoe Muskoka,Huntsville District Nursing Home Inc.,,Non-Profit,No,Yes,Yes,Yes,Huntsville, P1H2A4,76.0,21.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,fairvern nursing home,,,,,Huntsville,3544042.0,35.0,45.32656618,-79.21252868
632 Dundas Street West P.O. Box 300,Central East,Regional Municipality Of Durham,,Municipal,No,Yes,Yes,Yes,Whitby, L1N5S3,198.0,46.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,fairview lodge,0,0,<5,Active,Whitby,3518009.0,35.0,43.87912064,-78.95110927
75 Spring Street,Champlain,Almonte General Hospital,,Non-Profit,Yes,Yes,Yes,Yes,Almonte, K0A1A0,112.0,29.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,fairview manor,,,,,Mississippi Mills,3509030.0,35.0,45.2287855,-76.18998128
515 Langs Drive,Waterloo Wellington,Fairview Mennonite Homes,,Non-Profit,No,Yes,Yes,Yes,Cambridge, N3H5E4,84.0,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,fairview mennonite home,,,,,Cambridge,3530010.0,35.0,43.398556400000004,-80.34314607
14 Cross Street,Toronto Central,Fairview Nursing Home Limited,Specialty Care Inc.,For-Profit,No,Yes,Yes,Yes,Toronto, M6J1S8,108.0,33.0,"(31.0, 46.0]",2.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,fairview nursing home,,,,,Toronto,3520005.0,35.0,43.64812078,-79.4285026
7900 Mclaughlin Road South,Central West,Holland Christian Homes Inc.,,Non-Profit,No,Yes,Yes,Yes,Brampton, L6Y5A7,120.0,39.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,faith manor nursing home,<5,0,<5,Active,Brampton,3521010.0,35.0,43.65401717,-79.74139890000001
44 Wychwood Crescent,Central East,Axr Operating (National) Lp,,For-Profit,No,Yes,Yes,Yes,Fenelon Falls, K0M1N0,67.0,18.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,fenelon court,,,,,Kawartha Lakes,3516010.0,35.0,44.52846487,-78.73121905
437 First Avenue P.O. Box 340,Erie St. Clair,Fiddick's Nursing Home Limited,,For-Profit,No,Yes,Yes,Yes,Petrolia, N0N1R0,92.0,37.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,fiddick's nursing home,,,,,Petrolia,3538019.0,35.0,42.877897,-82.135951
1000 Ellesmere Road,Central East,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P5G2,224.0,43.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,fieldstone commons care community,,,,,Toronto,3520005.0,35.0,43.76728591,-79.27793126
233 Fourth Avenue,North East,Finlandia Nursing Home Limited,,For-Profit,Yes,Yes,Yes,Yes,Sudbury, P3B4C3,112.0,42.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,finlandia hoivakoti nursing home,0,0,<5,Active,Greater Sudbury / Grand Sudbury,3553005.0,35.0,46.48424888,-80.92711026
60 Westheights Drive,Waterloo Wellington,Revera Long Term Care Inc.,,For-Profit,Yes,Yes,Yes,Yes,Kitchener, N2N2A8,240.0,101.0,"(46.0, 172.0]",3.0,39.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,forest heights,166,46,59,Active,Kitchener,3530013.0,35.0,43.42864339,-80.52997973
6501 Campeau Drive,Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,Yes,Yes,Kanata, K2K3E9,160.0,42.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,forest hill,,,,,Ottawa,3506008.0,35.0,45.31439133,-75.9096673
330 King Street West,Central East,Revera Long Term Care Inc.,,For-Profit,Yes,Yes,Yes,Yes,Newcastle, L1B1G9,88.0,23.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,2.0,"(0.0, 5.0]",0.0,fosterbrooke,,,,,Toronto,3520005.0,35.0,43.64665448,-79.39003029
1800 O'Connor Drive,Toronto Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,No,Yes,Yes,Yes,East York, M4A1W7,158.0,43.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,fountain view care community,0,0,<5,Active,Toronto,3520005.0,35.0,43.7205599,-79.30496586
389 West Street,Hamilton Niagara Haldimand Brant (Hnhb),2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,No,Yes,Yes,Yes,Brantford, N3R3V9,122.0,64.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,fox ridge care community,,,,,Brantford,3529006.0,35.0,43.15692506,-80.25558282
67 15th Street P.O. Box 1538,North East,Foyer Hearst - Mattice - Soins De Sante,,Non-Profit,Yes,Yes,Yes,No,Hearst, P0L1N0,67.0,17.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,foyer des pionniers,,,,,Hearst,3556076.0,35.0,49.684844700000006,-83.67961927
655 Tanguay Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Foyer Richelieu Welland,,Non-Profit,No,Yes,Yes,No,Welland, L3B6A1,63.0,43.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,foyer richelieu welland,,,,,Welland,3526032.0,35.0,42.99062027,-79.22461408
1003 Limoges Road South,Champlain,Genesis Gardens Inc.,,For-Profit,No,Yes,Yes,Yes,Limoges, K0A2M0,57.0,66.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,foyer st-viateur nursing home,,,,,The Nation / La Nation,3502025.0,35.0,45.29369315,-75.22846107
24 Franklin Road,Erie St. Clair,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,No,Yes,Yes,Yes,Leamington, N8H4B7,120.0,56.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,franklin gardens long term care home,<5,0,<5,Active,Leamington,3537003.0,35.0,42.03083044,-82.59816325
"9756 County Road, #2 P.O. Box 305",South East,Manorcare Partners Ii,Eldercare Management & Consulting Corp.,For-Profit,No,Yes,No,Yes,Deseronto, K0K1X0,60.0,30.0,"(21.0, 31.0]",1.0,21.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,friendly manor nursing home,,,,,Greater Napanee,3511015.0,35.0,44.201206899999995,-77.0375329
225 Mary Street West,Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,Yes,Yes,Lindsay, K9V5K3,62.0,22.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,frost manor,,,,,Kawartha Lakes,3516010.0,35.0,44.342364,-78.747889
439 Sherbourne Street,Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Yes,Yes,Yes,Yes,Toronto, M4X1K6,250.0,21.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,fudger house,<5,0,0,Active,Toronto,3520005.0,35.0,43.66633069,-79.37402148
168 Scott Street,Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,St. Catharines, L2N1H2,200.0,56.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,garden city manor,<5,0,0,Active,St. Catharines,3526053.0,35.0,43.18091791,-79.2490312
1 Sand Beach Road,Toronto Central,Shaparrall Limited,,For-Profit,No,Yes,Yes,No,Etobicoke, M8V2W2,45.0,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,garden court nursing home,,,,,Toronto,3520005.0,35.0,43.60195707,-79.49680752
100 Aird Place,Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Yes,Yes,Yes,Yes,Kanata, K2L4H8,160.0,54.0,"(46.0, 172.0]",3.0,41.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,garden terrace,0,<5,<5,Active,Ottawa,3506008.0,35.0,45.30976033,-75.90097929999999
72 Town Centre Drive,Hamilton Niagara Haldimand Brant (Hnhb),Parkview Meadows Christian Retirement Village,,Non-Profit,No,Yes,Yes,No,Townsend, N0A1S0,64.0,18.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,2.0,"(0.0, 5.0]",0.0,gardenview long term care home,0,0,0,Active,Haldimand County,3528018.0,35.0,42.88836551,-80.14081206
200 Island Lodge Road,Champlain,City Of Ottawa,,Municipal,No,Yes,Yes,Yes,Ottawa, K1N5M2,180.0,69.0,"(46.0, 172.0]",3.0,52.0,"(23.0, 86.0]",3.0,21.0,"(11.0, 44.0]",3.0,garry j. armstrong home,,0,,Inactive,Ottawa,3506008.0,35.0,45.43785466,-75.68321333
671 Frank Street P.O. Box 10,South West,Corporation Of The County Of Bruce,,Municipal,No,Yes,Yes,No,Wiarton, N0H2T0,100.0,19.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,gateway haven long term care home,,,,,South Bruce Peninsula,3541055.0,35.0,44.74034089,-81.12803284
1115-10th Street East,South West,Grosvenor Health Care Partnership (No. 3),Revera Long Term Care Inc.,For-Profit,No,Yes,Yes,Yes,Owen Sound, N4K6B1,40.0,20.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,georgian heights,,,,,Owen Sound,3542059.0,35.0,44.56929937,-80.92272196
101 Thompsons Road,North Simcoe Muskoka,Corporation Of The County Of Simcoe,,Municipal,Yes,Yes,Yes,Yes,Penetanguishene, L9M0V3,143.0,22.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,georgian manor home for the aged,,,,,Penetanguishene,3543072.0,35.0,44.76796585,-79.91976266
500 Hogarth Avenue West,North West,Geraldton District Hospital,,Non-Profit,No,Yes,Yes,Yes,Geraldton, P0T1M0,19.0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,geraldton district hospital,,,,,Greenstone,3558075.0,35.0,49.7226939,-86.9547123
50 Gilmore Road,Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,No,Yes,Yes,Yes,Fort Erie, L2A2M1,80.0,16.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,gilmore lodge,,,,,Fort Erie,3526003.0,35.0,42.92080238,-78.91490397
950 Bank Street,Champlain,The Glebe Centre Incorporated,,Non-Profit,No,Yes,Yes,Yes,Ottawa, K1S5G6,254.0,42.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,18.0,"(11.0, 44.0]",3.0,glebe centre,,,,,Ottawa,3506008.0,35.0,45.39876525,-75.68635693
26 Elgin Street,Central East,Glen Hill Terrace Christian Homes Inc.,,Non-Profit,No,Yes,No,Yes,Bowmanville, L1C3C8,60.0,24.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,glen hill marnwood,,,,,Clarington,3518017.0,35.0,43.91589256,-78.68988509
264 King Street East,Central East,Glen Hill Terrace Christian Homes Inc.,,Non-Profit,Yes,Yes,No,Yes,Bowmanville, L1C1P9,199.0,57.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,glen hill strathaven,<5,0,0,Active,Clarington,3518017.0,35.0,43.91212066,-78.67361278
1900 Montreal Road,Champlain,The Corporation Of The City Of Cornwall,,Municipal,Yes,Yes,Yes,Yes,Cornwall, K6H7L1,132.0,42.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,glen-stor-dun lodge,,,,,Cornwall,3501012.0,35.0,45.02603103,-74.68347497
