,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,number_beds,lati,long
97,1217 Old Mohawk Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Ancaster, L9K1P6,24,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,chartwell willowgrove long term care residence,,,,,Hamilton,3525005,169,43.23,-79.94
98,380 Church Street,Central,For-Profit,Yes,No,Yes,Yes,Markham, L6B1E1,30,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,chartwell woodhaven long term care residence,0,0,<5,Active,Markham,3519036,192,43.89,-79.23
99,451 Woodmount Drive,Central East,For-Profit,No,Yes,Yes,Yes,Oshawa, L1G8E3,27,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,chartwell wynfield long term care residence,,,,,Oshawa,3518013,172,43.95,-78.87
100,2990 B Riverside Drive West,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N9C1A2,16,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,chateau park long term care home,,,,,Windsor,3537039,59,42.31,-83.07
101,310 Oxford Street West,South West,For-Profit,Yes,Yes,Yes,Yes,London, N6H4N6,73,"(46.0, 172.0]",3,36,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,chelsey park,,0,,Inactive,London,3539036,247,42.99,-81.28
102,5935 Bathurst Street,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M2R1Y8,30,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,cheltenham care community,,,,,Toronto,3520005,170,43.78,-79.44
103,3555 Danforth Avenue,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M1L1E3,23,"(21.0, 31.0]",1,7,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,chester village,,,,,Toronto,3520005,203,43.69,-79.27
104,337 Highway #8,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Stoney Creek, L8G1E7,22,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,clarion nursing home,,0,,Inactive,Hamilton,3525005,100,43.22,-79.73
105,140 Cundles Road West,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Barrie, L4N9X8,19,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,coleman care centre,,,,,Barrie,3543042,112,44.40,-79.72
106,250 Campbell Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,No,Collingwood, L9Y4J9,23,"(21.0, 31.0]",1,15,"(11.0, 16.0]",1,13,"(11.0, 44.0]",3,collingwood nursing home,,,,,Collingwood,3543031,60,44.48,-80.23
107,650 Mountain Maple Avenue,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Waterloo, N2V2P7,44,"(31.0, 46.0]",2,12,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,columbia forest,,,,,Waterloo,3530016,156,43.46,-80.59
108,55 The Queensway West,Mississauga Halton,For-Profit,Yes,Yes,Yes,Yes,Mississauga, L5B1B5,65,"(46.0, 172.0]",3,24,"(23.0, 86.0]",3,11,"(7.0, 11.0]",2,cooksville care centre,40,6,17,Active,Mississauga,3521005,192,43.57,-79.61
109,66 Roncesvalles Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,No,Toronto, M6R3A7,24,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,copernicus lodge,0,0,<5,Active,Toronto,3520005,228,43.64,-79.45
110,91 Tecumseh Road,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Chatham, N7M1B3,94,"(46.0, 172.0]",3,50,"(23.0, 86.0]",3,20,"(11.0, 44.0]",3,copper terrace,,,,,Chatham-Kent,3536020,138,42.40,-82.20
111,"R. R. #3, 317079 Hwy 6 & 10",South West,For-Profit,No,Yes,Yes,Yes,Chatsworth, N0H1G0,21,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,country lane long term care residence,,,,,Chatsworth,3542037,34,44.47,-80.90
112,10072 Oxbow Drive R.R. #3,South West,For-Profit,Yes,Yes,No,Yes,Komoka, N0L1R0,83,"(46.0, 172.0]",3,30,"(23.0, 86.0]",3,11,"(7.0, 11.0]",2,country terrace,,,,,Middlesex Centre,3539033,120,42.96,-81.44
113,440 County Road 8 R. R. #2,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Woodslee, N0R1V0,62,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,9,"(7.0, 11.0]",2,country village homes - woodslee,0,18,<5,Active,Kingsville,3537013,104,42.17,-82.72
114,221 Main Street R. R. #1,South West,Non-Profit,Yes,Yes,Yes,No,Ailsa Craig, N0M1A0,51,"(46.0, 172.0]",3,21,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,craigholme,,,,,North Middlesex,3539041,83,43.15,-81.53
115,102 Craiglee Drive,Central East,For-Profit,No,Yes,Yes,Yes,Scarborough, M1N2M7,65,"(46.0, 172.0]",3,26,"(23.0, 86.0]",3,17,"(11.0, 44.0]",3,craiglee nursing home,<5,<5,7,Active,Toronto,3520005,169,43.71,-79.25
116,143 Mary Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Creemore, L0M1G0,26,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,11,"(7.0, 11.0]",2,creedan valley care community,,,,,Clearview,3543005,95,44.33,-80.10
117,5200 Corporate Drive,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Burlington, L7L7G7,30,"(21.0, 31.0]",1,15,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,creek way village,,,,,Burlington,3524002,144,43.39,-79.78
118,4 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Fort Erie, L2A5M5,26,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,crescent park lodge,,,,,Fort Erie,3526003,68,42.91,-78.92
119,106 Crown Street,South East,For-Profit,Yes,Yes,Yes,Yes,Trenton, K8V6R3,24,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,crown ridge place,,,,,Quinte West,3512015,116,44.11,-77.56
120,205 Cummer Avenue,Central,Municipal,Yes,Yes,Yes,Yes,North York, M2M2E8,50,"(46.0, 172.0]",3,27,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,cummer lodge,<5,<5,0,Active,Toronto,3520005,391,43.79,-79.41
121,710 Southdale Road East,South West,Municipal,Yes,Yes,Yes,Yes,London, N6E1R8,76,"(46.0, 172.0]",3,33,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,dearness home for senior citizens,,,,,London,3539036,243,42.94,-81.22
122,150 Central Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,No,Yes,Grimsby, L3M4Z3,14,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,deer park villa,,,,,Grimsby,3526065,39,43.19,-79.54
123,70 Humberline Drive,Central West,For-Profit,No,Yes,Yes,Yes,Etobicoke, M9W7H3,33,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,deerwood creek care community,,,,,Toronto,3520005,160,43.73,-79.62
124,750 Gibraltar Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,Delhi, N4B3B3,27,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,3,"(0.0, 5.0]",0,delhi long term care centre,,,,,Norfolk County,3528052,60,42.84,-80.49
125,54 Eby Street,Waterloo Wellington,For-Profit,No,Yes,No,No,St. Jacobs, N0B2N0,10,"(0.0, 21.0]",0,6,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,derbecker's heritage house,,,,,Woolwich,3530035,73,43.54,-80.55
126,52 Neilson Drive,Mississauga Halton,Non-Profit,No,Yes,No,No,Etobicoke, M9C1V7,10,"(0.0, 21.0]",0,6,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,dom lipa,,0,,Inactive,Toronto,3520005,66,43.63,-79.57
127,277 Plymouth Road,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,Yes,Yes,Yes,Yes,Welland, L3B6E3,32,"(31.0, 46.0]",2,10,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,douglas h. rapelje lodge,,0,,Inactive,Welland,3526032,120,42.98,-79.25
128,501 St George Street P.O. BOX 430,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Port Dover, N0A1N0,38,"(31.0, 46.0]",2,16,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,dover cliffs,,,,,Norfolk County,3528052,70,42.79,-80.21
129,3595 Keele Street,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M3J1M7,63,"(46.0, 172.0]",3,22,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,downsview long term care centre,35,23,71,Active,Toronto,3520005,252,43.75,-79.49
130,151 Centre Street,Central West,Municipal,No,Yes,Yes,No,Shelburne, L0N1S4,24,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,dufferin oaks,<5,<5,6,Active,Shelburne,3522021,160,44.08,-80.20
131,533 Clarence Street P.O. Box 970,Champlain,Non-Profit,No,Yes,Yes,Yes,Winchester, K0C2K0,40,"(31.0, 46.0]",2,26,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,dundas manor nursing home,,,,,North Dundas,3501030,98,45.09,-75.36
132,39 Mary Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Hamilton, L8R3L8,52,"(46.0, 172.0]",3,21,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,dundurn place care centre,6,<5,<5,Active,Hamilton,3525005,201,43.26,-79.86
133,38 Black Diamond Road P.O. Box 68,South East,For-Profit,Yes,Yes,No,Yes,Cannifton, K0K1K0,24,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,e. j. mcquigge lodge,,,,,Belleville,3512005,57,44.20,-77.39
134,329 Eagle Street,Central,For-Profit,No,Yes,Yes,Yes,Newmarket, L3Y1K3,13,"(0.0, 21.0]",0,6,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,eagle terrace,<5,<5,<5,Active,Newmarket,3519048,70,44.05,-79.46
135,"1390 Highbury Avenue, North",South West,For-Profit,No,Yes,Yes,Yes,London, N5Y0B6,90,"(46.0, 172.0]",3,83,"(23.0, 86.0]",3,21,"(11.0, 44.0]",3,earls court village,9,<5,8,Active,London,3539036,128,43.03,-81.22
136,62 Big Bend Avenue P.O. Box 400,North East,Municipal,No,Yes,Yes,No,Powassan, P0H1Z0,18,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,eastholme home for the aged,,,,,Powassan,3549060,128,46.08,-79.36
137,420 The East Mall,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Etobicoke, M9B3Z9,38,"(31.0, 46.0]",2,16,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,eatonville care centre,142,40,56,Active,Toronto,3520005,247,43.65,-79.56
138,5016 Wellington County Road 29 R. R. #2,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Guelph, N1H6H8,17,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,eden house nursing home,,,,,Guelph/Eramosa,3523009,59,43.58,-80.17
139,428 Broad Street West,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Dunnville, N1A1T3,21,"(0.0, 21.0]",0,15,"(11.0, 16.0]",1,10,"(7.0, 11.0]",2,edgewater gardens long term care centre,,,,,Haldimand County,3528018,64,42.91,-79.63
140,40 Old Kingston Road,Central East,Non-Profit,No,Yes,Yes,No,Scarborough, M1E3J5,9,"(0.0, 21.0]",0,5,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,ehatare nursing home,,0,,Inactive,Toronto,3520005,32,43.78,-79.18
141,380 First Avenue North P.O. Box 7,South West,For-Profit,No,Yes,No,Yes,Chesley, N0G1L0,33,"(31.0, 46.0]",2,20,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,elgin abbey nursing home,,,,,Arran-Elderslie,3541043,27,44.31,-81.10
142,39262 Fingal Line R. R. #1,South West,Municipal,Yes,Yes,Yes,No,St. Thomas, N5P3S5,34,"(31.0, 46.0]",2,15,"(11.0, 16.0]",1,10,"(7.0, 11.0]",2,elgin manor,,,,,Southwold,3534024,90,42.77,-81.24
143,182 Yorkland Street,Central,For-Profit,Yes,Yes,Yes,Yes,Richmond Hill, L4S2M9,25,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,12,"(11.0, 44.0]",3,elginwood,,,,,Richmond Hill,3519038,124,43.90,-79.44
144,201-11th Street East,Champlain,For-Profit,No,Yes,Yes,Yes,Cornwall, K6H2Y6,39,"(31.0, 46.0]",2,24,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,heartwood (fka versa-care cornwall),,,,,,,118,45.03,-74.73
145,2100 Main Street,North East,For-Profit,Yes,Yes,Yes,Yes,Val Caron, P3N1S7,51,"(46.0, 172.0]",3,29,"(23.0, 86.0]",3,17,"(11.0, 44.0]",3,elizabeth centre,,,,,Greater Sudbury / Grand Sudbury,3553005,128,46.61,-81.03
146,35 Elm Grove Avenue,Toronto Central,For-Profit,No,Yes,No,Yes,Toronto, M6K2J2,14,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,elm grove living centre,44,17,43,Active,Toronto,3520005,126,43.64,-79.43
147,46 Elmwood Place West,South West,For-Profit,No,Yes,Yes,Yes,London, N6J1J2,49,"(46.0, 172.0]",3,19,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,elmwood place,<5,0,<5,Active,London,3539036,90,42.97,-81.27
148,170 Front Street P. O. Box 390,North West,Non-Profit,No,Yes,No,Yes,Emo, P0W1E0,9,"(0.0, 21.0]",0,5,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,emo health centre,,,,,Emo,3559019,12,48.63,-93.84
149,2132 Dundas Street West,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5K2K7,35,"(31.0, 46.0]",2,21,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,erin mills lodge nursing home,29,16,22,Active,Mississauga,3521005,86,43.53,-79.67
150,67 Bruce Street P.O. Box 7069,South West,For-Profit,Yes,Yes,Yes,Yes,Thornbury, N0H2P0,30,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,errinrung long term care home,,,,,The Blue Mountains,3542045,60,44.56,-80.46
151,825  Mckinnon Drive,North East,Non-Profit,No,Yes,Yes,Yes,Espanola, P5E1R4,10,"(0.0, 21.0]",0,6,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,espanola general hospital (operating as espanola nursing home-eldcap),,,,,Espanola,3552026,30,46.25,-81.78
152,825 Mckinnon Drive,North East,Non-Profit,No,Yes,Yes,Yes,Espanola, P5E1R4,16,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,espanola general hospital (operating as espanola nursing home-ltc),,,,,Espanola,3552026,32,46.25,-81.78
153,155 John Street East,South West,For-Profit,Yes,Yes,No,Yes,Exeter, N0M1S1,18,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,exeter villa,0,0,<5,Active,South Huron,3540005,47,43.35,-81.47
154,550 Cummer Avenue,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M2K2M2,34,"(31.0, 46.0]",2,11,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,extendicare bayview,60,8,13,Active,Toronto,3520005,205,43.79,-79.39
155,7891 Mclaughlin Road,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6Y5H8,26,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,extendicare brampton,13,<5,<5,Active,Brampton,3521010,150,43.66,-79.74
156,130 New Densmore Road,Central East,For-Profit,No,Yes,Yes,Yes,Cobourg, K9A5W2,42,"(31.0, 46.0]",2,20,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,extendicare cobourg,,,,,Cobourg,3514021,69,43.98,-78.17
157,281 Falconbridge Road,North East,For-Profit,Yes,Yes,Yes,Yes,Sudbury, P3A5K4,67,"(46.0, 172.0]",3,40,"(23.0, 86.0]",3,19,"(11.0, 44.0]",3,extendicare falconbridge,,,,,Greater Sudbury / Grand Sudbury,3553005,234,46.51,-80.94
158,60 Guildwood Parkway,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1E1N9,39,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,extendicare guildwood,36,7,12,Active,Toronto,3520005,169,43.75,-79.20
159,167 Park Street P.O. Box 780,Central East,For-Profit,No,Yes,Yes,Yes,Haliburton, K0M1S0,20,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,extendicare haliburton,,,,,Dysart et al,3546024,60,45.05,-78.50
160,9 Lindsay Court,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Georgetown, L7G6G9,45,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,extendicare halton hills,,,,,Halton Hills,3524015,130,43.65,-79.95
161,90 Chedmac Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L9C7S6,42,"(31.0, 46.0]",2,20,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,extendicare hamilton,,,,,Hamilton,3525005,160,43.24,-79.92
162,45 Ontario Street P.O. Box 460,North East,For-Profit,Yes,Yes,Yes,Yes,Kapuskasing, P5N2Y5,27,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,extendicare kapuskasing,,,,,Kapuskasing,3556066,61,49.42,-82.41
163,125 Colborne Street East,Central East,For-Profit,No,Yes,No,Yes,Lindsay, K0L2V0,15,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,extendicare kawartha lakes,,,,,Kawartha Lakes,3516010,64,44.36,-78.72
164,309 Queen Mary Road,South East,For-Profit,No,Yes,Yes,Yes,Kingston, K7M6P4,28,"(21.0, 31.0]",1,15,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,extendicare kingston,,,,,Kingston,3510010,150,44.24,-76.54
165,155 Government Road East,North East,For-Profit,Yes,Yes,Yes,Yes,Kirkland Lake, P2N3P4,22,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,extendicare kirkland lake,,,,,Kirkland Lake,3554068,100,48.16,-80.02
166,19 Fraser Street,Central East,For-Profit,Yes,Yes,Yes,Yes,Lakefield, K0L2H0,19,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,extendicare lakefield,,0,,Inactive,Selwyn,3515015,100,44.42,-78.28
167,1715 Montreal Road,Champlain,For-Profit,No,Yes,Yes,Yes,Gloucester, K1J6N4,85,"(46.0, 172.0]",3,52,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,extendicare laurier manor,10,22,33,Active,Ottawa,3506008,242,45.45,-75.61
168,860 Waterloo Street,South West,For-Profit,Yes,Yes,Yes,Yes,London, N6A3W6,61,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,extendicare london,,,,,London,3539036,170,43.00,-81.25
169,650 Northern Avenue,North East,For-Profit,No,Yes,Yes,Yes,Sault Ste. Marie, P6B4J3,46,"(31.0, 46.0]",2,39,"(23.0, 86.0]",3,24,"(11.0, 44.0]",3,extendicare maple view of sault ste. marie,<5,0,0,Active,Sault Ste. Marie,3557061,256,46.54,-84.30
170,1865 Baseline Road,Champlain,For-Profit,No,Yes,No,Yes,Ottawa, K2C3K6,63,"(46.0, 172.0]",3,37,"(23.0, 86.0]",3,19,"(11.0, 44.0]",3,extendicare medex,,,,,Ottawa,3506008,193,45.35,-75.76
171,855 John Watt Boulevard,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5W1G2,22,"(21.0, 31.0]",1,12,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,extendicare mississauga,,,,,Mississauga,3521005,140,43.63,-79.73
172,99 New Orchard Avenue,Champlain,For-Profit,No,Yes,No,Yes,Ottawa, K2B5E6,30,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,extendicare new orchard lodge,,,,,Ottawa,3506008,111,45.38,-75.78
173,82 Park Road North,Central East,For-Profit,Yes,Yes,Yes,Yes,Oshawa, L1J4L1,41,"(31.0, 46.0]",2,28,"(23.0, 86.0]",3,8,"(7.0, 11.0]",2,extendicare oshawa,<5,0,0,Active,Oshawa,3518013,175,43.90,-78.88
174,80 Alexander Avenue,Central East,For-Profit,Yes,Yes,Yes,Yes,Peterborough, K9J6B4,29,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,extendicare peterborough,,,,,Peterborough,3515014,174,44.30,-78.35
175,360 Croft Street,Central East,For-Profit,No,Yes,Yes,Yes,Port Hope, L1A4K8,29,"(21.0, 31.0]",1,21,"(16.0, 23.0]",2,5,"(0.0, 5.0]",0,extendicare port hope,,,,,Port Hope,3514020,128,43.97,-78.28
176,4551 East Road,South West,For-Profit,Yes,Yes,Yes,Yes,Port Stanley, N5L1J6,31,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,extendicare port stanley,,,,,Central Elgin,3534020,60,42.67,-81.21
177,551 Conlins Road,Central East,For-Profit,Yes,Yes,Yes,Yes,Toronto, M1B5S1,35,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,extendicare rouge valley,,0,,Inactive,Toronto,3520005,192,43.80,-79.19
178,3830 Lawrence Avenue East,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1G1R6,31,"(21.0, 31.0]",1,15,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,extendicare scarborough,11,<5,8,Active,Toronto,3520005,154,43.76,-79.21
179,1255 North Talbot Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N9G3A4,100,"(46.0, 172.0]",3,30,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,extendicare southwood lakes,0,0,<5,Active,Windsor,3537039,150,42.24,-82.98
180,283 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,St. Catharines, L2S1X7,27,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,extendicare st. catharines,,,,,St. Catharines,3526053,153,43.13,-79.26
181,114 Starwood Road,Champlain,For-Profit,No,Yes,Yes,Yes,Nepean, K2G3N5,54,"(46.0, 172.0]",3,26,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,extendicare starwood,,0,,Inactive,Ottawa,3506008,192,45.35,-75.75
182,2475 St. Alphonse Street,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Tecumseh, N8N2X2,66,"(46.0, 172.0]",3,27,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,extendicare tecumseh,,,,,Tecumseh,3537048,128,42.28,-82.88
183,62 St-Jean Avenue,North East,For-Profit,No,Yes,Yes,Yes,Timmins, P4R0A6,39,"(31.0, 46.0]",2,25,"(23.0, 86.0]",3,9,"(7.0, 11.0]",2,extendicare timmins,<5,0,0,Active,Timmins,3556027,180,48.48,-81.38
184,143 Bruce Street P.O. Box 999,North East,For-Profit,Yes,Yes,Yes,Yes,Haileybury, P0J1K0,15,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,extendicare tri-town,,,,,Temiskaming Shores,3554020,60,47.44,-79.63
185,39 Van Daele Street,North East,For-Profit,Yes,Yes,Yes,Yes,Sault Ste Marie, P6B4V3,22,"(21.0, 31.0]",1,12,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,extendicare van daele,,,,,Sault Ste. Marie,3557061,100,46.53,-84.32
186,2179 Elmira Drive,Champlain,For-Profit,No,Yes,Yes,Yes,Ottawa, K2C3S1,104,"(46.0, 172.0]",3,57,"(23.0, 86.0]",3,20,"(11.0, 44.0]",3,extendicare west end villa,0,0,<5,Active,Ottawa,3506008,242,45.35,-75.78
187,333 York Street,North East,For-Profit,Yes,Yes,Yes,Yes,Sudbury, P3E5J3,61,"(46.0, 172.0]",3,32,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,extendicare york,,0,,Inactive,Greater Sudbury / Grand Sudbury,3553005,288,46.48,-81.01
188,733 Third Line East,North East,Non-Profit,No,Yes,Yes,Yes,Sault Ste Marie, P6A7C1,65,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,f. j. davey home,,,,,Sault Ste. Marie,3557061,374,46.55,-84.31
189,1934 Dufferin Avenue,Erie St. Clair,For-Profit,No,Yes,No,No,Wallaceburg, N8A4M2,32,"(31.0, 46.0]",2,16,"(11.0, 16.0]",1,11,"(7.0, 11.0]",2,fairfield park,,,,,Chatham-Kent,3536020,99,42.59,-82.41
190,881 Dutton Road,Central East,Municipal,Yes,Yes,Yes,Yes,Peterborough, K9H7S4,36,"(31.0, 46.0]",2,24,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,fairhaven,,,,,Peterborough,3515014,256,44.33,-78.32
191,2069 Battersea Road R. R. #1,South East,Municipal,No,Yes,No,Yes,Glenburnie, K0H1S0,34,"(31.0, 46.0]",2,22,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,fairmount home for the aged,,,,,Kingston,3510010,128,44.31,-76.47
192,14 Mill Street,North Simcoe Muskoka,Non-Profit,No,Yes,Yes,Yes,Huntsville, P1H2A4,21,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,fairvern nursing home,,,,,Huntsville,3544042,76,45.33,-79.21
193,632 Dundas Street West P.O. Box 300,Central East,Municipal,No,Yes,Yes,Yes,Whitby, L1N5S3,46,"(31.0, 46.0]",2,27,"(23.0, 86.0]",3,11,"(7.0, 11.0]",2,fairview lodge,0,0,<5,Active,Whitby,3518009,198,43.88,-78.95
194,75 Spring Street,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Almonte, K0A1A0,29,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,fairview manor,,,,,Mississippi Mills,3509030,112,45.23,-76.19
195,515 Langs Drive,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Cambridge, N3H5E4,18,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,fairview mennonite home,,,,,Cambridge,3530010,84,43.40,-80.34
