home_name,Placements for referrals from all prior locations (days),Placements for referrals from community (days),Placements for referrals from hospital (days),Antipsychotic Medication Use (%),Pressure Ulcers (%),Falls (%),Physical Restraints Use (%),Depression (%),Pain (%),cleaned_home_name,matched,name1,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,latitude,longitude,number_beds
Corporation of the City of Toronto - Castleview Wychwood Towers,181,180,LV,15.7,2.1,10.5,3.1,14.1,2.9,corporation of the city of toronto - castleview wychwood towers,True,castleview wychwood towers,351 Christie Street,Toronto Central,Municipal,Yes,Yes,Yes,Yes,Toronto, M6G3C3,78.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,castleview wychwood towers,0,0,<5,Active,Toronto,3520005.0,43.67317759,-79.42178559999999,456.0
Corporation of the City of Toronto - Cummer Lodge,194,194,233,14.0,1.4,14.2,0.5,11.3,0.2,corporation of the city of toronto - cummer lodge,True,cummer lodge,205 Cummer Avenue,Central,Municipal,Yes,Yes,Yes,Yes,North York, M2M2E8,50.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,cummer lodge,<5,<5,0,Active,Toronto,3520005.0,43.78816171,-79.4075617,391.0
Corporation of the City of Toronto - Fudger House,156,156,LV,12.1,1.7,7.5,0.0,17.5,1.3,corporation of the city of toronto - fudger house,True,fudger house,439 Sherbourne Street,Toronto Central,Municipal,Yes,Yes,Yes,Yes,Toronto, M4X1K6,21.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,fudger house,<5,0,0,Active,Toronto,3520005.0,43.66633069,-79.37402148,250.0
Corporation of the City of Toronto - Kipling Acres,253,212,LV,13.7,2.0,11.6,1.0,33.2,0.9,corporation of the city of toronto - kipling acres,True,kipling acres,2233 Kipling Avenue,Central West,Municipal,Yes,Yes,Yes,Yes,Etobicoke, M9W4L3,41.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,kipling acres,53,13,11,Active,Toronto,3520005.0,43.72574509,-79.57339555,337.0
Corporation of the City of Toronto - Lakeshore Lodge,160,127,LV,13.5,2.3,9.9,2.1,12.3,0.7,corporation of the city of toronto - lakeshore lodge,True,lakeshore lodge,3197 Lakeshore Blvd. West,Toronto Central,Municipal,No,Yes,Yes,Yes,Etobicoke, M8V3X5,14.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,lakeshore lodge,41,11,17,Active,Toronto,3520005.0,43.59721667,-79.51845532,150.0
Corporation of the City of Toronto - Seven Oaks,161,170,67,15.9,2.5,13.0,3.2,5.7,1.1,corporation of the city of toronto - seven oaks,True,seven oaks,9 Neilson Road,Central East,Municipal,Yes,Yes,Yes,Yes,Scarborough, M1E5E1,47.0,"(46.0, 172.0]",3.0,32.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,seven oaks,24,40,21,Active,Toronto,3520005.0,43.78117732,-79.20432774,249.0
Corporation of the City of Toronto - True Davidson Acres,271,278,LV,14.8,3.3,11.8,1.1,27.2,3.6,corporation of the city of toronto - true davidson acres,True,true davidson acres,200 Dawes Road,Toronto Central,Municipal,Yes,Yes,Yes,Yes,Toronto, M4C5M8,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,true davidson acres,,,,,Toronto,3520005.0,43.6960602,-79.29840606,187.0
Corporation of the City of Toronto - Wesburn Manor,237,223.5,288,11.0,2.1,13.8,0.0,33.4,1.2,corporation of the city of toronto - wesburn manor,True,wesburn manor,400 The West Mall,Mississauga Halton,Municipal,Yes,Yes,Yes,Yes,Etobicoke, M9C5S1,62.0,"(46.0, 172.0]",3.0,20.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,wesburn manor,<5,0,0,Active,Toronto,3520005.0,43.64388927,-79.56745924,192.0
Corporation of the County of Dufferin - Dufferin Oaks,199,214,142.5,17.0,2.8,23.8,0.0,37.3,12.1,corporation of the county of dufferin - dufferin oaks,True,dufferin oaks,151 Centre Street,Central West,Municipal,No,Yes,Yes,No,Shelburne, L0N1S4,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,dufferin oaks,<5,<5,6,Active,Shelburne,3522021.0,44.07675832,-80.20035498,160.0
Corporation of the County of Essex - Sun Parlor Home for Senior Citizens,65,76,18,11.6,4.3,26.2,2.8,32.1,3.9,corporation of the county of essex - sun parlor home for senior citizens,True,sun parlor home for senior citizens,175 Talbot Street East,Erie St. Clair,Municipal,No,Yes,Yes,No,Leamington, N8H1L9,54.0,"(46.0, 172.0]",3.0,31.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,sun parlor home for senior citizens,<5,<5,<5,Active,Leamington,3537003.0,42.05585245,-82.58946575,206.0
Corporation of the County of Frontenac - Fairmount Home for the Aged,356.5,257,LV,12.6,6.0,20.4,15.6,16.6,6.2,corporation of the county of frontenac - fairmount home for the aged,True,fairmount home for the aged,2069 Battersea Road R. R. #1,South East,Municipal,No,Yes,No,Yes,Glenburnie, K0H1S0,34.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,fairmount home for the aged,,,,,Kingston,3510010.0,44.31346333,-76.4650418,128.0
Corporation of the County of Hastings - Hastings Centennial Manor,280,322,LV,17.1,4.5,18.9,0.2,33.7,4.8,corporation of the county of hastings - hastings centennial manor,True,hastings centennial manor,1 Manor Lane P.O. Box 758,South East,Municipal,Yes,Yes,Yes,Yes,Bancroft, K0L1C0,33.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,hastings centennial manor,,,,,Bancroft,3512061.0,45.0550849,-77.86421482,110.0
Corporation of the County of Hastings - Hastings Manor Home for the Aged,214,210,226.5,17.8,4.5,13.2,16.3,38.8,3.1,corporation of the county of hastings - hastings manor home for the aged,True,hastings manor home for the aged,476 Dundas Street West P.O. Box 458,South East,Municipal,Yes,Yes,Yes,Yes,Belleville, K8N5B2,71.0,"(46.0, 172.0]",3.0,56.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,hastings manor home for the aged,6,<5,5,Active,Belleville,3512005.0,44.14751276,-77.41249679,253.0
Corporation Of The County Of Huron - Huronlea Home for the Aged,59,122,38.5,14.6,2.8,17.3,0.3,28.1,3.0,corporation of the county of huron - huronlea home for the aged,True,huronlea home for the aged,820 Turnberry Street South,South West,Municipal,No,Yes,Yes,No,Brussels, N0G1H0,25.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,huronlea home for the aged,,,,,Morris-Turnberry,3540050.0,43.73846151,-81.25635699,64.0
Corporation Of The County Of Huron - Huronview Home for the Aged,63,70,82,2.5,2.0,15.4,1.4,38.5,4.3,corporation of the county of huron - huronview home for the aged,True,huronview home for the aged,77722A London Road R.R. #5,South West,Municipal,No,Yes,Yes,No,Clinton, N0M1L0,39.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,huronview home for the aged,,,,,Huron East,3540040.0,43.598187100000004,-81.53130859999999,120.0
Corporation Of The County Of Lambton - Marshall Gowland Manor,80,51,LV,20.5,2.8,17.2,15.0,17.5,5.8,corporation of the county of lambton - marshall gowland manor,True,marshall gowland manor,749 Devine Street,Erie St. Clair,Municipal,No,Yes,Yes,No,Sarnia, N7T1X3,61.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,marshall gowland manor,,,,,Sarnia,3538030.0,42.96399632,-82.38446927,126.0
Corporation Of The County Of Lambton - North Lambton Lodge,193,206,LV,7.4,1.5,8.3,3.3,9.3,2.3,corporation of the county of lambton - north lambton lodge,True,north lambton lodge,39 Morris Street R.R. #6,Erie St. Clair,Municipal,No,Yes,Yes,No,Forest, N0N1J0,27.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,north lambton lodge,,,,,Lambton Shores,3538040.0,43.09281026,-81.99290376,88.0
Corporation Of The County Of Lanark - Lanark Lodge,274,296,197,19.9,2.3,14.9,8.3,36.3,7.3,corporation of the county of lanark - lanark lodge,True,lanark lodge,"115 Christie Lake Road, R. R. #4 Lot 27, Concession 2",South East,Municipal,Yes,Yes,Yes,Yes,Perth, K7H3C6,37.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,lanark lodge,,,,,Tay Valley,3509015.0,44.90398014,-76.27207578,163.0
Corporation Of The County Of Lennox And Addington - The John M. Parrott Centre,353,288,LV,6.5,2.2,14.9,3.9,32.2,23.4,corporation of the county of lennox and addington - the john m. parrott centre,True,the john m. parrott centre,309 Bridge Street West,South East,Municipal,Yes,Yes,Yes,Yes,Napanee, K7R2G4,30.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,the john m. parrott centre,,,,,Greater Napanee,3511015.0,44.2413403,-76.97028786,168.0
Corporation Of The County Of Middlesex - Strathmere Lodge,113,120,LV,19.4,7.1,16.4,42.0,35.6,14.8,corporation of the county of middlesex - strathmere lodge,True,strathmere lodge,599 Albert Street Box 5000,South West,Municipal,Yes,Yes,Yes,No,Strathroy, N7G3J3,42.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,strathmere lodge,,,,,Strathroy-Caradoc,3539015.0,42.95570205,-81.64392804,160.0
Corporation Of The County Of Northumberland - Golden Plough Lodge,436,442,269,24.7,3.6,18.8,4.6,38.1,11.3,corporation of the county of northumberland - golden plough lodge,True,golden plough lodge,983 Burnham Street,Central East,Municipal,No,Yes,Yes,Yes,Cobourg, K9A5J6,62.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,5.0,"(0.0, 5.0]",0.0,golden plough lodge,,,,,Cobourg,3514021.0,43.974493700000004,-78.19501703,151.0
Corporation Of The County Of Prince Edward - H.J. Mcfarland Memorial Home,114,247,98,21.3,3.7,22.3,8.7,32.3,5.8,corporation of the county of prince edward - h.j. mcfarland memorial home,True,h.j. mcfarland memorial home,"R.R. #2, 603 Highway 49 Hallowell Township",South East,Municipal,No,Yes,Yes,Yes,Picton, K0K2T0,62.0,"(46.0, 172.0]",3.0,35.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,h.j. mcfarland memorial home,,,,,Prince Edward County,3513020.0,44.02513295,-77.13549939,84.0
Corporation Of The County Of Renfrew - Bonnechere Manor,328,302,663,14.1,2.2,16.6,0.9,22.8,4.5,corporation of the county of renfrew - bonnechere manor,True,bonnechere manor,470 Albert Street,Champlain,Municipal,Yes,Yes,Yes,Yes,Renfrew, K7V4L5,43.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,bonnechere manor,0,0,<5,Active,Renfrew,3547048.0,45.48345932,-76.70256458,180.0
Corporation Of The County Of Renfrew - Miramichi Lodge,352,328,LV,15.6,3.6,22.5,2.3,33.0,16.3,corporation of the county of renfrew - miramichi lodge,True,miramichi lodge,725 Pembroke Street West,Champlain,Municipal,Yes,Yes,Yes,Yes,Pembroke, K8A8S6,30.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,miramichi lodge,,0,,Inactive,Pembroke,3547064.0,45.82684776,-77.13017355,166.0
Corporation Of The County Of Victoria - Victoria Manor Home for the Aged,179.5,179,206.5,15.3,1.6,15.7,8.5,19.2,6.0,corporation of the county of victoria - victoria manor home for the aged,True,victoria manor home for the aged,220 Angeline Street South,Central East,Municipal,Yes,Yes,Yes,Yes,Lindsay, K9V4R2,45.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,victoria manor home for the aged,,,,,Kawartha Lakes,3516010.0,44.33869223,-78.74399304,166.0
Corporation Of The County Of Wellington - Wellington Terrace LTC Home,156,154,433.5,12.6,1.6,17.8,1.8,37.1,4.8,corporation of the county of wellington - wellington terrace long term care home,False,wellington terrace long-term care home,474 Wellington Road 18,Waterloo Wellington,Municipal,No,Yes,Yes,No,Fergus, N1M0A1,18.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,wellington terrace long-term care home,,0,,Inactive,Centre Wellington,3523025.0,43.696534,-80.400755,176.0
Corporation Of The Town Of Kirkland Lake - Teck Pioneer Residence,173,208,106,12.5,3.2,13.1,6.5,22.4,9.6,corporation of the town of kirkland lake - teck pioneer residence,True,teck pioneer residence,145A Government Road East Postal Bag Service 1757,North East,Municipal,No,Yes,Yes,Yes,Kirkland Lake, P2N3P4,29.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,teck pioneer residence,,,,,Kirkland Lake,3554068.0,48.15345549,-80.01468335,81.0
Craigwiel Gardens - Craigholme,67,105.5,67,16.3,2.4,15.0,3.3,28.5,7.4,craigwiel gardens - craigholme,True,craigholme,221 Main Street R. R. #1,South West,Non-Profit,Yes,Yes,Yes,No,Ailsa Craig, N0M1A0,51.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,craigholme,,,,,North Middlesex,3539041.0,43.14535469,-81.53006982,83.0
Crown Ridge Health Care Services Inc. - Crown Ridge Place,156,202,NR,6.0,1.8,17.5,1.9,37.0,25.1,crown ridge health care services inc. - crown ridge place,True,crown ridge place,106 Crown Street,South East,For-Profit,Yes,Yes,Yes,Yes,Trenton, K8V6R3,24.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,crown ridge place,,,,,Quinte West,3512015.0,44.10639945,-77.56149694,116.0
Crown Ridge Health Care Services Inc. - Westgate Lodge Nursing Home,94.5,78,96,9.6,3.0,18.7,1.0,36.8,3.6,crown ridge health care services inc. - westgate lodge nursing home,True,westgate lodge nursing home,37 Wilkie Street,South East,For-Profit,Yes,Yes,Yes,Yes,Belleville, K8P4E4,42.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,westgate lodge nursing home,,,,,Belleville,3512005.0,44.14702066,-77.40620279,88.0
Dallov Holdings Ltd - Maple Villa LTC Centre,110.5,68,LV,ST,2.1,10.4,1.8,18.5,0.0,dallov holdings ltd - maple villa long term care centre,True,maple villa long term care centre,441 Maple Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7S1L8,17.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,maple villa long term care centre,,,,,Burlington,3524002.0,43.31995171,-79.80289539,93.0
Deem Management Services Ltd - Pinehaven Nursing Home,67,68,61,7.0,2.5,17.8,0.0,34.3,1.0,deem management services ltd - pinehaven nursing home,True,pinehaven nursing home,229 Lexington Road,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Waterloo, N2K2E1,39.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,pinehaven nursing home,,0,,Inactive,Waterloo,3530016.0,43.492695399999995,-80.51167673,84.0
Deep River And District Hospital - The Four Seasons Lodge,LV,LV,LV,30.2,4.2,22.0,11.8,30.5,6.1,deep river and district hospital - the four seasons lodge,True,the four seasons lodge,117 Banting Drive,Champlain,Non-Profit,No,Yes,No,Yes,Deep River, K0J1P0,12.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,the four seasons lodge,,,,,Deep River,3547096.0,46.09087579,-77.47500669,14.0
Derbecker's Heritage House Ltd - Derbecker's Heritage House,101,143,LV,20.3,2.0,15.2,0.0,34.8,1.9,derbecker's heritage house ltd - derbecker's heritage house,True,derbecker's heritage house,54 Eby Street,Waterloo Wellington,For-Profit,No,Yes,No,No,St. Jacobs, N0B2N0,10.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,derbecker's heritage house,,,,,Woolwich,3530035.0,43.54089651,-80.54914374,73.0
"Diversicare Canada Management Services Co., Inc. - Downsview LTC Centre",75,84,69.5,26.8,1.7,11.7,3.4,14.4,0.0,"diversicare canada management services co., inc. - downsview long term care centre",True,downsview long term care centre,3595 Keele Street,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M3J1M7,63.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,downsview long term care centre,35,23,71,Active,Toronto,3520005.0,43.7511842,-79.48559573,252.0
"Diversicare Canada Management Services Co., Inc. - Hardy Terrace",136,107,158,25.0,4.6,17.0,6.6,19.0,9.7,"diversicare canada management services co., inc. - hardy terrace",True,hardy terrace,612 Mount Pleasant Road R. R. #2,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Brantford, N3T5L5,45.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,hardy terrace,,,,,Brant,3529005.0,43.0876862,-80.3068167,101.0
"Diversicare Canada Management Services Co., Inc. - Perth Community Care Centre",129,127,129,11.4,3.8,18.2,15.3,41.3,8.0,"diversicare canada management services co., inc. - perth community care centre",True,perth community care centre,101 Christie Lake Road R. R. #4,South East,For-Profit,No,Yes,Yes,Yes,Perth, K7H3C6,40.0,"(31.0, 46.0]",2.0,24.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,perth community care centre,,,,,Tay Valley,3509015.0,44.90433714,-76.27097938,121.0
"Diversicare Canada Management Services Co., Inc. - Tilbury Manor Nursing Home",43.5,36,55,31.6,3.3,13.5,0.0,34.9,0.7,"diversicare canada management services co., inc. - tilbury manor nursing home",True,tilbury manor nursing home,16 Fort Street P.O. Box 160,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Tilbury, N0P2L0,33.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,tilbury manor nursing home,,,,,Chatham-Kent,3536020.0,42.25877139,-82.43044492,75.0
"Diversicare Canada Management Services Co., Inc. - Villa Marconi",355,347,LV,23.7,4.7,14.5,1.0,16.8,6.9,"diversicare canada management services co., inc. - villa marconi",True,villa marconi,1026 Baseline Road,Champlain,Non-Profit,No,Yes,Yes,Yes,Ottawa, K2C0A6,53.0,"(46.0, 172.0]",3.0,40.0,"(23.0, 86.0]",3.0,21.0,"(11.0, 44.0]",3.0,villa marconi,,0,,Inactive,Ottawa,3506008.0,45.36599844,-75.72703304,128.0
"Diversicare Canada Management Services Co., Inc. - West Park Health Centre",50,50,52,28.1,5.8,28.6,2.6,27.1,4.9,"diversicare canada management services co., inc. - west park health centre",True,west park health centre,103 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,St Catharines, L2S1S9,48.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,west park health centre,,,,,St. Catharines,3526053.0,43.140947,-79.25086429999999,101.0
Don Mills Foundation For Senior Citizens Inc. - Thompson House,70.5,74,LV,21.3,3.2,14.4,37.2,19.3,1.2,don mills foundation for senior citizens inc. - thompson house,True,thompson house,1 Overland Drive,Central,Non-Profit,No,Yes,Yes,No,North York, M3C2C3,16.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,thompson house,,,,,Toronto,3520005.0,43.7324901,-79.34677178,136.0
Drs Paul And John Rekai Centre - Drs. Paul and John Rekai Centre,233,214.5,LV,19.8,1.8,8.5,3.8,22.3,2.7,drs paul and john rekai centre - drs. paul and john rekai centre,False,drs. paul and john rekai centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drs Paul And John Rekai Centre - Wellesley Central Place,382,380.5,LV,17.5,1.7,10.3,2.2,17.1,1.0,drs paul and john rekai centre - wellesley central place,True,wellesley central place,160 Wellesley Street East,Toronto Central,Non-Profit,Yes,Yes,Yes,Yes,Toronto, M4Y1J2,35.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,wellesley central place,43,16,21,Active,Toronto,3520005.0,43.66687279,-79.37566588,150.0
Dundas Manor Ltd - Dundas Manor Nursing Home,108,117.5,25.5,21.2,2.9,23.7,8.1,21.0,12.0,dundas manor ltd - dundas manor nursing home,True,dundas manor nursing home,533 Clarence Street P.O. Box 970,Champlain,Non-Profit,No,Yes,Yes,Yes,Winchester, K0C2K0,40.0,"(31.0, 46.0]",2.0,26.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,dundas manor nursing home,,,,,North Dundas,3501030.0,45.08860351,-75.35556820000001,98.0
East District Of Parry Sound Home For The Aged - Eastholme Home for the Aged,195,181,LV,19.5,2.1,18.3,3.4,35.6,12.0,east district of parry sound home for the aged - eastholme home for the aged,True,eastholme home for the aged,62 Big Bend Avenue P.O. Box 400,North East,Municipal,No,Yes,Yes,No,Powassan, P0H1Z0,18.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,eastholme home for the aged,,,,,Powassan,3549060.0,46.078695700000004,-79.35888349999999,128.0
Eden House Care Facility Inc. - Eden House Nursing Home,436,433,LV,17.1,1.9,24.0,0.0,30.4,12.4,eden house care facility inc. - eden house nursing home,True,eden house nursing home,5016 Wellington County Road 29 R. R. #2,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Guelph, N1H6H8,17.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,eden house nursing home,,,,,Guelph/Eramosa,3523009.0,43.58078794,-80.16785633,59.0
Elgin County - Bobier Villa,LV,LV,NR,25.5,3.0,12.5,9.8,33.2,14.4,elgin county - bobier villa,True,bobier villa,1 Bobier Lane,South West,Municipal,Yes,Yes,Yes,No,Dutton, N0L1J0,19.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,bobier villa,,,,,Dutton/Dunwich,3534030.0,42.66709281,-81.51387127,57.0
Elgin County - Elgin Manor,252,310.5,LV,21.2,2.2,20.1,12.6,27.8,17.3,elgin county - elgin manor,True,elgin manor,39262 Fingal Line R. R. #1,South West,Municipal,Yes,Yes,Yes,No,St. Thomas, N5P3S5,34.0,"(31.0, 46.0]",2.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,elgin manor,,,,,Southwold,3534024.0,42.76901044,-81.23754879,90.0
Elgin County - Terrace Lodge,98,147,53,12.1,5.6,20.4,16.4,37.3,12.5,elgin county - terrace lodge,True,terrace lodge,475 Talbot Street East 49462 Talbot Line,South West,Municipal,Yes,Yes,Yes,No,Aylmer, N5H3A5,33.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,terrace lodge,,,,,Malahide,3534010.0,42.771096299999996,-80.9682813,100.0
Espanola General Hospital - Espanola Nursing Home,399,359,698,19.6,1.3,6.9,10.9,10.4,5.6,espanola general hospital - espanola nursing home,False,espanola general hospital (operating as espanola nursing home-eldcap),825  Mckinnon Drive,North East,Non-Profit,No,Yes,Yes,Yes,Espanola, P5E1R4,10.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,espanola general hospital (operating as espanola nursing home-eldcap),,,,,Espanola,3552026.0,46.2482946,-81.78317101,30.0
Estonian Relief Committee In Canada - Ehatare Nursing Home,386,386,NR,9.1,3.7,18.2,0.0,15.3,3.0,estonian relief committee in canada - ehatare nursing home,True,ehatare nursing home,40 Old Kingston Road,Central East,Non-Profit,No,Yes,Yes,No,Scarborough, M1E3J5,9.0,"(0.0, 21.0]",0.0,5.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,ehatare nursing home,,0,,Inactive,Toronto,3520005.0,43.77551412,-79.18320493,32.0
Extendicare (Canada) Inc. - Bayfield Manor Nursing Home,564,564,NR,18.2,5.0,22.2,7.2,24.8,8.5,extendicare (canada) inc. - bayfield manor nursing home,False,bayfield manor,100 Elvira Street P.O. Bag 3000,Champlain,For-Profit,No,Yes,Yes,No,Kemptville, K0G1J0,22.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,4.0,"(0.0, 5.0]",0.0,bayfield manor,,,,,North Grenville,3507065.0,45.01874519,-75.65323739,66.0
Extendicare (Canada) Inc. - Bayview,114.5,131.5,77,16.9,2.4,12.5,1.2,7.4,1.5,extendicare (canada) inc. - bayview,False,extendicare bayview,550 Cummer Avenue,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M2K2M2,34.0,"(31.0, 46.0]",2.0,11.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,extendicare bayview,60,8,13,Active,Toronto,3520005.0,43.79341251,-79.3906724,205.0
Extendicare (Canada) Inc. - Bennett Health Care Centre,150,108,LV,19.7,2.1,20.4,0.7,38.0,6.1,extendicare (canada) inc. - bennett health care centre,True,bennett health care centre,1 Princess Anne Drive,Mississauga Halton,Non-Profit,No,Yes,Yes,Yes,Georgetown, L7G2B8,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,bennett health care centre,,,,,Halton Hills,3524015.0,43.64477486,-79.93394806,66.0
Extendicare (Canada) Inc. - Birchwood Terrace,44,56,17,17.5,4.9,18.8,14.1,25.3,7.0,extendicare (canada) inc. - birchwood terrace,True,birchwood terrace,237 Lakeview Drive R. R. #1,North West,For-Profit,Yes,Yes,Yes,Yes,Kenora, P9N4J7,53.0,"(46.0, 172.0]",3.0,31.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,birchwood terrace,,,,,Kenora,3560010.0,49.76559284,-94.50497800000001,96.0
Extendicare (Canada) Inc. - Blackadar Continuing Care Centre,101,134,21,25.4,3.8,19.2,5.3,18.1,13.3,extendicare (canada) inc. - blackadar continuing care centre,True,blackadar continuing care centre,101 Creighton Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No,Dundas, L9H3B7,31.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,blackadar continuing care centre,<5,0,0,Active,Hamilton,3525005.0,43.26120069,-79.96830854,80.0
