,index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city_x,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,facility_name_clean,cleaned_name,name,address,city and postal code,LHIN,licensee,management,home type,beds,short stay,residents council,family council,accreditation,additional_info,city_y,postal code,number of beds,total_inspections,5y_inspections,Unnamed: 0,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status
144,3447.0,elginwood,long-term care home,Nursing and residential care facilities,Province of Ontario,,182,yorkland street,L4S2M9,richmond hill,on,,Richmond Hill,3519038.0,35.0,43.90172983,-79.44169122,elginwood,elginwood,ELGINWOOD,182 Yorkland Street,"Richmond Hill, L4S2M9",Central,Axr Operating (National) Lp,,For-Profit,Home with approximately 124 beds,Yes,Yes,Yes,Yes,,Richmond Hill, L4S2M9,124.0,25.0,17.0,,,,,,,,
145,3449.0,elizabeth centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,2100,main street,P3N1S7,sudbury,on,,Greater Sudbury / Grand Sudbury,3553005.0,35.0,46.6119611,-81.02674901,elizabeth centre,elizabeth centre,ELIZABETH CENTRE,2100 Main Street,"Val Caron, P3N1S7",North East,Valley East Long Term Care Centre Inc.,,For-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Val Caron, P3N1S7,128.0,51.0,29.0,,,,,,,,
146,3452.0,elm grove living centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,35,elm grove avenue,M6K2J2,toronto,on,,Toronto,3520005.0,35.0,43.64031588,-79.4307008,elm grove living centre,elm grove living centre,ELM GROVE LIVING CENTRE,35 Elm Grove Avenue,"Toronto, M6K2J2",Toronto Central,Elm Grove Living Centre Inc.,,For-Profit,Home with approximately 126 beds,No,Yes,No,Yes,,Toronto, M6K2J2,126.0,14.0,9.0,45.0,Elm Grove Living Centre,Toronto,126.0,44,17,43,Active
147,3453.0,elmwood place,long-term care home,Nursing and residential care facilities,Province of Ontario,,46,elmwood place,N6J1J2,london,on,,London,3539036.0,35.0,42.96948268,-81.26521352,elmwood place,elmwood place,ELMWOOD PLACE,46 Elmwood Place West,"London, N6J1J2",South West,Revera Long Term Care Inc.,,For-Profit,Home with approximately 78 beds,No,Yes,Yes,Yes,,London, N6J1J2,78.0,49.0,19.0,46.0,Elmwood Place,London,90.0,<5,0,<5,Active
148,3457.0,emo health centre,general,Hospitals,Public Health Agency of Canada,,260,front street,P0W1E0,emo,on,260 front street emo on p0w 1e0,Emo,3559019.0,35.0,48.631491,-93.842073,emo health centre,emo health centre,EMO HEALTH CENTRE,170 Front Street P. O. Box 390,"Emo, P0W1E0",North West,Riverside Health Care Facilities Inc.,,Non-Profit,Home with approximately 12 beds,No,Yes,No,Yes,,Emo, P0W1E0,12.0,9.0,5.0,,,,,,,,
149,3470.0,erin mills lodge nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,2132,dundas street w,L5K2K7,mississauga,on,,Mississauga,3521005.0,35.0,43.53474615,-79.66736096,erin mills lodge nursing home,erin mills lodge nursing home,ERIN MILLS LODGE NURSING HOME,2132 Dundas Street West,"Mississauga, L5K2K7",Mississauga Halton,Schlegel Villages Inc.,,For-Profit,Home with approximately 86 beds,No,Yes,Yes,Yes,,Mississauga, L5K2K7,86.0,35.0,21.0,47.0,Erin Mills Lodge Nursing Home,Mississauga,86.0,29,16,22,Active
150,3471.0,errinrung long term care home,long-term care home,Nursing and residential care facilities,Province of Ontario,,67,bruce street s,N0H2P0,the blue mountains,on,,The Blue Mountains,3542045.0,35.0,44.55940799,-80.45518861,errinrung long term care home,errinrung long term care home,ERRINRUNG LONG TERM CARE HOME,67 Bruce Street P.O. Box 7069,"Thornbury, N0H2P0",South West,"Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Thornbury, N0H2P0,60.0,30.0,13.0,,,,,,,,
151,3475.0,espanola general hospital (operating as espanola nursing home-eldcap),long-term care home,Nursing and residential care facilities,Province of Ontario,,825,mckinnon drive,P5E1R4,espanola,on,,Espanola,3552026.0,35.0,46.2482946,-81.78317101,espanola general hospital (operating as espanola nursing home-eldcap),espanola general hospital (operating as espanola nursing home-eldcap),ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-ELDCAP),825  Mckinnon Drive,"Espanola, P5E1R4",North East,Espanola General Hospital,,Non-Profit,Home with approximately 30 beds,No,Yes,Yes,Yes,,Espanola, P5E1R4,30.0,10.0,6.0,,,,,,,,
152,3476.0,espanola general hospital (operating as espanola nursing home-ltc),long-term care home,Nursing and residential care facilities,Province of Ontario,,825,mckinnon drive,P5E1R4,espanola,on,,Espanola,3552026.0,35.0,46.2484521,-81.7808318,espanola general hospital (operating as espanola nursing home-ltc),espanola general hospital (operating as espanola nursing home-ltc),ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-LTC),825 Mckinnon Drive,"Espanola, P5E1R4",North East,Espanola General Hospital,,Non-Profit,Home with approximately 32 beds,No,Yes,Yes,Yes,,Espanola, P5E1R4,32.0,16.0,12.0,,,,,,,,
153,3486.0,exeter villa,long-term care home,Nursing and residential care facilities,Province of Ontario,,155,john street e,N0M1S1,exeter,on,,South Huron,3540005.0,35.0,43.34653763,-81.47441712,exeter villa,exeter villa,EXETER VILLA,155 John Street East,"Exeter, N0M1S1",South West,Atk Care Inc.,,For-Profit,Home with approximately 47 beds,Yes,Yes,No,Yes,,Exeter, N0M1S1,47.0,18.0,11.0,48.0,Exeter Villa,Exeter,47.0,0,0,<5,Active
154,3487.0,extendicare bayview,long-term care home,Nursing and residential care facilities,Province of Ontario,,550,cummer avenue,M2K2M2,toronto,on,,Toronto,3520005.0,35.0,43.79341251,-79.3906724,extendicare bayview,extendicare bayview,EXTENDICARE BAYVIEW,550 Cummer Avenue,"North York, M2K2M2",Central,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 205 beds,Yes,Yes,Yes,Yes,,North York, M2K2M2,205.0,34.0,11.0,49.0,Extendicare Bayview,North York,205.0,60,8,13,Active
155,3488.0,extendicare brampton,long-term care home,Nursing and residential care facilities,Province of Ontario,,7891,mclaughlin road,L6Y5H8,brampton,on,,Brampton,3521010.0,35.0,43.65536347,-79.7356338,extendicare brampton,extendicare brampton,EXTENDICARE BRAMPTON,7891 Mclaughlin Road,"Brampton, L6Y5H8",Central West,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Brampton, L6Y5H8,150.0,26.0,17.0,50.0,Extendicare Brampton,Brampton,150.0,13,<5,<5,Active
156,3489.0,extendicare cobourg,long-term care home,Nursing and residential care facilities,Province of Ontario,,130,new densmore road,K9A5W2,cobourg,on,,Cobourg,3514021.0,35.0,43.9837753,-78.17209322,extendicare cobourg,extendicare cobourg,EXTENDICARE COBOURG,130 New Densmore Road,"Cobourg, K9A5W2",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 69 beds,No,Yes,Yes,Yes,,Cobourg, K9A5W2,69.0,42.0,20.0,,,,,,,,
157,3490.0,extendicare falconbridge,long-term care home,Nursing and residential care facilities,Province of Ontario,,281,falconbridge road,P3A5K4,sudbury,on,,Greater Sudbury / Grand Sudbury,3553005.0,35.0,46.50713379,-80.93753367,extendicare falconbridge,extendicare falconbridge,EXTENDICARE FALCONBRIDGE,281 Falconbridge Road,"Sudbury, P3A5K4",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 234 beds,Yes,Yes,Yes,Yes,,Sudbury, P3A5K4,234.0,67.0,40.0,,,,,,,,
158,3491.0,extendicare guildwood,long-term care home,Nursing and residential care facilities,Province of Ontario,,60,guildwood parkway,M1E1N9,toronto,on,,Toronto,3520005.0,35.0,43.74686311,-79.20313123,extendicare guildwood,extendicare guildwood,EXTENDICARE GUILDWOOD,60 Guildwood Parkway,"Scarborough, M1E1N9",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 169 beds,Yes,Yes,Yes,Yes,,Scarborough, M1E1N9,169.0,39.0,18.0,51.0,Extendicare Guildwood,Scarborough,169.0,36,7,12,Active
159,3492.0,extendicare haliburton,long-term care home,Nursing and residential care facilities,Province of Ontario,,167,park street,K0M1S0,haliburton,on,,Dysart et al,3546024.0,35.0,45.051712,-78.502471,extendicare haliburton,extendicare haliburton,EXTENDICARE HALIBURTON,167 Park Street P.O. Box 780,"Haliburton, K0M1S0",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Haliburton, K0M1S0,60.0,20.0,13.0,,,,,,,,
160,3493.0,extendicare halton hills,long-term care home,Nursing and residential care facilities,Province of Ontario,,9,lindsay court,L7G6G9,halton hills,on,,Halton Hills,3524015.0,35.0,43.64922616,-79.94812796,extendicare halton hills,extendicare halton hills,EXTENDICARE HALTON HILLS,9 Lindsay Court,"Georgetown, L7G6G9",Mississauga Halton,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 130 beds,No,Yes,Yes,Yes,,Georgetown, L7G6G9,130.0,45.0,23.0,,,,,,,,
161,3494.0,extendicare hamilton,long-term care home,Nursing and residential care facilities,Province of Ontario,,90,chedmac drive,L9C7S6,hamilton,on,,Hamilton,3525005.0,35.0,43.23730029,-79.92136612,extendicare hamilton,extendicare hamilton,EXTENDICARE HAMILTON,90 Chedmac Drive,"Hamilton, L9C7S6",Hamilton Niagara Haldimand Brant (Hnhb),Extendicare (Canada) Inc.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Hamilton, L9C7S6,160.0,42.0,20.0,,,,,,,,
162,3495.0,extendicare kapuskasing,long-term care home,Nursing and residential care facilities,Province of Ontario,,45,ontario street,P5N2Y5,kapuskasing,on,,Kapuskasing,3556066.0,35.0,49.41769224,-82.41017831,extendicare kapuskasing,extendicare kapuskasing,EXTENDICARE KAPUSKASING,45 Ontario Street P.O. Box 460,"Kapuskasing, P5N2Y5",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 61 beds,Yes,Yes,Yes,Yes,,Kapuskasing, P5N2Y5,61.0,27.0,19.0,,,,,,,,
163,3496.0,extendicare kawartha lakes,long-term care home,Nursing and residential care facilities,Province of Ontario,,125,colborne street e,K9V6J2,kawartha lakes,on,,Kawartha Lakes,3516010.0,35.0,44.36383334,-78.72369584,extendicare kawartha lakes,extendicare kawartha lakes,EXTENDICARE KAWARTHA LAKES,125 Colborne Street East,"Lindsay, K0L2V0",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Lindsay, K0L2V0,64.0,15.0,10.0,,,,,,,,
164,3497.0,extendicare kingston,long-term care home,Nursing and residential care facilities,Province of Ontario,,309,queen mary road,K7M6P4,kingston,on,,Kingston,3510010.0,35.0,44.23934601,-76.53531092,extendicare kingston,extendicare kingston,EXTENDICARE KINGSTON,309 Queen Mary Road,"Kingston, K7M6P4",South East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Kingston, K7M6P4,150.0,28.0,15.0,,,,,,,,
165,3498.0,extendicare kirkland lake,long-term care home,Nursing and residential care facilities,Province of Ontario,,155,government road e,P2N3P4,kirkland lake,on,,Kirkland Lake,3554068.0,35.0,48.15597609,-80.02268375,extendicare kirkland lake,extendicare kirkland lake,EXTENDICARE KIRKLAND LAKE,155 Government Road East,"Kirkland Lake, P2N3P4",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Kirkland Lake, P2N3P4,100.0,22.0,16.0,,,,,,,,
166,3499.0,extendicare lakefield,long-term care home,Nursing and residential care facilities,Province of Ontario,,19,fraser street,K0L2H0,harcourt,on,,Selwyn,3515015.0,35.0,44.42419477,-78.28153509999999,extendicare lakefield,extendicare lakefield,EXTENDICARE LAKEFIELD,19 Fraser Street,"Lakefield, K0L2H0",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Lakefield, K0L2H0,100.0,19.0,13.0,15.0,Extendicare Lakefield,Lakefield,100.0,,0,,Inactive
167,3500.0,extendicare laurier manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,1715,montreal road,K1J6N4,ottawa,on,,Ottawa,3506008.0,35.0,45.44640676,-75.61084101,extendicare laurier manor,extendicare laurier manor,EXTENDICARE LAURIER MANOR,1715 Montreal Road,"Gloucester, K1J6N4",Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 242 beds,No,Yes,Yes,Yes,,Gloucester, K1J6N4,242.0,85.0,52.0,52.0,Extendicare Laurier Manor,Gloucester,242.0,10,22,33,Active
168,3501.0,extendicare london,long-term care home,Nursing and residential care facilities,Province of Ontario,,860,waterloo street,N6A3W6,london,on,,London,3539036.0,35.0,43.00042548,-81.24860602,extendicare london,extendicare london,EXTENDICARE LONDON,860 Waterloo Street,"London, N6A3W6",South West,Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 170 beds,Yes,Yes,Yes,Yes,,London, N6A3W6,170.0,61.0,25.0,,,,,,,,
169,3502.0,extendicare maple view of sault ste. marie,long-term care home,Nursing and residential care facilities,Province of Ontario,,650,northern avenue,P6B4J3,sault ste marie,on,,Sault Ste. Marie,3557061.0,35.0,46.5350635,-84.30335325,extendicare maple view of sault ste. marie,extendicare maple view of sault ste. marie,EXTENDICARE MAPLE VIEW OF SAULT STE. MARIE,650 Northern Avenue,"Sault Ste. Marie, P6B4J3",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 256 beds,No,Yes,Yes,Yes,,Sault Ste. Marie, P6B4J3,256.0,46.0,39.0,53.0,Extendicare Maple View of Sault Ste. Marie,Sault Ste. Marie,256.0,<5,0,0,Active
170,3503.0,extendicare medex,long-term care home,Nursing and residential care facilities,Province of Ontario,,1865,baseline road,K2C3K6,ottawa,on,,Ottawa,3506008.0,35.0,45.35435184,-75.75821985,extendicare medex,extendicare medex,EXTENDICARE MEDEX,1865 Baseline Road,"Ottawa, K2C3K6",Champlain,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 193 beds,No,Yes,No,Yes,,Ottawa, K2C3K6,193.0,63.0,37.0,,,,,,,,
171,3504.0,extendicare mississauga,long-term care home,Nursing and residential care facilities,Province of Ontario,,855,john watt boulevard,L5W1G2,mississauga,on,,Mississauga,3521005.0,35.0,43.63238897,-79.72791359,extendicare mississauga,extendicare mississauga,EXTENDICARE MISSISSAUGA,855 John Watt Boulevard,"Mississauga, L5W1G2",Mississauga Halton,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 140 beds,No,Yes,Yes,Yes,,Mississauga, L5W1G2,140.0,22.0,12.0,,,,,,,,
172,3505.0,extendicare new orchard lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,,99,new orchard avenue,K2B5E6,ottawa,on,,Ottawa,3506008.0,35.0,45.37526254,-75.77907516,extendicare new orchard lodge,extendicare new orchard lodge,EXTENDICARE NEW ORCHARD LODGE,99 New Orchard Avenue,"Ottawa, K2B5E6",Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 111 beds,No,Yes,No,Yes,,Ottawa, K2B5E6,111.0,30.0,18.0,,,,,,,,
173,3506.0,extendicare oshawa,long-term care home,Nursing and residential care facilities,Province of Ontario,,82,park road n,L1J4L1,oshawa,on,,Oshawa,3518013.0,35.0,43.89733765,-78.87514724,extendicare oshawa,extendicare oshawa,EXTENDICARE OSHAWA,82 Park Road North,"Oshawa, L1J4L1",Central East,Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 175 beds,Yes,Yes,Yes,Yes,,Oshawa, L1J4L1,175.0,41.0,28.0,54.0,Extendicare Oshawa,Oshawa,175.0,<5,0,0,Active
174,3507.0,extendicare peterborough,long-term care home,Nursing and residential care facilities,Province of Ontario,,860,alexander court,K9J6B4,peterborough,on,,Peterborough,3515014.0,35.0,44.29856245,-78.34564511,extendicare peterborough,extendicare peterborough,EXTENDICARE PETERBOROUGH,80 Alexander Avenue,"Peterborough, K9J6B4",Central East,Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 174 beds,Yes,Yes,Yes,Yes,,Peterborough, K9J6B4,174.0,29.0,18.0,,,,,,,,
175,3508.0,extendicare port hope,long-term care home,Nursing and residential care facilities,Province of Ontario,,360,croft street,L1A4K8,port hope,on,,Port Hope,3514020.0,35.0,43.96724219,-78.28414406,extendicare port hope,extendicare port hope,EXTENDICARE PORT HOPE,360 Croft Street,"Port Hope, L1A4K8",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Port Hope, L1A4K8,128.0,29.0,21.0,,,,,,,,
176,3509.0,extendicare port stanley,long-term care home,Nursing and residential care facilities,Province of Ontario,,4551,east road,N5L1J6,port stanley,on,,Central Elgin,3534020.0,35.0,42.67066023,-81.20881357,extendicare port stanley,extendicare port stanley,EXTENDICARE PORT STANLEY,4551 East Road,"Port Stanley, N5L1J6",South West,Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Port Stanley, N5L1J6,60.0,31.0,18.0,,,,,,,,
177,3510.0,extendicare rouge valley,long-term care home,Nursing and residential care facilities,Province of Ontario,,551,conlins road,M1B5S1,toronto,on,,Toronto,3520005.0,35.0,43.80332132,-79.18867764,extendicare rouge valley,extendicare rouge valley,EXTENDICARE ROUGE VALLEY,551 Conlins Road,"Toronto, M1B5S1",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 192 beds,Yes,Yes,Yes,Yes,,Toronto, M1B5S1,192.0,35.0,23.0,16.0,Extendicare Rouge Valley,Toronto,192.0,,0,,Inactive
178,3511.0,extendicare scarborough,long-term care home,Nursing and residential care facilities,Province of Ontario,,3830,lawrence avenue e,M1G1R6,toronto,on,,Toronto,3520005.0,35.0,43.76375641,-79.21012454,extendicare scarborough,extendicare scarborough,EXTENDICARE SCARBOROUGH,3830 Lawrence Avenue East,"Scarborough, M1G1R6",Central East,Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 154 beds,Yes,Yes,Yes,Yes,,Scarborough, M1G1R6,154.0,31.0,15.0,55.0,Extendicare Scarborough,Scarborough,154.0,11,<5,8,Active
179,3512.0,extendicare southwood lakes,long-term care home,Nursing and residential care facilities,Province of Ontario,,1255,north talbot road,N9G3A4,windsor,on,,Windsor,3537039.0,35.0,42.24130106,-82.97743668,extendicare southwood lakes,extendicare southwood lakes,EXTENDICARE SOUTHWOOD LAKES,1255 North Talbot Road,"Windsor, N9G3A4",Erie St. Clair,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Windsor, N9G3A4,150.0,100.0,30.0,56.0,Extendicare Southwood Lakes,Windsor,150.0,0,0,<5,Active
180,3513.0,extendicare st. catharines,long-term care home,Nursing and residential care facilities,Province of Ontario,,283,pelham road,L2S1X7,st catharines,on,,St. Catharines,3526053.0,35.0,43.1300249,-79.2583408,extendicare st. catharines,extendicare st. catharines,EXTENDICARE ST. CATHARINES,283 Pelham Road,"St. Catharines, L2S1X7",Hamilton Niagara Haldimand Brant (Hnhb),Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 153 beds,No,Yes,Yes,Yes,,St. Catharines, L2S1X7,153.0,27.0,16.0,,,,,,,,
181,3514.0,extendicare starwood,long-term care home,Nursing and residential care facilities,Province of Ontario,,114,starwood road,K2G3N5,ottawa,on,,Ottawa,3506008.0,35.0,45.35366004,-75.75058715,extendicare starwood,extendicare starwood,EXTENDICARE STARWOOD,114 Starwood Road,"Nepean, K2G3N5",Champlain,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Nepean, K2G3N5,192.0,54.0,26.0,17.0,Extendicare Starwood,Nepean,192.0,,0,,Inactive
182,3515.0,extendicare tecumseh,long-term care home,Nursing and residential care facilities,Province of Ontario,,2475,st alphonse street,N8N2X2,tecumseh,on,,Tecumseh,3537048.0,35.0,42.28214117,-82.88283156,extendicare tecumseh,extendicare tecumseh,EXTENDICARE TECUMSEH,2475 St. Alphonse Street,"Tecumseh, N8N2X2",Erie St. Clair,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Tecumseh, N8N2X2,128.0,66.0,27.0,,,,,,,,
183,3516.0,extendicare timmins,long-term care home,Nursing and residential care facilities,Province of Ontario,,62,st-jean avenue,P4R0A6,timmins,on,,Timmins,3556027.0,35.0,48.47746467,-81.37922804,extendicare timmins,extendicare timmins,EXTENDICARE TIMMINS,62 St-Jean Avenue,"Timmins, P4R0A6",North East,Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 121 beds,No,Yes,Yes,Yes,,Timmins, P4R0A6,121.0,39.0,25.0,57.0,Extendicare Timmins,Timmins,180.0,<5,0,0,Active
184,3517.0,extendicare tri-town,long-term care home,Nursing and residential care facilities,Province of Ontario,,143,bruce street,P0J1K0,temiskaming shores,on,,Temiskaming Shores,3554020.0,35.0,47.4407208,-79.63014404,extendicare tri-town,extendicare tri-town,EXTENDICARE TRI-TOWN,143 Bruce Street P.O. Box 999,"Haileybury, P0J1K0",North East,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Haileybury, P0J1K0,60.0,15.0,10.0,,,,,,,,
185,3518.0,extendicare van daele,long-term care home,Nursing and residential care facilities,Province of Ontario,,39,van daele street,P6B4V3,sault ste marie,on,,Sault Ste. Marie,3557061.0,35.0,46.5295084,-84.32443156,extendicare van daele,extendicare van daele,EXTENDICARE VAN DAELE,39 Van Daele Street,"Sault Ste Marie, P6B4V3",North East,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Sault Ste Marie, P6B4V3,100.0,22.0,12.0,,,,,,,,
186,3519.0,extendicare west end villa,long-term care home,Nursing and residential care facilities,Province of Ontario,,2179,elmira drive,K2C3S1,ottawa,on,,Ottawa,3506008.0,35.0,45.35438354,-75.77592346,extendicare west end villa,extendicare west end villa,EXTENDICARE WEST END VILLA,2179 Elmira Drive,"Ottawa, K2C3S1",Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 242 beds,No,Yes,Yes,Yes,,Ottawa, K2C3S1,242.0,104.0,57.0,58.0,Extendicare West End Villa,Ottawa,242.0,0,0,<5,Active
187,3520.0,extendicare york,long-term care home,Nursing and residential care facilities,Province of Ontario,,333,york street,P3E5J3,sudbury,on,,Greater Sudbury / Grand Sudbury,3553005.0,35.0,46.47514368,-81.00771419,extendicare york,extendicare york,EXTENDICARE YORK,333 York Street,"Sudbury, P3E5J3",North East,Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 288 beds,Yes,Yes,Yes,Yes,,Sudbury, P3E5J3,288.0,61.0,32.0,18.0,Extendicare York,Sudbury,288.0,,0,,Inactive
188,3523.0,f. j. davey home,long-term care home,Nursing and residential care facilities,Province of Ontario,,733,third line e,P6A7C1,sault ste marie,on,,Sault Ste. Marie,3557061.0,35.0,46.552122100000005,-84.3119845,f. j. davey home,f. j. davey home,F. J. DAVEY HOME,733 Third Line East,"Sault Ste Marie, P6A7C1",North East,F. J. Davey Home,,Non-Profit,Home with approximately 374 beds,No,Yes,Yes,Yes,,Sault Ste Marie, P6A7C1,374.0,65.0,25.0,,,,,,,,
189,3525.0,fairfield park,long-term care home,Nursing and residential care facilities,Province of Ontario,,1934,dufferin avenue,N8A4M2,chatham-kent,on,,Chatham-Kent,3536020.0,35.0,42.59425785,-82.41318124,fairfield park,fairfield park,FAIRFIELD PARK,1934 Dufferin Avenue,"Wallaceburg, N8A4M2",Erie St. Clair,"Lapointe-fisher Nursing Home, Limited",,For-Profit,Home with approximately 99 beds,No,Yes,No,No,,Wallaceburg, N8A4M2,99.0,32.0,16.0,,,,,,,,
190,3527.0,fairhaven,long-term care home,Nursing and residential care facilities,Province of Ontario,,881,dutton road,K9H7S4,peterborough,on,,Peterborough,3515014.0,35.0,44.32761635,-78.3181676,fairhaven,fairhaven,FAIRHAVEN,881 Dutton Road,"Peterborough, K9H7S4",Central East,City And County Of Peterborough,,Municipal,Home with approximately 256 beds,Yes,Yes,Yes,Yes,,Peterborough, K9H7S4,256.0,36.0,24.0,,,,,,,,
191,3529.0,fairmount home for the aged,long-term care home,Nursing and residential care facilities,Province of Ontario,,2069,battersea road,K0H1S0,kingston,on,,Kingston,3510010.0,35.0,44.31346333,-76.4650418,fairmount home for the aged,fairmount home for the aged,FAIRMOUNT HOME FOR THE AGED,2069 Battersea Road R. R. #1,"Glenburnie, K0H1S0",South East,The Corporation Of The County Of Frontenac,,Municipal,Home with approximately 128 beds,No,Yes,No,Yes,,Glenburnie, K0H1S0,128.0,34.0,22.0,,,,,,,,
192,3530.0,fairvern nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,14,mill street,P1H2A4,huntsville,on,,Huntsville,3544042.0,35.0,45.32656618,-79.21252868,fairvern nursing home,fairvern nursing home,FAIRVERN NURSING HOME,14 Mill Street,"Huntsville, P1H2A4",North Simcoe Muskoka,Huntsville District Nursing Home Inc.,,Non-Profit,Home with approximately 76 beds,No,Yes,Yes,Yes,,Huntsville, P1H2A4,76.0,21.0,11.0,,,,,,,,
193,3531.0,fairview lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,,632,dundas street w,L1N5S3,whitby,on,,Whitby,3518009.0,35.0,43.87912064,-78.95110927,fairview lodge,fairview lodge,FAIRVIEW LODGE,632 Dundas Street West P.O. Box 300,"Whitby, L1N5S3",Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 198 beds,No,Yes,Yes,Yes,,Whitby, L1N5S3,198.0,46.0,27.0,59.0,Fairview Lodge,Whitby,198.0,0,0,<5,Active
194,3533.0,fairview manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,75,spring street,K0A1A0,mississippi mills,on,,Mississippi Mills,3509030.0,35.0,45.2287855,-76.18998128,fairview manor,fairview manor,FAIRVIEW MANOR,75 Spring Street,"Almonte, K0A1A0",Champlain,Almonte General Hospital,,Non-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Almonte, K0A1A0,112.0,29.0,19.0,,,,,,,,
195,3534.0,fairview mennonite home,long-term care home,Nursing and residential care facilities,Province of Ontario,,515,langs drive,N3H5E4,cambridge,on,,Cambridge,3530010.0,35.0,43.398556400000004,-80.34314607,fairview mennonite home,fairview mennonite home,FAIRVIEW MENNONITE HOME,515 Langs Drive,"Cambridge, N3H5E4",Waterloo Wellington,Fairview Mennonite Homes,,Non-Profit,Home with approximately 84 beds,No,Yes,Yes,Yes,,Cambridge, N3H5E4,84.0,18.0,13.0,,,,,,,,
