index,name,address,city and postal code,LHIN,licensee,management,home type,beds,short stay,residents council,family council,accreditation,additional_info,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Unnamed: 0,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status
166,EXTENDICARE HAMILTON,90 Chedmac Drive,"Hamilton, L9C7S6",Hamilton Niagara Haldimand Brant (Hnhb),Extendicare (Canada) Inc.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Hamilton, L9C7S6,160.0,42.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,extendicare hamilton,,,,,,,,
167,EXTENDICARE KAPUSKASING,45 Ontario Street P.O. Box 460,"Kapuskasing, P5N2Y5",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 61 beds,Yes,Yes,Yes,Yes,,Kapuskasing, P5N2Y5,61.0,27.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,extendicare kapuskasing,,,,,,,,
168,EXTENDICARE KAWARTHA LAKES,125 Colborne Street East,"Lindsay, K0L2V0",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Lindsay, K0L2V0,64.0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,extendicare kawartha lakes,,,,,,,,
169,EXTENDICARE KINGSTON,309 Queen Mary Road,"Kingston, K7M6P4",South East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Kingston, K7M6P4,150.0,28.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,extendicare kingston,,,,,,,,
170,EXTENDICARE KIRKLAND LAKE,155 Government Road East,"Kirkland Lake, P2N3P4",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Kirkland Lake, P2N3P4,100.0,22.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,extendicare kirkland lake,,,,,,,,
171,EXTENDICARE LAKEFIELD,19 Fraser Street,"Lakefield, K0L2H0",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Lakefield, K0L2H0,100.0,19.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,extendicare lakefield,15.0,Extendicare Lakefield,Lakefield,100.0,,0,,Inactive
172,EXTENDICARE LAURIER MANOR,1715 Montreal Road,"Gloucester, K1J6N4",Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 242 beds,No,Yes,Yes,Yes,,Gloucester, K1J6N4,242.0,85.0,"(46.0, 172.0]",3.0,52.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,extendicare laurier manor,52.0,Extendicare Laurier Manor,Gloucester,242.0,10,22,33,Active
173,EXTENDICARE LONDON,860 Waterloo Street,"London, N6A3W6",South West,Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 170 beds,Yes,Yes,Yes,Yes,,London, N6A3W6,170.0,61.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,extendicare london,,,,,,,,
174,EXTENDICARE MAPLE VIEW OF SAULT STE. MARIE,650 Northern Avenue,"Sault Ste. Marie, P6B4J3",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 256 beds,No,Yes,Yes,Yes,,Sault Ste. Marie, P6B4J3,256.0,46.0,"(31.0, 46.0]",2.0,39.0,"(23.0, 86.0]",3.0,24.0,"(11.0, 44.0]",3.0,extendicare maple view of sault ste. marie,53.0,Extendicare Maple View of Sault Ste. Marie,Sault Ste. Marie,256.0,<5,0,0,Active
175,EXTENDICARE MEDEX,1865 Baseline Road,"Ottawa, K2C3K6",Champlain,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 193 beds,No,Yes,No,Yes,,Ottawa, K2C3K6,193.0,63.0,"(46.0, 172.0]",3.0,37.0,"(23.0, 86.0]",3.0,19.0,"(11.0, 44.0]",3.0,extendicare medex,,,,,,,,
176,EXTENDICARE MISSISSAUGA,855 John Watt Boulevard,"Mississauga, L5W1G2",Mississauga Halton,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 140 beds,No,Yes,Yes,Yes,,Mississauga, L5W1G2,140.0,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,extendicare mississauga,,,,,,,,
177,EXTENDICARE NEW ORCHARD LODGE,99 New Orchard Avenue,"Ottawa, K2B5E6",Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 111 beds,No,Yes,No,Yes,,Ottawa, K2B5E6,111.0,30.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,extendicare new orchard lodge,,,,,,,,
178,EXTENDICARE OSHAWA,82 Park Road North,"Oshawa, L1J4L1",Central East,Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 175 beds,Yes,Yes,Yes,Yes,,Oshawa, L1J4L1,175.0,41.0,"(31.0, 46.0]",2.0,28.0,"(23.0, 86.0]",3.0,8.0,"(7.0, 11.0]",2.0,extendicare oshawa,54.0,Extendicare Oshawa,Oshawa,175.0,<5,0,0,Active
179,EXTENDICARE PETERBOROUGH,80 Alexander Avenue,"Peterborough, K9J6B4",Central East,Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 174 beds,Yes,Yes,Yes,Yes,,Peterborough, K9J6B4,174.0,29.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,extendicare peterborough,,,,,,,,
180,EXTENDICARE PORT HOPE,360 Croft Street,"Port Hope, L1A4K8",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Port Hope, L1A4K8,128.0,29.0,"(21.0, 31.0]",1.0,21.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,extendicare port hope,,,,,,,,
181,EXTENDICARE PORT STANLEY,4551 East Road,"Port Stanley, N5L1J6",South West,Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Port Stanley, N5L1J6,60.0,31.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,extendicare port stanley,,,,,,,,
182,EXTENDICARE ROUGE VALLEY,551 Conlins Road,"Toronto, M1B5S1",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 192 beds,Yes,Yes,Yes,Yes,,Toronto, M1B5S1,192.0,35.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,extendicare rouge valley,16.0,Extendicare Rouge Valley,Toronto,192.0,,0,,Inactive
183,EXTENDICARE SCARBOROUGH,3830 Lawrence Avenue East,"Scarborough, M1G1R6",Central East,Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 154 beds,Yes,Yes,Yes,Yes,,Scarborough, M1G1R6,154.0,31.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,extendicare scarborough,55.0,Extendicare Scarborough,Scarborough,154.0,11,<5,8,Active
184,EXTENDICARE SOUTHWOOD LAKES,1255 North Talbot Road,"Windsor, N9G3A4",Erie St. Clair,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Windsor, N9G3A4,150.0,100.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,extendicare southwood lakes,56.0,Extendicare Southwood Lakes,Windsor,150.0,0,0,<5,Active
185,EXTENDICARE ST. CATHARINES,283 Pelham Road,"St. Catharines, L2S1X7",Hamilton Niagara Haldimand Brant (Hnhb),Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 153 beds,No,Yes,Yes,Yes,,St. Catharines, L2S1X7,153.0,27.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,extendicare st. catharines,,,,,,,,
186,EXTENDICARE STARWOOD,114 Starwood Road,"Nepean, K2G3N5",Champlain,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Nepean, K2G3N5,192.0,54.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,extendicare starwood,17.0,Extendicare Starwood,Nepean,192.0,,0,,Inactive
187,EXTENDICARE TECUMSEH,2475 St. Alphonse Street,"Tecumseh, N8N2X2",Erie St. Clair,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Tecumseh, N8N2X2,128.0,66.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,extendicare tecumseh,,,,,,,,
189,EXTENDICARE TIMMINS,62 St-Jean Avenue,"Timmins, P4R0A6",North East,Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 121 beds,No,Yes,Yes,Yes,,Timmins, P4R0A6,121.0,39.0,"(31.0, 46.0]",2.0,25.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,extendicare timmins,57.0,Extendicare Timmins,Timmins,180.0,<5,0,0,Active
190,EXTENDICARE TRI-TOWN,143 Bruce Street P.O. Box 999,"Haileybury, P0J1K0",North East,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Haileybury, P0J1K0,60.0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,extendicare tri-town,,,,,,,,
191,EXTENDICARE VAN DAELE,39 Van Daele Street,"Sault Ste Marie, P6B4V3",North East,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Sault Ste Marie, P6B4V3,100.0,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,extendicare van daele,,,,,,,,
192,EXTENDICARE WEST END VILLA,2179 Elmira Drive,"Ottawa, K2C3S1",Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 242 beds,No,Yes,Yes,Yes,,Ottawa, K2C3S1,242.0,104.0,"(46.0, 172.0]",3.0,57.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,extendicare west end villa,58.0,Extendicare West End Villa,Ottawa,242.0,0,0,<5,Active
193,EXTENDICARE YORK,333 York Street,"Sudbury, P3E5J3",North East,Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 288 beds,Yes,Yes,Yes,Yes,,Sudbury, P3E5J3,288.0,61.0,"(46.0, 172.0]",3.0,32.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,extendicare york,18.0,Extendicare York,Sudbury,288.0,,0,,Inactive
194,F. J. DAVEY HOME,733 Third Line East,"Sault Ste Marie, P6A7C1",North East,F. J. Davey Home,,Non-Profit,Home with approximately 374 beds,No,Yes,Yes,Yes,,Sault Ste Marie, P6A7C1,374.0,65.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,f. j. davey home,,,,,,,,
195,FAIRFIELD PARK,1934 Dufferin Avenue,"Wallaceburg, N8A4M2",Erie St. Clair,"Lapointe-fisher Nursing Home, Limited",,For-Profit,Home with approximately 99 beds,No,Yes,No,No,,Wallaceburg, N8A4M2,99.0,32.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,fairfield park,,,,,,,,
196,FAIRHAVEN,881 Dutton Road,"Peterborough, K9H7S4",Central East,City And County Of Peterborough,,Municipal,Home with approximately 256 beds,Yes,Yes,Yes,Yes,,Peterborough, K9H7S4,256.0,36.0,"(31.0, 46.0]",2.0,24.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,fairhaven,,,,,,,,
197,FAIRMOUNT HOME FOR THE AGED,2069 Battersea Road R. R. #1,"Glenburnie, K0H1S0",South East,The Corporation Of The County Of Frontenac,,Municipal,Home with approximately 128 beds,No,Yes,No,Yes,,Glenburnie, K0H1S0,128.0,34.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,fairmount home for the aged,,,,,,,,
198,FAIRVERN NURSING HOME,14 Mill Street,"Huntsville, P1H2A4",North Simcoe Muskoka,Huntsville District Nursing Home Inc.,,Non-Profit,Home with approximately 76 beds,No,Yes,Yes,Yes,,Huntsville, P1H2A4,76.0,21.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,fairvern nursing home,,,,,,,,
199,FAIRVIEW LODGE,632 Dundas Street West P.O. Box 300,"Whitby, L1N5S3",Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 198 beds,No,Yes,Yes,Yes,,Whitby, L1N5S3,198.0,46.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,fairview lodge,59.0,Fairview Lodge,Whitby,198.0,0,0,<5,Active
200,FAIRVIEW MANOR,75 Spring Street,"Almonte, K0A1A0",Champlain,Almonte General Hospital,,Non-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Almonte, K0A1A0,112.0,29.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,fairview manor,,,,,,,,
201,FAIRVIEW MENNONITE HOME,515 Langs Drive,"Cambridge, N3H5E4",Waterloo Wellington,Fairview Mennonite Homes,,Non-Profit,Home with approximately 84 beds,No,Yes,Yes,Yes,,Cambridge, N3H5E4,84.0,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,fairview mennonite home,,,,,,,,
202,FAIRVIEW NURSING HOME,14 Cross Street,"Toronto, M6J1S8",Toronto Central,Fairview Nursing Home Limited,Specialty Care Inc.,For-Profit,Home with approximately 108 beds,No,Yes,Yes,Yes,,Toronto, M6J1S8,108.0,33.0,"(31.0, 46.0]",2.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,fairview nursing home,,,,,,,,
203,FAITH MANOR NURSING HOME,7900 Mclaughlin Road South,"Brampton, L6Y5A7",Central West,Holland Christian Homes Inc.,,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Brampton, L6Y5A7,120.0,39.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,faith manor nursing home,60.0,Faith Manor Nursing Home,Brampton,120.0,<5,0,<5,Active
204,FENELON COURT,44 Wychwood Crescent,"Fenelon Falls, K0M1N0",Central East,Axr Operating (National) Lp,,For-Profit,Home with approximately 67 beds,No,Yes,Yes,Yes,,Fenelon Falls, K0M1N0,67.0,18.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,fenelon court,,,,,,,,
205,FIDDICK'S NURSING HOME,437 First Avenue P.O. Box 340,"Petrolia, N0N1R0",Erie St. Clair,Fiddick's Nursing Home Limited,,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,,Petrolia, N0N1R0,92.0,37.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,fiddick's nursing home,,,,,,,,
206,FIELDSTONE COMMONS CARE COMMUNITY,1000 Ellesmere Road,"Scarborough, M1P5G2",Central East,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 224 beds,Yes,Yes,Yes,Yes,,Scarborough, M1P5G2,224.0,43.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,fieldstone commons care community,,,,,,,,
207,FINLANDIA HOIVAKOTI NURSING HOME LIMITED,233 Fourth Avenue,"Sudbury, P3B4C3",North East,Finlandia Nursing Home Limited,,For-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Sudbury, P3B4C3,112.0,42.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,finlandia hoivakoti nursing home,61.0,Finlandia Hoivakoti Nursing Home,Sudbury,112.0,0,0,<5,Active
208,FOREST HEIGHTS,60 Westheights Drive,"Kitchener, N2N2A8",Waterloo Wellington,Revera Long Term Care Inc.,,For-Profit,Home with approximately 240 beds,Yes,Yes,Yes,Yes,,Kitchener, N2N2A8,240.0,101.0,"(46.0, 172.0]",3.0,39.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,forest heights,62.0,Forest Heights,Kitchener,240.0,166,46,59,Active
209,FOREST HILL,6501 Campeau Drive,"Kanata, K2K3E9",Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Kanata, K2K3E9,160.0,42.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,forest hill,,,,,,,,
210,FOSTERBROOKE,330 King Street West,"Newcastle, L1B1G9",Central East,Revera Long Term Care Inc.,,For-Profit,Home with approximately 88 beds,Yes,Yes,Yes,Yes,,Newcastle, L1B1G9,88.0,23.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,2.0,"(0.0, 5.0]",0.0,fosterbrooke,,,,,,,,
211,FOUNTAIN VIEW CARE COMMUNITY,1800 O'Connor Drive,"East York, M4A1W7",Toronto Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 158 beds,No,Yes,Yes,Yes,,East York, M4A1W7,158.0,43.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,fountain view care community,63.0,Fountain View Care Community,East York,158.0,0,0,<5,Active
212,FOX RIDGE CARE COMMUNITY,389 West Street,"Brantford, N3R3V9",Hamilton Niagara Haldimand Brant (Hnhb),2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 122 beds,No,Yes,Yes,Yes,,Brantford, N3R3V9,122.0,64.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,fox ridge care community,,,,,,,,
213,FOYER DES PIONNIERS,67 15th Street P.O. Box 1538,"Hearst, P0L1N0",North East,Foyer Hearst - Mattice - Soins De Sante,,Non-Profit,Home with approximately 67 beds,Yes,Yes,Yes,No,,Hearst, P0L1N0,67.0,17.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,foyer des pionniers,,,,,,,,
214,FOYER RICHELIEU WELLAND,655 Tanguay Avenue,"Welland, L3B6A1",Hamilton Niagara Haldimand Brant (Hnhb),Foyer Richelieu Welland,,Non-Profit,Home with approximately 63 beds,No,Yes,Yes,No,,Welland, L3B6A1,63.0,43.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,foyer richelieu welland,,,,,,,,
215,FOYER ST-VIATEUR NURSING HOME,1003 Limoges Road South,"Limoges, K0A2M0",Champlain,Genesis Gardens Inc.,,For-Profit,Home with approximately 57 beds,No,Yes,Yes,Yes,,Limoges, K0A2M0,57.0,66.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,foyer st-viateur nursing home,,,,,,,,
216,FRANKLIN GARDENS LONG TERM CARE HOME,24 Franklin Road,"Leamington, N8H4B7",Erie St. Clair,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Leamington, N8H4B7,120.0,56.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,franklin gardens long term care home,64.0,Franklin Gardens Long Term Care Home,Leamington,120.0,<5,0,<5,Active
217,FRIENDLY MANOR NURSING HOME,"9756 County Road, #2 P.O. Box 305","Deseronto, K0K1X0",South East,Manorcare Partners Ii,Eldercare Management & Consulting Corp.,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,Deseronto, K0K1X0,60.0,30.0,"(21.0, 31.0]",1.0,21.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,friendly manor nursing home,,,,,,,,
218,FROST MANOR,225 Mary Street West,"Lindsay, K9V5K3",Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 62 beds,No,Yes,Yes,Yes,,Lindsay, K9V5K3,62.0,22.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,frost manor,,,,,,,,
219,FUDGER HOUSE,439 Sherbourne Street,"Toronto, M4X1K6",Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 250 beds,Yes,Yes,Yes,Yes,,Toronto, M4X1K6,250.0,21.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,fudger house,65.0,Fudger House,Toronto,250.0,<5,0,0,Active
220,GARDEN CITY MANOR,168 Scott Street,"St. Catharines, L2N1H2",Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 200 beds,No,Yes,Yes,Yes,,St. Catharines, L2N1H2,200.0,56.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,garden city manor,66.0,Garden City Manor,St. Catharines,200.0,<5,0,0,Active
221,GARDEN COURT NURSING HOME,1 Sand Beach Road,"Etobicoke, M8V2W2",Toronto Central,Shaparrall Limited,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,No,,Etobicoke, M8V2W2,45.0,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,garden court nursing home,,,,,,,,
222,GARDEN TERRACE,100 Aird Place,"Kanata, K2L4H8",Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 160 beds,Yes,Yes,Yes,Yes,,Kanata, K2L4H8,160.0,54.0,"(46.0, 172.0]",3.0,41.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,garden terrace,67.0,Garden Terrace,Kanata,160.0,0,<5,<5,Active
223,GARDENVIEW LONG TERM CARE HOME,72 Town Centre Drive,"Townsend, N0A1S0",Hamilton Niagara Haldimand Brant (Hnhb),Parkview Meadows Christian Retirement Village,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,,Townsend, N0A1S0,64.0,18.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,2.0,"(0.0, 5.0]",0.0,gardenview long term care home,68.0,Gardenview Long Term Care Home,Townsend,64.0,0,0,0,Active
224,GARRY J. ARMSTRONG HOME,200 Island Lodge Road,"Ottawa, K1N5M2",Champlain,City Of Ottawa,,Municipal,Home with approximately 180 beds,No,Yes,Yes,Yes,,Ottawa, K1N5M2,180.0,69.0,"(46.0, 172.0]",3.0,52.0,"(23.0, 86.0]",3.0,21.0,"(11.0, 44.0]",3.0,garry j. armstrong home,19.0,Garry J. Armstrong Home,Ottawa,180.0,,0,,Inactive
225,GATEWAY HAVEN LONG TERM CARE HOME,671 Frank Street P.O. Box 10,"Wiarton, N0H2T0",South West,Corporation Of The County Of Bruce,,Municipal,Home with approximately 100 beds,No,Yes,Yes,No,,Wiarton, N0H2T0,100.0,19.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,gateway haven long term care home,,,,,,,,
227,GEORGIAN HEIGHTS,1115-10th Street East,"Owen Sound, N4K6B1",South West,Grosvenor Health Care Partnership (No. 3),Revera Long Term Care Inc.,For-Profit,Home with approximately 40 beds,No,Yes,Yes,Yes,,Owen Sound, N4K6B1,40.0,20.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,georgian heights,,,,,,,,
228,GEORGIAN MANOR HOME FOR THE AGED,101 Thompsons Road,"Penetanguishene, L9M0V3",North Simcoe Muskoka,Corporation Of The County Of Simcoe,,Municipal,Home with approximately 143 beds,Yes,Yes,Yes,Yes,,Penetanguishene, L9M0V3,143.0,22.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,georgian manor home for the aged,,,,,,,,
229,GERALDTON DISTRICT HOSPITAL,500 Hogarth Avenue West,"Geraldton, P0T1M0",North West,Geraldton District Hospital,,Non-Profit,Home with approximately 19 beds,No,Yes,Yes,Yes,,Geraldton, P0T1M0,19.0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,geraldton district hospital,,,,,,,,
230,GILMORE LODGE,50 Gilmore Road,"Fort Erie, L2A2M1",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 80 beds,No,Yes,Yes,Yes,,Fort Erie, L2A2M1,80.0,16.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,gilmore lodge,,,,,,,,
231,GLEBE CENTRE,950 Bank Street,"Ottawa, K1S5G6",Champlain,The Glebe Centre Incorporated,,Non-Profit,Home with approximately 254 beds,No,Yes,Yes,Yes,,Ottawa, K1S5G6,254.0,42.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,18.0,"(11.0, 44.0]",3.0,glebe centre,,,,,,,,
