name,cleaned_name,address,LHIN,home_type,city,postal_code,short_stay,residents_council,family_council,accreditation,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,antipsychotic_percent,depression_percent,falls_percent,pressure_ulcers_percent,pain_percent,restraints_percent,confirmed_resident_cases,resident_deaths,confirmed_staff_cases,status,number_beds,CSDname,CSDuid,latitude,longitude
CARESSANT CARE LINDSAY NURSING HOME,caressant care lindsay nursing home,240 Mary Street West,Central East,For-Profit,Lindsay, K9V5K5,No,Yes,No,Yes,49,25,12,22,8,4,16,10,5,6,4,3,16.3,23.2,22.2,2.1,7.7,2.8,,0,,Inactive,124,Kawartha Lakes,3516010,44.34327843,-78.75034644
CARESSANT CARE LISTOWEL NURSING HOME,caressant care listowel nursing home,710 Reserve Avenue South,South West,For-Profit,Listowel, N4W2L1,Yes,Yes,No,Yes,28,13,4,11,3,0,6,3,2,5,4,1,25.3,30.5,17,6,3.8,0,,,,,52,North Perth,3531040,43.72273922,-80.95335159
CARESSANT CARE MARMORA,caressant care marmora,58 Bursthall Street P.O. Box 429,South East,For-Profit,Marmora, K0K2M0,No,Yes,Yes,Yes,48,28,16,18,9,6,15,11,8,6,3,1,13,31.9,8.1,4.3,7.3,1.4,,,,,84,Marmora and Lake,3512046,44.48072361,-77.67733231
CARESSANT CARE ON BONNIE PLACE,caressant care on bonnie place,15 Bonnie Place,South West,For-Profit,St Thomas, N5R5T8,No,Yes,No,Yes,87,34,15,32,16,4,43,11,8,12,9,6,10.9,42.7,13.7,3.4,7.3,7.1,,0,,Inactive,116,St. Thomas,3534021,42.77305945,-81.16165267
CARESSANT CARE ON MARY BUCKE,caressant care on mary bucke,4 Mary Bucke Street,South West,For-Profit,St. Thomas, N5R5J6,No,Yes,No,Yes,36,13,7,13,0,0,13,5,4,8,7,2,12.9,16.9,8.2,2,6.7,11.1,,,,,60,St. Thomas,3534021,42.76681534,-81.16897487
CARESSANT CARE ON MCLAUGHLIN ROAD,caressant care on mclaughlin road,114 McLaughlin Road,Central East,For-Profit,Lindsay, K9V6L1,No,Yes,Yes,Yes,38,18,5,13,8,3,13,4,1,8,4,0,15.6,45.4,15.2,5.6,4.1,12.2,,,,,96,Kawartha Lakes,3516010,44.3447647,-78.7610205
THE MAPLES HOME FOR SENIORS,the maples home for seniors,94 William Street South P.O. Box 400,South West,For-Profit,Tavistock, N0B2R0,No,Yes,Yes,Yes,23,9,3,5,3,0,9,3,3,5,2,0,19.2,42,12.3,1.5,6.3,0,,,,,43,East Zorra-Tavistock,3532038,43.31755486,-80.83826132
CARESSANT CARE WOODSTOCK NURSING HOME,caressant care woodstock nursing home,81 Fyfe Avenue,South West,For-Profit,Woodstock, N4S8Y2,Yes,Yes,Yes,Yes,95,51,21,41,16,6,30,15,6,29,27,12,19.8,24.7,23.4,7.7,5.7,2.3,,,,,163,Woodstock,3532042,43.12334673,-80.74298547
CARVETH CARE CENTRE,carveth care centre,375 James Street,South East,For-Profit,Gananoque, K7G2Z1,No,Yes,Yes,Yes,30,20,7,12,6,2,7,6,4,4,3,0,6.9,31,13,3.2,5,2,,,,,104,Gananoque,3507024,44.33633895,-76.1592067
THE BIGNUCOLO RESIDENCE,the bignucolo residence,"c/o Chapleau General Hospital P. O. Box 757, 6 Broomhead Road",North East,Non-Profit,Chapleau, P0M1K0,Yes,Yes,No,Yes,11,7,3,0,0,0,4,3,2,3,3,0,54.1,21.5,26.5,0,6.9,2.4,,,,,18,Chapleau,3552092,47.841251,-83.414961
CHARTWELL AYLMER LONG TERM CARE RESIDENCE,chartwell aylmer long term care residence,465 Talbot Street West,South West,For-Profit,Aylmer, N5H1K8,No,Yes,No,Yes,30,10,5,4,1,1,16,3,1,4,2,1,12.8,19,9.6,0.8,8.9,0,,,,,64,Aylmer,3534011,42.77395085,-80.99760032
CAWTHRA GARDENS,cawthra gardens,590 Lolita Gardens,Mississauga Halton,For-Profit,Mississauga, L5A4N8,No,Yes,Yes,Yes,27,17,7,11,6,2,10,6,4,5,5,1,21.5,21.8,15.3,0.4,4.7,0.6,,0,,Inactive,192,Mississauga,3521005,43.59302306,-79.60362445
CHARTWELL AURORA LONG TERM CARE RESIDENCE,chartwell aurora long term care residence,32 Mill Street,Central,For-Profit,Aurora, L4G2R9,Yes,Yes,Yes,Yes,28,13,8,15,6,5,6,2,2,1,0,0,18.7,25.9,15.4,1.4,1.3,1,,11,,Inactive,235,Aurora,3519046,43.99779774,-79.47131474
CHARTWELL BALLYCLIFFE LONG TERM CARE RESIDENCE,chartwell ballycliffe long term care residence,70 Station Street,Central East,For-Profit,Ajax, L1S1R9,No,Yes,Yes,Yes,65,43,7,28,21,4,18,12,2,12,5,0,2.9,14.9,11.1,2.1,2,1.1,<5,32,0,Active,100,Ajax,3518005,43.85095764,-79.02534179
BON AIR LONG TERM CARE RESIDENCE,chartwell bon air long term care residence,131 Laidlaw Street South,Central East,For-Profit,Cannington, L0E1E0,Yes,Yes,Yes,Yes,21,11,5,7,2,2,7,5,3,2,0,0,13.9,33.8,19.5,1.6,3.3,8.4,,,,,57,Brock,3518039,44.34590892,-79.03751134
CHARTWELL BRANT CENTRE LONG TERM CARE RESIDENCE,chartwell brant centre long term care residence,1182 Northshore Blvd. East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Burlington, L7S1C5,No,Yes,Yes,Yes,43,14,7,21,7,4,16,3,3,2,1,0,10.6,23.6,15.1,1.3,2.4,4.8,<5,0,0,Active,175,Burlington,3524002,43.31651571,-79.80381069
CHAMPLAIN LONG TERM CARE RESIDENCE,chartwell champlain long term care residence,428 Front Road West,Champlain,For-Profit,L'Orignal, K0B1K0,No,Yes,Yes,Yes,30,19,10,2,0,0,11,8,6,6,4,2,15.6,43.7,17.5,3.2,0.9,0,,,,,60,Champlain,3502010,45.62972163,-74.67048831
CHARTWELL GIBSON LONG TERM CARE RESIDENCE,chartwell gibson long term care residence,1925 Steeles Avenue East,Central,For-Profit,North York, M2H2H3,No,Yes,No,Yes,58,11,6,20,2,1,21,4,4,9,1,0,18.5,13.1,14.9,0.3,1.1,0.6,35,9,10,Active,202,Toronto,3520005,43.80765981,-79.37379369
CHARTWELL PINE GROVE LONG TERM CARE RESIDENCE,chartwell pine grove long term care residence,8403 Islington Avenue North,Central West,For-Profit,Woodbridge, L4L1X3,Yes,Yes,Yes,Yes,15,10,5,6,1,1,4,4,3,1,1,1,21.1,21.3,18.2,2.2,1.8,0.6,0,0,<5,Active,96,Vaughan,3519028,43.797729,-79.58431476
CHARTWELL ROYAL OAK LONG TERM CARE RESIDENCE,chartwell royal oak long term care residence,1750 Division Road North,Erie St. Clair,For-Profit,Kingsville, N9Y4G7,No,Yes,Yes,Yes,73,41,15,36,18,6,30,17,8,4,4,2,17.2,30,20.7,2.7,8,0,<5,0,0,Active,160,Kingsville,3537013,42.0501946,-82.7375796
CHARTWELL TRILOGY LONG TERM CARE RESIDENCE,chartwell trilogy long term care residence,340 McCowan Road,Central East,For-Profit,Scarborough, M1J3P4,Yes,Yes,Yes,Yes,33,21,11,12,7,5,15,9,4,4,4,2,23.2,23.8,9.9,1.5,0.4,0.2,,0,,Inactive,197,Toronto,3520005,43.73848531,-79.23864245
CHARTWELL WATERFORD LONG TERM CARE RESIDENCE,chartwell waterford long term care residence,2140 Baronwood Drive,Mississauga Halton,For-Profit,Oakville, L6M4V6,No,Yes,Yes,Yes,42,21,11,18,9,5,12,5,4,9,5,1,19,28.1,22.2,2.8,1.6,3.1,,0,,Inactive,168,Oakville,3524001,43.42715623,-79.76303438
CHARTWELL WENLEIGH LONG TERM CARE RESIDENCE,chartwell wenleigh long term care residence,2065 Leanne Boulevard,Mississauga Halton,For-Profit,Mississauga, L5K2L6,No,Yes,Yes,Yes,27,13,7,13,5,3,8,4,3,2,2,0,21.2,11.6,13.8,1.4,3.9,6.5,0,0,<5,Active,161,Mississauga,3521005,43.52485635,-79.65178876
CHARTWELL WESTBURY LONG TERM CARE RESIDENCE,chartwell westbury long term care residence,495 The West Mall,Mississauga Halton,For-Profit,Etobicoke, M9C5S3,No,Yes,Yes,Yes,21,13,4,10,6,1,4,3,3,2,0,0,15.4,8.8,10.5,1.1,5.9,0,<5,22,26,Active,187,Toronto,3520005,43.64832328,-79.56767874
CHARTWELL WESTMOUNT LONG TERM CARE RESIDENCE,chartwell westmount long term care residence,200 David Bergey Drive,Waterloo Wellington,For-Profit,Kitchener, N2E3Y4,No,Yes,Yes,Yes,44,19,9,17,8,3,21,6,4,3,3,2,16.8,23.8,19,1.4,4.1,0.9,<5,0,<5,Active,160,Kitchener,3530013,43.40613299,-80.51775782
CHARTWELL WHITE EAGLE LONG TERM CARE RESIDENCE,chartwell white eagle long term care residence,138 Dowling Avenue,Toronto Central,For-Profit,Toronto, M6K3A6,Yes,Yes,Yes,Yes,13,9,3,2,0,0,3,2,2,2,2,0,16.2,16.7,16.1,1.5,3,0,26,11,9,Active,56,Toronto,3520005,43.63717128,-79.4392265
CHARTWELL WILLOWGROVE LONG TERM CARE RESIDENCE,chartwell willowgrove long term care residence,1217 Old Mohawk Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Ancaster, L9K1P6,No,Yes,Yes,Yes,24,13,7,8,1,1,8,5,3,4,4,1,20.7,28.1,18.3,1.2,2.5,5.7,,,,,169,Hamilton,3525005,43.23324649,-79.93527582
CHARTWELL WOODHAVEN LONG TERM CARE RESIDENCE,chartwell woodhaven long term care residence,380 Church Street,Central,For-Profit,Markham, L6B1E1,Yes,No,Yes,Yes,30,18,9,13,7,5,10,7,2,11,9,5,20.7,19.8,13.8,2.5,2.7,1.1,,0,,Inactive,192,Markham,3519036,43.88586653,-79.23093356
CHARTWELL WYNFIELD LONG TERM CARE RESIDENCE,chartwell wynfield long term care residence,451 Woodmount Drive,Central East,For-Profit,Oshawa, L1G8E3,No,Yes,Yes,Yes,27,18,10,12,7,6,10,7,4,2,1,0,23.4,36.2,21,2.4,2.2,1.3,,0,,Inactive,172,Oshawa,3518013,43.94673256,-78.87267965
CHARTWELL ELMIRA LONG TERM CARE RESIDENCE,chartwell elmira long term care residence,11 Herbert Street,Waterloo Wellington,For-Profit,Elmira, N3B2B8,No,Yes,No,Yes,17,9,4,1,1,1,9,4,2,2,1,1,12.1,28.8,17,2.5,10,0,,0,,Inactive,48,Woolwich,3530035,43.60150562,-80.56368125
LANCASTER LONG TERM CARE RESIDENCE,chartwell lancaster long term care residence,105 Military Road North P.O. Box 429,Champlain,For-Profit,Lancaster, K0C1N0,No,Yes,Yes,Yes,38,22,8,0,0,0,22,12,8,5,4,0,29.7,31.6,21.7,0.6,4.1,3.9,,,,,60,South Glengarry,3501005,45.14626646,-74.50391692
CHARTWELL LONDON LONG TERM CARE RESIDENCE,chartwell london long term care residence,2000 Blackwater Road,South West,For-Profit,London, N5X4K6,No,Yes,No,Yes,43,19,8,10,6,2,26,9,5,1,0,0,3.1,23.7,11.4,0.9,2.7,4.6,,,,,95,London,3539036,43.04406869,-81.26074922
NIAGARA LONG TERM CARE RESIDENCE,chartwell niagara long term care residence,120 Wellington Street P.O. Box 985,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Niagara-On-The-Lake, L0S1J0,No,Yes,Yes,Yes,19,9,6,9,2,2,4,2,2,3,2,1,18.2,25.3,17.1,4,5.6,3.3,,,,,124,Niagara-on-the-Lake,3526047,43.2549638,-79.0657413
CHARTWELL PARKHILL LONG TERM CARE RESIDENCE,chartwell parkhill long term care residence,250 Tain Street P.O. Box 129,South West,For-Profit,Parkhill, N0M2K0,No,Yes,No,Yes,22,15,11,5,4,3,7,4,3,4,3,3,13.4,37.1,14.8,2.6,3.6,1,,,,,59,North Middlesex,3539041,43.15701009,-81.68166257
QUEEN'S GARDEN,queen's garden,80 Queen Street North,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Hamilton, L8R3P6,No,Yes,Yes,Yes,44,15,9,19,6,3,13,4,4,7,6,3,20,16.5,14,3,5.2,1.7,,,,,128,Hamilton,3525005,43.26115109,-79.87697411
REGINA GARDENS,regina gardens,536 Upper Paradise Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Hamilton, L9C5E3,No,Yes,Yes,Yes,32,16,6,20,7,2,4,3,2,4,3,2,9.2,39.7,14.6,2.3,3.4,0.4,,0,,Inactive,128,Hamilton,3525005,43.23102399,-79.91358922
VILLA FORUM,villa forum,175 Forum Drive,Mississauga Halton,Non-Profit,Mississauga, L4Z4E5,No,Yes,Yes,Yes,38,13,7,16,6,4,9,3,2,3,3,3,8.3,28.8,8.6,0.5,0.4,0,,10,,Inactive,160,Mississauga,3521005,43.61180807,-79.65152977
CLARION NURSING HOME,clarion nursing home,337 Highway #8,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Stoney Creek, L8G1E7,No,Yes,Yes,Yes,22,14,7,5,2,2,5,3,3,8,5,1,26.6,25.4,4.7,2.9,2.7,0,,0,,Inactive,100,Hamilton,3525005,43.22037979,-79.72817146
GOOD SAMARITAN NURSING HOME,good samaritan nursing home,481 Victoria Street East,Central,For-Profit,Alliston, L9R1J8,No,Yes,No,Yes,14,8,4,3,0,0,4,3,2,1,1,1,15.4,25.9,20.8,7.1,2.3,0,,,,,64,New Tecumseth,3543007,44.15888285,-79.84546178
COLLINGWOOD NURSING HOME,collingwood nursing home,250 Campbell Street,North Simcoe Muskoka,For-Profit,Collingwood, L9Y4J9,No,Yes,Yes,No,24,16,14,8,3,3,6,5,5,7,6,6,45.9,29.9,14.7,7.2,3.2,19,<5,0,0,Active,64,Collingwood,3543031,44.48264419,-80.22895893
THE PALACE,the palace,92 Centre Street,Champlain,For-Profit,Alexandria, K0C1A0,No,Yes,Yes,Yes,37,30,18,11,8,6,12,12,12,10,8,2,26.4,24.9,33.2,2.6,3.5,2,,,,,70,North Glengarry,3501050,45.31136778,-74.63263588
BILLINGS COURT MANOR,billings court manor,3700 Billings Court,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Burlington, L7N3N6,No,Yes,Yes,Yes,24,16,8,8,5,4,4,3,2,7,6,3,24.8,43.5,21.2,3.5,3.3,3.6,,,,,160,Burlington,3524002,43.36439192,-79.78777539
CRESCENT PARK LODGE,crescent park lodge,4 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Fort Erie, L2A5M5,Yes,Yes,Yes,Yes,26,17,8,10,6,3,7,5,4,5,3,0,18.7,15.2,4,4.4,4.3,3.7,<5,0,0,Active,68,Fort Erie,3526003,42.91044887,-78.92320857
MAPLE PARK LODGE,maple park lodge,6 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Fort Erie, L2A5M5,No,Yes,Yes,Yes,26,15,5,9,4,2,11,7,3,4,2,0,31.4,31.2,14.2,4.7,4.1,11.1,,,,,96,Fort Erie,3526003,42.91045417,-78.92271967
MILLENNIUM TRAIL MANOR,millennium trail manor,6861 Oakwood Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Niagara Falls, L2E6S5,No,Yes,Yes,Yes,50,23,13,23,9,5,16,8,6,13,4,1,21.1,34.9,19.9,2.5,3.1,9,,,,,160,Niagara Falls,3526043,43.076347,-79.11734305
NORTHVIEW NURSING HOME,northview nursing home,77 River Road P.O. Box 1139,North East,For-Profit,Englehart, P0J1H0,Yes,Yes,No,Yes,22,14,6,8,6,3,4,3,1,7,4,1,21.9,19.7,14.7,2.7,17,0,,0,,Inactive,48,Englehart,3554052,47.8219425,-79.8655049
OAKWOOD PARK LODGE,oakwood park lodge,6747 Oakwood Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Niagara Falls, L2E6S5,Yes,Yes,No,Yes,51,29,16,21,11,7,14,7,6,13,9,2,8.5,28.1,15.2,2.5,4.5,8.5,,,,,153,Niagara Falls,3526043,43.0769904,-79.11785895
VALLEY PARK LODGE,valley park lodge,6400 Valley Way,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Niagara Falls, L2E7E3,Yes,Yes,Yes,Yes,32,15,5,20,7,4,2,2,1,4,3,0,10.3,30.4,17.1,3.9,19.4,2.7,,,,,65,Niagara Falls,3526043,43.0977475,-79.10129525
GLEN-STOR-DUN LODGE,glen-stor-dun lodge,1900 Montreal Road,Champlain,Municipal,Cornwall, K6H7L1,Yes,Yes,Yes,Yes,42,27,14,19,8,5,13,10,6,10,10,6,27.2,19.6,13.6,0.7,11.8,6.4,,,,,132,Cornwall,3501012,45.02603103,-74.68347497
VALLEYVIEW HOME,valleyview home,350 Burwell Road,South West,Municipal,St. Thomas, N5P0A3,Yes,Yes,Yes,Yes,33,18,13,11,7,5,13,5,5,3,3,2,19.1,36.2,16.8,3,0.8,34.7,,,,,136,St. Thomas,3534021,42.80412155,-81.15985057
PIONEER RIDGE,pioneer ridge,750 Tungsten Street,North West,Municipal,Thunder Bay, P7B6R1,No,Yes,Yes,Yes,29,13,7,11,4,3,8,3,2,5,2,1,20.6,14.6,10,1.9,7.7,16.3,,,,,150,Thunder Bay,3558004,48.41777116,-89.25595747
GOLDEN MANOR,golden manor,481 Melrose Boulevard,North East,Municipal,Timmins, P4N5H3,Yes,Yes,Yes,Yes,21,13,5,7,4,2,8,4,3,6,4,0,28.1,27.1,21.7,1,2.9,2.3,,0,,Inactive,177,Timmins,3556027,48.48606627,-81.34352493
BENDALE ACRES,bendale acres,2920 Lawrence Avenue East,Central East,Municipal,Scarborough, M1P2T8,Yes,Yes,Yes,Yes,35,17,10,16,7,5,12,5,4,6,4,2,7.2,13.4,12.2,1.9,0.9,0.7,,0,,Inactive,302,Toronto,3520005,43.75493801,-79.25183955
CAREFREE LODGE,carefree lodge,306 Finch Avenue East,Central,Municipal,North York, M2N4S5,No,Yes,Yes,Yes,19,13,8,8,4,3,2,2,2,5,3,2,12.8,10.6,19.1,3.4,0.8,0,,0,,Inactive,127,Toronto,3520005,43.78501831,-79.3941154
CASTLEVIEW WYCHWOOD TOWERS,castleview wychwood towers,351 Christie Street,Toronto Central,Municipal,Toronto, M6G3C3,Yes,Yes,Yes,Yes,78,27,12,36,12,5,20,8,5,21,6,1,15.7,14.1,10.5,2.1,2.9,3.1,<5,0,<5,Active,456,Toronto,3520005,43.67317759,-79.4217856
CUMMER LODGE,cummer lodge,205 Cummer Avenue,Central,Municipal,North York, M2M2E8,Yes,Yes,Yes,Yes,50,27,13,25,12,6,16,9,6,8,5,3,14,11.3,14.2,1.4,0.2,0.5,,<5,,Inactive,391,Toronto,3520005,43.78816171,-79.4075617
FUDGER HOUSE,fudger house,439 Sherbourne Street,Toronto Central,Municipal,Toronto, M4X1K6,Yes,Yes,Yes,Yes,22,13,7,10,3,2,6,4,4,2,2,2,12.1,17.5,7.5,1.7,1.3,0,<5,0,0,Active,250,Toronto,3520005,43.66633069,-79.37402148
KIPLING ACRES,kipling acres,2233 Kipling Avenue,Central West,Municipal,Etobicoke, M9W4L3,Yes,Yes,Yes,Yes,41,20,11,18,7,5,16,8,5,3,3,2,13.7,33.2,11.6,2,0.9,1,30,14,11,Active,337,Toronto,3520005,43.72574509,-79.57339555
LAKESHORE LODGE,lakeshore lodge,3197 Lakeshore Blvd. West,Toronto Central,Municipal,Etobicoke, M8V3X5,No,Yes,Yes,Yes,14,7,3,9,2,1,2,2,2,0,0,0,13.5,12.3,9.9,2.3,0.7,2.1,27,11,21,Active,150,Toronto,3520005,43.59721667,-79.51845532
SEVEN OAKS,seven oaks,9 Neilson Road,Central East,Municipal,Scarborough, M1E5E1,Yes,Yes,Yes,Yes,47,32,20,21,15,9,17,11,7,8,8,5,15.9,5.7,13,2.5,1.1,3.2,18,41,21,Active,249,Toronto,3520005,43.78117732,-79.20432774
TRUE DAVIDSON ACRES,true davidson acres,200 Dawes Road,Toronto Central,Municipal,Toronto, M4C5M8,Yes,Yes,Yes,Yes,24,14,9,14,6,4,5,4,4,2,2,2,14.8,27.2,11.8,3.3,3.6,1.1,,,,,187,Toronto,3520005,43.6960602,-79.29840606
WESBURN MANOR,wesburn manor,400 The West Mall,Mississauga Halton,Municipal,Etobicoke, M9C5S1,Yes,Yes,Yes,Yes,62,20,6,44,12,3,8,4,2,13,3,1,11,33.4,13.8,2.1,1.2,0,<5,0,0,Active,192,Toronto,3520005,43.64388927,-79.56745924
DUFFERIN OAKS,dufferin oaks,151 Centre Street,Central West,Municipal,Shelburne, L0N1S4,No,Yes,Yes,No,24,14,6,8,6,3,8,4,3,2,2,0,17,37.3,23.8,2.8,12.1,0,,0,,Inactive,160,Shelburne,3522021,44.07675832,-80.20035498
SUN PARLOR HOME FOR SENIOR CITIZENS,sun parlor home for senior citizens,175 Talbot Street East,Erie St. Clair,Municipal,Leamington, N8H1L9,No,Yes,Yes,No,54,31,11,14,7,1,29,17,7,8,5,2,11.6,32.1,26.2,4.3,3.9,2.8,<5,<5,<5,Active,206,Leamington,3537003,42.05585245,-82.58946575
FAIRMOUNT HOME FOR THE AGED,fairmount home for the aged,2069 Battersea Road R. R. #1,South East,Municipal,Glenburnie, K0H1S0,No,Yes,No,Yes,34,22,10,12,8,4,16,10,5,1,0,0,12.6,16.6,20.4,6,6.2,15.6,,,,,128,Kingston,3510010,44.31346333,-76.4650418
HASTINGS CENTENNIAL MANOR,hastings centennial manor,1 Manor Lane P.O. Box 758,South East,Municipal,Bancroft, K0L1C0,Yes,Yes,Yes,Yes,33,27,13,7,6,6,19,16,6,2,1,0,17.1,33.7,18.9,4.5,4.8,0.2,,,,,110,Bancroft,3512061,45.0550849,-77.86421482
HASTINGS MANOR HOME FOR THE AGED,hastings manor home for the aged,476 Dundas Street West P.O. Box 458,South East,Municipal,Belleville, K8N5B2,Yes,Yes,Yes,Yes,72,57,14,27,22,7,34,26,6,9,8,0,17.8,38.8,13.2,4.5,3.1,16.3,,<5,,Inactive,253,Belleville,3512005,44.14751276,-77.41249679
HURONLEA HOME FOR THE AGED,huronlea home for the aged,820 Turnberry Street South,South West,Municipal,Brussels, N0G1H0,No,Yes,Yes,No,26,15,6,5,5,2,12,4,3,4,2,1,14.6,28.1,17.3,2.8,3,0.3,,,,,64,Morris-Turnberry,3540050,43.73846151,-81.25635699
HURONVIEW HOME FOR THE AGED,huronview home for the aged,77722A London Road R.R. #5,South West,Municipal,Clinton, N0M1L0,No,Yes,Yes,No,39,18,7,14,7,1,18,8,6,4,1,0,2.5,38.5,15.4,2,4.3,1.4,,,,,120,Huron East,3540040,43.5981871,-81.5313086
MARSHALL GOWLAND MANOR,marshall gowland manor,749 Devine Street,Erie St. Clair,Municipal,Sarnia, N7T1X3,No,Yes,Yes,No,62,31,13,28,14,5,24,13,7,3,2,2,20.5,17.5,17.2,2.8,5.8,15,<5,0,0,Active,126,Sarnia,3538030,42.96399632,-82.38446927
NORTH LAMBTON LODGE,north lambton lodge,39 Morris Street R.R. #6,Erie St. Clair,Municipal,Forest, N0N1J0,No,Yes,Yes,No,27,16,9,6,5,2,17,8,7,0,0,0,7.4,9.3,8.3,1.5,2.3,3.3,,,,,88,Lambton Shores,3538040,43.09281026,-81.99290376
LANARK LODGE,lanark lodge,"115 Christie Lake Road, R. R. #4 Lot 27, Concession 2",South East,Municipal,Perth, K7H3C6,Yes,Yes,Yes,Yes,37,27,15,14,10,6,15,11,7,3,3,2,19.9,36.3,14.9,2.3,7.3,8.3,0,0,<5,Active,163,Tay Valley,3509015,44.90398014,-76.27207578
THE JOHN M. PARROTT CENTRE,the john m. parrott centre,309 Bridge Street West,South East,Municipal,Napanee, K7R2G4,Yes,Yes,Yes,Yes,30,17,9,9,4,2,17,10,7,0,0,0,6.5,32.2,14.9,2.2,23.4,3.9,,,,,168,Greater Napanee,3511015,44.2413403,-76.97028786
STRATHMERE LODGE,strathmere lodge,599 Albert Street Box 5000,South West,Municipal,Strathroy, N7G3J3,Yes,Yes,Yes,No,42,19,7,12,6,1,22,8,5,5,3,0,19.4,35.6,16.4,7.1,14.8,42,,,,,160,Strathroy-Caradoc,3539015,42.95570205,-81.64392804
GOLDEN PLOUGH LODGE,golden plough lodge,983 Burnham Street,Central East,Municipal,Cobourg, K9A5J6,No,Yes,Yes,Yes,62,30,5,16,8,1,26,9,4,11,7,1,24.7,38.1,18.8,3.6,11.3,4.6,,,,,151,Cobourg,3514021,43.9744937,-78.19501703
H.J. MCFARLAND MEMORIAL HOME,h.j. mcfarland memorial home,"R.R. #2, 603 Highway 49 Hallowell Township",South East,Municipal,Picton, K0K2T0,No,Yes,Yes,Yes,62,35,13,15,8,3,29,17,9,14,9,2,21.3,32.3,22.3,3.7,5.8,8.7,,,,,84,Prince Edward County,3513020,44.02513295,-77.13549939
BONNECHERE MANOR,bonnechere manor,470 Albert Street,Champlain,Municipal,Renfrew, K7V4L5,Yes,Yes,Yes,Yes,43,18,11,14,5,4,21,8,5,3,1,1,14.1,22.8,16.6,2.2,4.5,0.9,,0,,Inactive,180,Renfrew,3547048,45.48345932,-76.70256458
MIRAMICHI LODGE,miramichi lodge,725 Pembroke Street West,Champlain,Municipal,Pembroke, K8A8S6,Yes,Yes,Yes,Yes,30,18,10,11,8,5,15,7,5,1,1,1,15.6,33,22.5,3.6,16.3,2.3,,0,,Inactive,166,Pembroke,3547064,45.82684776,-77.13017355
VICTORIA MANOR HOME FOR THE AGED,victoria manor home for the aged,220 Angeline Street South,Central East,Municipal,Lindsay, K9V4R2,Yes,Yes,Yes,Yes,47,20,7,14,5,3,18,6,2,9,4,1,15.3,19.2,15.7,1.6,6,8.5,,,,,166,Kawartha Lakes,3516010,44.33869223,-78.74399304
WELLINGTON TERRACE LONG-TERM CARE HOME,wellington terrace long-term care home,474 Wellington Road 18,Waterloo Wellington,Municipal,Fergus, N1M0A1,No,Yes,Yes,No,18,7,4,3,0,0,9,4,4,1,0,0,12.6,37.1,17.8,1.6,4.8,1.8,,0,,Inactive,176,Centre Wellington,3523025,43.696534,-80.400755
TECK PIONEER RESIDENCE,teck pioneer residence,145A Government Road East Postal Bag Service 1757,North East,Municipal,Kirkland Lake, P2N3P4,No,Yes,Yes,Yes,29,16,6,7,2,2,8,5,2,15,8,1,12.5,22.4,13.1,3.2,9.6,6.5,,,,,81,Kirkland Lake,3554068,48.15345549,-80.01468335
CRAIGHOLME,craigholme,221 Main Street R. R. #1,South West,Non-Profit,Ailsa Craig, N0M1A0,Yes,Yes,Yes,No,54,24,13,17,10,5,30,8,4,5,5,5,16.3,28.5,15,2.4,7.4,3.3,,,,,83,North Middlesex,3539041,43.14535469,-81.53006982
CROWN RIDGE PLACE,crown ridge place,106 Crown Street,South East,For-Profit,Trenton, K8V6R3,Yes,Yes,Yes,Yes,24,16,4,5,2,0,11,9,4,2,1,0,6,37,17.5,1.8,25.1,1.9,,,,,116,Quinte West,3512015,44.10639945,-77.56149694
WESTGATE LODGE NURSING HOME,westgate lodge nursing home,37 Wilkie Street,South East,For-Profit,Belleville, K8P4E4,Yes,Yes,Yes,Yes,42,23,12,11,4,4,26,15,7,1,1,1,9.6,36.8,18.7,3,3.6,1,,,,,88,Belleville,3512005,44.14702066,-77.40620279
PINEHAVEN NURSING HOME,pinehaven nursing home,229 Lexington Road,Waterloo Wellington,For-Profit,Waterloo, N2K2E1,No,Yes,Yes,Yes,39,19,7,14,7,2,13,6,3,3,2,1,7,34.3,17.8,2.5,1,0,,0,,Inactive,84,Waterloo,3530016,43.4926954,-80.51167673
THE FOUR SEASONS LODGE,the four seasons lodge,117 Banting Drive,Champlain,Non-Profit,Deep River, K0J1P0,No,Yes,No,Yes,12,8,4,3,3,2,2,2,2,1,1,1,30.2,30.5,22,4.2,6.1,11.8,,,,,14,Deep River,3547096,46.09087579,-77.47500669
