index,name,address,city_and_postal_code,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
83,CHAMPLAIN LONG TERM CARE RESIDENCE,428 Front Road West,"L'Orignal, K0B1K0",Champlain,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,L'Orignal, K0B1K0,60,30.0,19.0,10.0,2.0,,,11.0,8.0,6.0,6.0,4.0,2.0
84,CHARTWELL AURORA LONG TERM CARE RESIDENCE,32 Mill Street,"Aurora, L4G2R9",Central,Chartwell Master Care Lp,,For-Profit,Home with approximately 235 beds,Yes,Yes,Yes,Yes,,Aurora, L4G2R9,235,28.0,13.0,8.0,15.0,6.0,5.0,6.0,2.0,2.0,1.0,,
85,CHARTWELL AYLMER LONG TERM CARE RESIDENCE,465 Talbot Street West,"Aylmer, N5H1K8",South West,Chartwell Master Care Lp,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Aylmer, N5H1K8,64,30.0,10.0,5.0,4.0,1.0,1.0,16.0,3.0,1.0,4.0,2.0,1.0
86,CHARTWELL BALLYCLIFFE LONG TERM CARE RESIDENCE,70 Station Street,"Ajax, L1S1R9",Central East,Chartwell Master Care Lp,,For-Profit,Home with approximately 100 beds,No,Yes,Yes,Yes,,Ajax, L1S1R9,100,65.0,43.0,7.0,28.0,21.0,4.0,18.0,12.0,2.0,12.0,5.0,
87,CHARTWELL BRANT CENTRE LONG TERM CARE RESIDENCE,1182 Northshore Blvd. East,"Burlington, L7S1C5",Hamilton Niagara Haldimand Brant (Hnhb),Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 175 beds,No,Yes,Yes,Yes,,Burlington, L7S1C5,175,43.0,14.0,7.0,21.0,7.0,4.0,16.0,3.0,3.0,2.0,1.0,
88,CHARTWELL ELMIRA LONG TERM CARE RESIDENCE,11 Herbert Street,"Elmira, N3B2B8",Waterloo Wellington,Chartwell Master Care Lp,,For-Profit,Home with approximately 48 beds,No,Yes,No,Yes,,Elmira, N3B2B8,48,17.0,9.0,4.0,1.0,1.0,1.0,9.0,4.0,2.0,2.0,1.0,1.0
89,CHARTWELL GIBSON LONG TERM CARE RESIDENCE,1925 Steeles Avenue East,"North York, M2H2H3",Central,Chartwell Master Care Lp,,For-Profit,Home with approximately 202 beds,No,Yes,No,Yes,,North York, M2H2H3,202,58.0,11.0,6.0,20.0,2.0,1.0,21.0,4.0,4.0,9.0,1.0,
90,CHARTWELL LONDON LONG TERM CARE RESIDENCE,2000 Blackwater Road,"London, N5X4K6",South West,Chartwell Master Care Lp,,For-Profit,Home with approximately 95 beds,No,Yes,No,Yes,,London, N5X4K6,95,43.0,19.0,8.0,10.0,6.0,2.0,26.0,9.0,5.0,1.0,,
91,CHARTWELL PARKHILL LONG TERM CARE RESIDENCE,250 Tain Street P.O. Box 129,"Parkhill, N0M2K0",South West,Chartwell Master Care Lp,,For-Profit,Home with approximately 59 beds,No,Yes,No,Yes,,Parkhill, N0M2K0,59,22.0,15.0,11.0,5.0,4.0,3.0,7.0,4.0,3.0,4.0,3.0,3.0
92,CHARTWELL PINE GROVE LONG TERM CARE RESIDENCE,8403 Islington Avenue North,"Woodbridge, L4L1X3",Central West,Chartwell Master Care Lp,,For-Profit,Home with approximately 101 beds,Yes,Yes,Yes,Yes,,Woodbridge, L4L1X3,101,15.0,10.0,5.0,6.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0
93,CHARTWELL ROYAL OAK LONG TERM CARE RESIDENCE,1750 Division Road North,"Kingsville, N9Y4G7",Erie St. Clair,Chartwell Master Care Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Kingsville, N9Y4G7,160,73.0,41.0,15.0,36.0,18.0,6.0,30.0,17.0,8.0,4.0,4.0,2.0
94,CHARTWELL TRILOGY LONG TERM CARE RESIDENCE,340 McCowan Road,"Scarborough, M1J3P4",Central East,Trilogy Ltc Inc.,,For-Profit,Home with approximately 197 beds,Yes,Yes,Yes,Yes,,Scarborough, M1J3P4,197,33.0,21.0,11.0,12.0,7.0,5.0,15.0,9.0,4.0,4.0,4.0,2.0
95,CHARTWELL WATERFORD LONG TERM CARE RESIDENCE,2140 Baronwood Drive,"Oakville, L6M4V6",Mississauga Halton,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 168 beds,No,Yes,Yes,Yes,,Oakville, L6M4V6,168,42.0,21.0,11.0,18.0,9.0,5.0,12.0,5.0,4.0,9.0,5.0,1.0
96,CHARTWELL WENLEIGH LONG TERM CARE RESIDENCE,2065 Leanne Boulevard,"Mississauga, L5K2L6",Mississauga Halton,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,,Mississauga, L5K2L6,161,27.0,13.0,7.0,13.0,5.0,3.0,8.0,4.0,3.0,2.0,2.0,
97,CHARTWELL WESTBURY LONG TERM CARE RESIDENCE,495 The West Mall,"Etobicoke, M9C5S3",Mississauga Halton,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 187 beds,No,Yes,Yes,Yes,,Etobicoke, M9C5S3,187,21.0,13.0,4.0,10.0,6.0,1.0,4.0,3.0,3.0,2.0,,
98,CHARTWELL WESTMOUNT LONG TERM CARE RESIDENCE,200 David Bergey Drive,"Kitchener, N2E3Y4",Waterloo Wellington,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,,Kitchener, N2E3Y4,161,44.0,19.0,9.0,17.0,8.0,3.0,21.0,6.0,4.0,3.0,3.0,2.0
99,CHARTWELL WHITE EAGLE LONG TERM CARE RESIDENCE,138 Dowling Avenue,"Toronto, M6K3A6",Toronto Central,Chartwell Master Care Lp,,For-Profit,Home with approximately 57 beds,Yes,Yes,Yes,Yes,,Toronto, M6K3A6,57,13.0,9.0,3.0,2.0,,,3.0,2.0,2.0,2.0,2.0,
100,CHARTWELL WILLOWGROVE LONG TERM CARE RESIDENCE,1217 Old Mohawk Road,"Ancaster, L9K1P6",Hamilton Niagara Haldimand Brant (Hnhb),Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 169 beds,No,Yes,Yes,Yes,,Ancaster, L9K1P6,169,24.0,13.0,7.0,8.0,1.0,1.0,8.0,5.0,3.0,4.0,4.0,1.0
101,CHARTWELL WOODHAVEN LONG TERM CARE RESIDENCE,380 Church Street,"Markham, L6B1E1",Central,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 192 beds,Yes,No,Yes,Yes,,Markham, L6B1E1,192,30.0,18.0,9.0,13.0,7.0,5.0,10.0,7.0,2.0,11.0,9.0,5.0
102,CHARTWELL WYNFIELD LONG TERM CARE RESIDENCE,451 Woodmount Drive,"Oshawa, L1G8E3",Central East,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 172 beds,No,Yes,Yes,Yes,,Oshawa, L1G8E3,172,27.0,18.0,10.0,12.0,7.0,6.0,10.0,7.0,4.0,2.0,1.0,
103,CHATEAU PARK LONG TERM CARE HOME,2990 B Riverside Drive West,"Windsor, N9C1A2",Erie St. Clair,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,Home with approximately 59 beds,No,Yes,Yes,Yes,,Windsor, N9C1A2,59,16.0,8.0,3.0,6.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,
104,CHELSEY PARK,310 Oxford Street West,"London, N6H4N6",South West,"Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","Diversicare Canada Management Services Co., Inc.",For-Profit,Home with approximately 247 beds,Yes,Yes,Yes,Yes,,London, N6H4N6,247,73.0,36.0,16.0,24.0,12.0,3.0,38.0,19.0,11.0,5.0,2.0,1.0
105,CHELTENHAM CARE COMMUNITY,5935 Bathurst Street,"North York, M2R1Y8",Central,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 170 beds,Yes,Yes,Yes,Yes,,North York, M2R1Y8,170,30.0,16.0,9.0,12.0,5.0,3.0,9.0,6.0,5.0,9.0,5.0,2.0
106,CHESTER VILLAGE,3555 Danforth Avenue,"Toronto, M1L1E3",Toronto Central,Broadview Foundation,,Non-Profit,Home with approximately 203 beds,No,Yes,Yes,Yes,,Toronto, M1L1E3,203,23.0,7.0,4.0,10.0,1.0,1.0,6.0,3.0,3.0,4.0,1.0,1.0
108,CLARION NURSING HOME,337 Highway #8,"Stoney Creek, L8G1E7",Hamilton Niagara Haldimand Brant (Hnhb),Clarion Nursing Homes Limited,,For-Profit,Home with approximately 100 beds,No,Yes,Yes,Yes,,Stoney Creek, L8G1E7,100,22.0,14.0,7.0,5.0,2.0,2.0,5.0,3.0,3.0,8.0,5.0,1.0
109,COLEMAN CARE CENTRE,140 Cundles Road West,"Barrie, L4N9X8",North Simcoe Muskoka,Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 112 beds,No,Yes,Yes,Yes,,Barrie, L4N9X8,112,19.0,10.0,7.0,6.0,1.0,1.0,5.0,4.0,4.0,3.0,2.0,1.0
110,COLLINGWOOD NURSING HOME,250 Campbell Street,"Collingwood, L9Y4J9",North Simcoe Muskoka,Collingwood Nursing Home Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,No,,Collingwood, L9Y4J9,60,24.0,16.0,14.0,8.0,3.0,3.0,6.0,5.0,5.0,7.0,6.0,6.0
111,COLUMBIA FOREST,650 Mountain Maple Avenue,"Waterloo, N2V2P7",Waterloo Wellington,Revera Long Term Care Inc.,,For-Profit,Home with approximately 156 beds,No,Yes,Yes,Yes,,Waterloo, N2V2P7,156,44.0,12.0,5.0,14.0,3.0,1.0,21.0,4.0,3.0,7.0,5.0,1.0
112,COOKSVILLE CARE CENTRE,55 The Queensway West,"Mississauga, L5B1B5",Mississauga Halton,Rykka Care Centres Lp,,For-Profit,Home with approximately 192 beds,Yes,Yes,Yes,Yes,,Mississauga, L5B1B5,192,67.0,26.0,13.0,37.0,10.0,6.0,16.0,6.0,5.0,13.0,6.0,1.0
113,COPERNICUS LODGE,66 Roncesvalles Avenue,"Toronto, M6R3A7",Toronto Central,Copernicus Lodge,,Non-Profit,Home with approximately 228 beds,Yes,Yes,Yes,No,,Toronto, M6R3A7,228,24.0,18.0,9.0,12.0,10.0,6.0,4.0,3.0,2.0,5.0,4.0,1.0
114,COPPER TERRACE,91 Tecumseh Road,"Chatham, N7M1B3",Erie St. Clair,Copper Terrace Limited,Apans Inc.,For-Profit,Home with approximately 138 beds,Yes,Yes,Yes,Yes,,Chatham, N7M1B3,138,95.0,51.0,21.0,32.0,18.0,8.0,45.0,23.0,7.0,14.0,11.0,8.0
115,COUNTRY LANE LONG TERM CARE RESIDENCE,"R. R. #3, 317079 Hwy 6 & 10","Chatsworth, N0H1G0",South West,Grosvenor Health Care Partnership (No. 3),Revera Long Term Care Inc.,For-Profit,Home with approximately 34 beds,No,Yes,Yes,Yes,,Chatsworth, N0H1G0,34,21.0,8.0,2.0,5.0,1.0,,6.0,1.0,1.0,7.0,3.0,
116,COUNTRY TERRACE,10072 Oxbow Drive R.R. #3,"Komoka, N0L1R0",South West,Omni Healthcare (Ct) Gpco Ltd. As General Partner Of Omni Healthcare (Country Terrace) Limited Partnershippartner,,For-Profit,Home with approximately 120 beds,Yes,Yes,No,Yes,,Komoka, N0L1R0,120,83.0,30.0,11.0,31.0,13.0,4.0,41.0,10.0,5.0,5.0,4.0,2.0
117,COUNTRY VILLAGE HOMES - WOODSLEE,440 County Road 8 R. R. #2,"Woodslee, N0R1V0",Erie St. Clair,"Cvh (No. 5) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",Kanata Living Inc.,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,,Woodslee, N0R1V0,104,62.0,25.0,9.0,33.0,12.0,4.0,17.0,9.0,3.0,6.0,2.0,1.0
118,CRAIGHOLME,221 Main Street R. R. #1,"Ailsa Craig, N0M1A0",South West,Craigwiel Gardens,,Non-Profit,Home with approximately 83 beds,Yes,Yes,Yes,No,stutti@craigwielgardens.on.ca   ,Ailsa Craig, N0M1A0,83,54.0,24.0,13.0,17.0,10.0,5.0,30.0,8.0,4.0,5.0,5.0,5.0
119,CRAIGLEE NURSING HOME,102 Craiglee Drive,"Scarborough, M1N2M7",Central East,Craiglee Nursing Home Limited,Extendicare (Canada) Inc.,For-Profit,Home with approximately 169 beds,No,Yes,Yes,Yes,,Scarborough, M1N2M7,169,65.0,26.0,17.0,35.0,15.0,11.0,18.0,4.0,4.0,12.0,8.0,6.0
120,CREEDAN VALLEY CARE COMMUNITY,143 Mary Street,"Creemore, L0M1G0",North Simcoe Muskoka,2063412 Ontario Limited As General Partner Of 2063412 Investment Lp,,For-Profit,Home with approximately 95 beds,No,Yes,Yes,Yes,,Creemore, L0M1G0,95,26.0,16.0,11.0,7.0,2.0,2.0,6.0,3.0,3.0,10.0,9.0,7.0
121,CREEK WAY VILLAGE,5200 Corporate Drive,"Burlington, L7L7G7",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Halton,,Municipal,Home with approximately 144 beds,No,Yes,Yes,Yes,,Burlington, L7L7G7,144,30.0,15.0,7.0,13.0,5.0,3.0,11.0,5.0,3.0,8.0,6.0,3.0
122,CRESCENT PARK LODGE,4 Hagey Avenue,"Fort Erie, L2A5M5",Hamilton Niagara Haldimand Brant (Hnhb),955464 Ontario Limited,,For-Profit,Home with approximately 68 beds,Yes,Yes,Yes,Yes,,Fort Erie, L2A5M5,68,26.0,17.0,8.0,10.0,6.0,3.0,7.0,5.0,4.0,5.0,3.0,
123,CROWN RIDGE PLACE,106 Crown Street,"Trenton, K8V6R3",South East,Crown Ridge Health Care Services Inc.,,For-Profit,Home with approximately 116 beds,Yes,Yes,Yes,Yes,,Trenton, K8V6R3,116,24.0,16.0,4.0,5.0,2.0,,11.0,9.0,4.0,2.0,1.0,
124,CUMMER LODGE,205 Cummer Avenue,"North York, M2M2E8",Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 391 beds,Yes,Yes,Yes,Yes,,North York, M2M2E8,391,50.0,27.0,13.0,25.0,12.0,6.0,16.0,9.0,6.0,8.0,5.0,3.0
126,DEARNESS HOME FOR SENIOR CITIZENS,710 Southdale Road East,"London, N6E1R8",South West,The Corporation Of The City Of London,,Municipal,Home with approximately 243 beds,Yes,Yes,Yes,Yes,"datars bere, dearness home managing director ",London, N6E1R8,243,76.0,33.0,16.0,30.0,12.0,6.0,39.0,18.0,10.0,3.0,1.0,
127,DEER PARK VILLA,150 Central Avenue,"Grimsby, L3M4Z3",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 39 beds,No,Yes,No,Yes,,Grimsby, L3M4Z3,39,15.0,9.0,5.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0
128,DEERWOOD CREEK CARE COMMUNITY,70 Humberline Drive,"Etobicoke, M9W7H3",Central West,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Etobicoke, M9W7H3,160,33.0,19.0,11.0,18.0,10.0,6.0,7.0,3.0,3.0,6.0,3.0,2.0
129,DELHI LONG TERM CARE CENTRE,750 Gibraltar Street,"Delhi, N4B3B3",Hamilton Niagara Haldimand Brant (Hnhb),Delhi Nursing Home Ltd.,,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,Delhi, N4B3B3,60,27.0,13.0,3.0,5.0,3.0,,8.0,4.0,1.0,11.0,6.0,1.0
130,DERBECKER'S HERITAGE HOUSE,54 Eby Street,"St. Jacobs, N0B2N0",Waterloo Wellington,Derbecker's Heritage House Limited,,For-Profit,Home with approximately 73 beds,No,Yes,No,No,,St. Jacobs, N0B2N0,73,10.0,6.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,,,
131,DOM LIPA,52 Neilson Drive,"Etobicoke, M9C1V7",Mississauga Halton,Slovenian Linden Foundation,,Non-Profit,Home with approximately 66 beds,No,Yes,No,No,,Etobicoke, M9C1V7,66,11.0,7.0,3.0,1.0,,,3.0,3.0,3.0,2.0,2.0,1.0
132,DOUGLAS H. RAPELJE LODGE,277 Plymouth Road,"Welland, L3B6E3",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 120 beds,Yes,Yes,Yes,Yes,,Welland, L3B6E3,120,33.0,11.0,8.0,15.0,5.0,5.0,12.0,3.0,2.0,4.0,1.0,
133,DOVER CLIFFS,501 St George Street P.O. BOX 430,"Port Dover, N0A1N0",Hamilton Niagara Haldimand Brant (Hnhb),Dover Cliffs Operating Inc.,,For-Profit,Home with approximately 70 beds,Yes,Yes,Yes,Yes,,Port Dover, N0A1N0,70,40.0,18.0,9.0,10.0,5.0,2.0,12.0,7.0,5.0,11.0,7.0,4.0
134,DOWNSVIEW LONG TERM CARE CENTRE,3595 Keele Street,"North York, M3J1M7",Central,Downsview Long Term Care Centre Limited,,For-Profit,Home with approximately 252 beds,Yes,Yes,Yes,Yes,,North York, M3J1M7,252,64.0,23.0,7.0,38.0,10.0,5.0,7.0,2.0,1.0,17.0,8.0,1.0
135,DUFFERIN OAKS,151 Centre Street,"Shelburne, L0N1S4",Central West,Corporation Of The County Of Dufferin,,Municipal,Home with approximately 160 beds,No,Yes,Yes,No,,Shelburne, L0N1S4,160,24.0,14.0,6.0,8.0,6.0,3.0,8.0,4.0,3.0,2.0,2.0,
136,DUNDAS MANOR NURSING HOME,533 Clarence Street P.O. Box 970,"Winchester, K0C2K0",Champlain,Rural Healthcare Innovations Inc.,Winchester District Memorial Hospital,Non-Profit,Home with approximately 98 beds,No,Yes,Yes,Yes,,Winchester, K0C2K0,98,40.0,26.0,14.0,9.0,4.0,3.0,17.0,13.0,9.0,8.0,4.0,1.0
137,DUNDURN PLACE CARE CENTRE,39 Mary Street,"Hamilton, L8R3L8",Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,Home with approximately 201 beds,Yes,Yes,Yes,Yes,,Hamilton, L8R3L8,201,52.0,21.0,8.0,24.0,7.0,2.0,14.0,7.0,5.0,12.0,5.0,1.0
138,E. J. MCQUIGGE LODGE,38 Black Diamond Road P.O. Box 68,"Cannifton, K0K1K0",South East,Keay Nursing Homes Inc.,,For-Profit,Home with approximately 57 beds,Yes,Yes,No,Yes,,Cannifton, K0K1K0,57,24.0,10.0,5.0,9.0,2.0,2.0,8.0,5.0,3.0,1.0,,
139,EAGLE TERRACE,329 Eagle Street,"Newmarket, L3Y1K3",Central,Revera Long Term Care Inc.,,For-Profit,Home with approximately 70 beds,No,Yes,Yes,Yes,,Newmarket, L3Y1K3,70,13.0,6.0,2.0,4.0,,,3.0,2.0,2.0,,,
140,EARLS COURT VILLAGE,"1390 Highbury Avenue, North","London, N5Y0B6",South West,Sharon Farms & Enterprises Limited,Responsive Health Management Inc.,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,London, N5Y0B6,128,92.0,85.0,23.0,52.0,46.0,9.0,17.0,17.0,6.0,31.0,30.0,12.0
141,EASTHOLME HOME FOR THE AGED,62 Big Bend Avenue P.O. Box 400,"Powassan, P0H1Z0",North East,East District Of Parry Sound Home For The Aged,,Municipal,Home with approximately 128 beds,No,Yes,Yes,No,,Powassan, P0H1Z0,128,18.0,12.0,4.0,4.0,2.0,,9.0,6.0,3.0,1.0,1.0,1.0
142,EATONVILLE CARE CENTRE,420 The East Mall,"Etobicoke, M9B3Z9",Mississauga Halton,Rykka Care Centres Lp,,For-Profit,Home with approximately 247 beds,No,Yes,Yes,Yes,,Etobicoke, M9B3Z9,247,41.0,19.0,10.0,21.0,6.0,3.0,12.0,7.0,6.0,4.0,3.0,1.0
143,EDEN HOUSE NURSING HOME,5016 Wellington County Road 29 R. R. #2,"Guelph, N1H6H8",Waterloo Wellington,Eden House Care Facility Inc.,Assured Care Consulting Inc.,For-Profit,Home with approximately 59 beds,No,Yes,Yes,Yes,,Guelph, N1H6H8,59,17.0,12.0,7.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,
144,EDGEWATER GARDENS LONG TERM CARE CENTRE,428 Broad Street West,"Dunnville, N1A1T3",Hamilton Niagara Haldimand Brant (Hnhb),Haldimand War Memorial Hospital,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,Yes,,Dunnville, N1A1T3,64,21.0,15.0,10.0,10.0,6.0,5.0,3.0,2.0,2.0,6.0,5.0,2.0
145,EHATARE NURSING HOME,40 Old Kingston Road,"Scarborough, M1E3J5",Central East,Estonian Relief Committee In Canada,,Non-Profit,Home with approximately 32 beds,No,Yes,Yes,No,,Scarborough, M1E3J5,32,9.0,5.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,
146,ELGIN ABBEY NURSING HOME,380 First Avenue North P.O. Box 7,"Chesley, N0G1L0",South West,Capricorn Investments Corporation Limited,Extendicare (Canada) Inc.,For-Profit,Home with approximately 27 beds,No,Yes,No,Yes,,Chesley, N0G1L0,27,33.0,20.0,7.0,8.0,4.0,2.0,5.0,3.0,2.0,18.0,10.0,5.0
147,ELGIN MANOR,39262 Fingal Line R. R. #1,"St. Thomas, N5P3S5",South West,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Home with approximately 90 beds,Yes,Yes,Yes,No,,St. Thomas, N5P3S5,90,35.0,16.0,11.0,2.0,2.0,2.0,28.0,11.0,9.0,,,
148,ELGINWOOD,182 Yorkland Street,"Richmond Hill, L4S2M9",Central,Axr Operating (National) Lp,,For-Profit,Home with approximately 124 beds,Yes,Yes,Yes,Yes,,Richmond Hill, L4S2M9,124,25.0,17.0,12.0,11.0,6.0,5.0,7.0,6.0,4.0,3.0,2.0,2.0
149,ÉLISABETH-BRUYÈRE RESIDENCE,75 Bruyere Street,"Ottawa, K1N5C8",Champlain,Bruyère Continuing Care Inc.,,Non-Profit,Home with approximately 71 beds,No,Yes,Yes,Yes,,Ottawa, K1N5C8,71,64.0,50.0,22.0,20.0,13.0,4.0,18.0,13.0,8.0,14.0,12.0,6.0
150,ELIZABETH CENTRE,2100 Main Street,"Val Caron, P3N1S7",North East,Valley East Long Term Care Centre Inc.,,For-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Val Caron, P3N1S7,128,51.0,29.0,17.0,20.0,9.0,4.0,16.0,8.0,5.0,15.0,12.0,8.0
151,ELM GROVE LIVING CENTRE,35 Elm Grove Avenue,"Toronto, M6K2J2",Toronto Central,Elm Grove Living Centre Inc.,,For-Profit,Home with approximately 126 beds,No,Yes,No,Yes,,Toronto, M6K2J2,126,15.0,10.0,5.0,7.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0
152,ELMWOOD PLACE,46 Elmwood Place West,"London, N6J1J2",South West,Revera Long Term Care Inc.,,For-Profit,Home with approximately 78 beds,No,Yes,Yes,Yes,,London, N6J1J2,78,49.0,19.0,10.0,18.0,8.0,3.0,19.0,5.0,4.0,5.0,3.0,2.0
153,EMO HEALTH CENTRE,170 Front Street P. O. Box 390,"Emo, P0W1E0",North West,Riverside Health Care Facilities Inc.,,Non-Profit,Home with approximately 12 beds,No,Yes,No,Yes,,Emo, P0W1E0,12,9.0,5.0,2.0,,,,,,,2.0,2.0,
154,ERIN MILLS LODGE NURSING HOME,2132 Dundas Street West,"Mississauga, L5K2K7",Mississauga Halton,Schlegel Villages Inc.,,For-Profit,Home with approximately 86 beds,No,Yes,Yes,Yes,,Mississauga, L5K2K7,86,35.0,21.0,6.0,13.0,6.0,1.0,6.0,4.0,2.0,7.0,6.0,1.0
155,ERRINRUNG LONG TERM CARE HOME,67 Bruce Street P.O. Box 7069,"Thornbury, N0H2P0",South West,"Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Thornbury, N0H2P0,60,30.0,13.0,5.0,19.0,7.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0
156,ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-ELDCAP),825  Mckinnon Drive,"Espanola, P5E1R4",North East,Espanola General Hospital,,Non-Profit,Home with approximately 30 beds,No,Yes,Yes,Yes,,Espanola, P5E1R4,30,10.0,6.0,3.0,,,,5.0,1.0,1.0,1.0,1.0,
157,ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-LTC),825 Mckinnon Drive,"Espanola, P5E1R4",North East,Espanola General Hospital,,Non-Profit,Home with approximately 32 beds,No,Yes,Yes,Yes,,Espanola, P5E1R4,32,16.0,12.0,4.0,2.0,2.0,1.0,7.0,3.0,2.0,3.0,3.0,
158,EXETER VILLA,155 John Street East,"Exeter, N0M1S1",South West,Atk Care Inc.,,For-Profit,Home with approximately 47 beds,Yes,Yes,No,Yes,,Exeter, N0M1S1,47,18.0,11.0,7.0,5.0,3.0,3.0,7.0,4.0,3.0,1.0,1.0,1.0
159,EXTENDICARE BAYVIEW,550 Cummer Avenue,"North York, M2K2M2",Central,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 205 beds,Yes,Yes,Yes,Yes,,North York, M2K2M2,205,34.0,11.0,4.0,13.0,3.0,1.0,11.0,2.0,2.0,5.0,2.0,
160,EXTENDICARE BRAMPTON,7891 Mclaughlin Road,"Brampton, L6Y5H8",Central West,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Brampton, L6Y5H8,150,26.0,17.0,10.0,13.0,6.0,4.0,3.0,3.0,3.0,8.0,7.0,4.0
161,EXTENDICARE COBOURG,130 New Densmore Road,"Cobourg, K9A5W2",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 69 beds,No,Yes,Yes,Yes,,Cobourg, K9A5W2,69,42.0,20.0,7.0,20.0,9.0,3.0,11.0,6.0,3.0,5.0,,
162,EXTENDICARE FALCONBRIDGE,281 Falconbridge Road,"Sudbury, P3A5K4",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 234 beds,Yes,Yes,Yes,Yes,,Sudbury, P3A5K4,234,67.0,40.0,19.0,24.0,15.0,7.0,22.0,13.0,7.0,18.0,13.0,6.0
163,EXTENDICARE GUILDWOOD,60 Guildwood Parkway,"Scarborough, M1E1N9",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 169 beds,Yes,Yes,Yes,Yes,,Scarborough, M1E1N9,169,39.0,18.0,10.0,16.0,2.0,2.0,12.0,6.0,3.0,12.0,10.0,5.0
