name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,number_beds,CSDname,CSDuid,latitude,longitude
CHARTWELL BALLYCLIFFE LONG TERM CARE RESIDENCE,70 Station Street,Central East,For-Profit,No,Yes,Yes,Yes,,Ajax, L1S1R9,65.0,43.0,7.0,28.0,21.0,4.0,18.0,12.0,2.0,12.0,5.0,,chartwell ballycliffe long term care residence,<5,32,0,Active,100.0,Ajax,3518005.0,43.85095764,-79.02534179
CHARTWELL BRANT CENTRE LONG TERM CARE RESIDENCE,1182 Northshore Blvd. East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Burlington, L7S1C5,43.0,14.0,7.0,21.0,7.0,4.0,16.0,3.0,3.0,2.0,1.0,,chartwell brant centre long term care residence,<5,0,0,Active,175.0,Burlington,3524002.0,43.31651571,-79.80381069
CHARTWELL ELMIRA LONG TERM CARE RESIDENCE,11 Herbert Street,Waterloo Wellington,For-Profit,No,Yes,No,Yes,,Elmira, N3B2B8,17.0,9.0,4.0,1.0,1.0,1.0,9.0,4.0,2.0,2.0,1.0,1.0,chartwell elmira long term care residence,,0,,Inactive,48.0,Woolwich,3530035.0,43.60150562,-80.56368125
CHARTWELL GIBSON LONG TERM CARE RESIDENCE,1925 Steeles Avenue East,Central,For-Profit,No,Yes,No,Yes,,North York, M2H2H3,58.0,11.0,6.0,20.0,2.0,1.0,21.0,4.0,4.0,9.0,1.0,,chartwell gibson long term care residence,35,9,10,Active,202.0,Toronto,3520005.0,43.80765981,-79.37379369
CHARTWELL LONDON LONG TERM CARE RESIDENCE,2000 Blackwater Road,South West,For-Profit,No,Yes,No,Yes,,London, N5X4K6,43.0,19.0,8.0,10.0,6.0,2.0,26.0,9.0,5.0,1.0,,,chartwell london long term care residence,,,,,95.0,London,3539036.0,43.04406869,-81.26074922
CHARTWELL PARKHILL LONG TERM CARE RESIDENCE,250 Tain Street P.O. Box 129,South West,For-Profit,No,Yes,No,Yes,,Parkhill, N0M2K0,22.0,15.0,11.0,5.0,4.0,3.0,7.0,4.0,3.0,4.0,3.0,3.0,chartwell parkhill long term care residence,,,,,59.0,North Middlesex,3539041.0,43.15701009,-81.68166257
CHARTWELL PINE GROVE LONG TERM CARE RESIDENCE,8403 Islington Avenue North,Central West,For-Profit,Yes,Yes,Yes,Yes,,Woodbridge, L4L1X3,15.0,10.0,5.0,6.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,chartwell pine grove long term care residence,0,0,<5,Active,96.0,Vaughan,3519028.0,43.797729,-79.58431476
CHARTWELL ROYAL OAK LONG TERM CARE RESIDENCE,1750 Division Road North,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Kingsville, N9Y4G7,73.0,41.0,15.0,36.0,18.0,6.0,30.0,17.0,8.0,4.0,4.0,2.0,chartwell royal oak long term care residence,<5,0,0,Active,160.0,Kingsville,3537013.0,42.0501946,-82.7375796
CHARTWELL TRILOGY LONG TERM CARE RESIDENCE,340 McCowan Road,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1J3P4,33.0,21.0,11.0,12.0,7.0,5.0,15.0,9.0,4.0,4.0,4.0,2.0,chartwell trilogy long term care residence,,0,,Inactive,197.0,Toronto,3520005.0,43.73848531,-79.23864245
CHARTWELL WATERFORD LONG TERM CARE RESIDENCE,2140 Baronwood Drive,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Oakville, L6M4V6,42.0,21.0,11.0,18.0,9.0,5.0,12.0,5.0,4.0,9.0,5.0,1.0,chartwell waterford long term care residence,,0,,Inactive,168.0,Oakville,3524001.0,43.42715623,-79.76303438
CHARTWELL WENLEIGH LONG TERM CARE RESIDENCE,2065 Leanne Boulevard,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Mississauga, L5K2L6,27.0,13.0,7.0,13.0,5.0,3.0,8.0,4.0,3.0,2.0,2.0,,chartwell wenleigh long term care residence,0,0,<5,Active,161.0,Mississauga,3521005.0,43.52485635,-79.65178876
CHARTWELL WESTBURY LONG TERM CARE RESIDENCE,495 The West Mall,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Etobicoke, M9C5S3,21.0,13.0,4.0,10.0,6.0,1.0,4.0,3.0,3.0,2.0,,,chartwell westbury long term care residence,<5,22,26,Active,187.0,Toronto,3520005.0,43.64832328,-79.56767874
CHARTWELL WESTMOUNT LONG TERM CARE RESIDENCE,200 David Bergey Drive,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Kitchener, N2E3Y4,44.0,19.0,9.0,17.0,8.0,3.0,21.0,6.0,4.0,3.0,3.0,2.0,chartwell westmount long term care residence,<5,0,<5,Active,160.0,Kitchener,3530013.0,43.40613299,-80.51775782
CHARTWELL WHITE EAGLE LONG TERM CARE RESIDENCE,138 Dowling Avenue,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,,Toronto, M6K3A6,13.0,9.0,3.0,2.0,,,3.0,2.0,2.0,2.0,2.0,,chartwell white eagle long term care residence,26,11,9,Active,56.0,Toronto,3520005.0,43.63717128,-79.4392265
CHARTWELL WILLOWGROVE LONG TERM CARE RESIDENCE,1217 Old Mohawk Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Ancaster, L9K1P6,24.0,13.0,7.0,8.0,1.0,1.0,8.0,5.0,3.0,4.0,4.0,1.0,chartwell willowgrove long term care residence,,,,,169.0,Hamilton,3525005.0,43.23324649,-79.93527582
CHARTWELL WOODHAVEN LONG TERM CARE RESIDENCE,380 Church Street,Central,For-Profit,Yes,No,Yes,Yes,,Markham, L6B1E1,30.0,18.0,9.0,13.0,7.0,5.0,10.0,7.0,2.0,11.0,9.0,5.0,chartwell woodhaven long term care residence,,0,,Inactive,192.0,Markham,3519036.0,43.88586653,-79.23093356
CHARTWELL WYNFIELD LONG TERM CARE RESIDENCE,451 Woodmount Drive,Central East,For-Profit,No,Yes,Yes,Yes,,Oshawa, L1G8E3,27.0,18.0,10.0,12.0,7.0,6.0,10.0,7.0,4.0,2.0,1.0,,chartwell wynfield long term care residence,,0,,Inactive,172.0,Oshawa,3518013.0,43.94673256,-78.87267965
CHATEAU PARK LONG TERM CARE HOME,2990 B Riverside Drive West,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Windsor, N9C1A2,16.0,8.0,3.0,6.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,,chateau park long term care home,,,,,59.0,Windsor,3537039.0,42.30747117,-83.07313582
CHELSEY PARK,310 Oxford Street West,South West,For-Profit,Yes,Yes,Yes,Yes,,London, N6H4N6,73.0,36.0,16.0,24.0,12.0,3.0,38.0,19.0,11.0,5.0,2.0,1.0,chelsey park,0,0,<5,Active,247.0,London,3539036.0,42.98760838,-81.27670392
CHELTENHAM CARE COMMUNITY,5935 Bathurst Street,Central,For-Profit,Yes,Yes,Yes,Yes,,North York, M2R1Y8,30.0,16.0,9.0,12.0,5.0,3.0,9.0,6.0,5.0,9.0,5.0,2.0,cheltenham care community,,,,,170.0,Toronto,3520005.0,43.7818402,-79.44446061
CHESTER VILLAGE,3555 Danforth Avenue,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,Toronto, M1L1E3,23.0,7.0,4.0,10.0,1.0,1.0,6.0,3.0,3.0,4.0,1.0,1.0,chester village,,,,,203.0,Toronto,3520005.0,43.6936488,-79.27484865
CLARION NURSING HOME,337 Highway #8,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Stoney Creek, L8G1E7,22.0,14.0,7.0,5.0,2.0,2.0,5.0,3.0,3.0,8.0,5.0,1.0,clarion nursing home,,0,,Inactive,100.0,Hamilton,3525005.0,43.22037979,-79.72817146
COLEMAN CARE CENTRE,140 Cundles Road West,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,,Barrie, L4N9X8,19.0,10.0,7.0,6.0,1.0,1.0,5.0,4.0,4.0,3.0,2.0,1.0,coleman care centre,,,,,112.0,Barrie,3543042.0,44.4011191,-79.71536396
COLLINGWOOD NURSING HOME,250 Campbell Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,No,,Collingwood, L9Y4J9,24.0,16.0,14.0,8.0,3.0,3.0,6.0,5.0,5.0,7.0,6.0,6.0,collingwood nursing home,<5,0,0,Active,64.0,Collingwood,3543031.0,44.48264419,-80.22895893
COLUMBIA FOREST,650 Mountain Maple Avenue,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Waterloo, N2V2P7,44.0,12.0,5.0,14.0,3.0,1.0,21.0,4.0,3.0,7.0,5.0,1.0,columbia forest,<5,0,<5,Active,156.0,Waterloo,3530016.0,43.4649426,-80.59136415
COOKSVILLE CARE CENTRE,55 The Queensway West,Mississauga Halton,For-Profit,Yes,Yes,Yes,Yes,,Mississauga, L5B1B5,67.0,26.0,13.0,37.0,10.0,6.0,16.0,6.0,5.0,13.0,6.0,1.0,cooksville care centre,23,13,22,Active,192.0,Mississauga,3521005.0,43.57334286,-79.60968605
COPERNICUS LODGE,66 Roncesvalles Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,No,,Toronto, M6R3A7,24.0,18.0,9.0,12.0,10.0,6.0,4.0,3.0,2.0,5.0,4.0,1.0,copernicus lodge,,0,,Inactive,228.0,Toronto,3520005.0,43.64020808,-79.447311
COPPER TERRACE,91 Tecumseh Road,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,,Chatham, N7M1B3,95.0,51.0,21.0,32.0,18.0,8.0,45.0,23.0,7.0,14.0,11.0,8.0,copper terrace,,,,,138.0,Chatham-Kent,3536020.0,42.39831463,-82.20038906
COUNTRY LANE LONG TERM CARE RESIDENCE,"R. R. #3, 317079 Hwy 6 & 10",South West,For-Profit,No,Yes,Yes,Yes,,Chatsworth, N0H1G0,21.0,8.0,2.0,5.0,1.0,,6.0,1.0,1.0,7.0,3.0,,country lane long term care residence,,,,,34.0,Chatsworth,3542037.0,44.4657069,-80.9030782
COUNTRY TERRACE,10072 Oxbow Drive R.R. #3,South West,For-Profit,Yes,Yes,No,Yes,,Komoka, N0L1R0,83.0,30.0,11.0,31.0,13.0,4.0,41.0,10.0,5.0,5.0,4.0,2.0,country terrace,,0,,Inactive,120.0,Middlesex Centre,3539033.0,42.95867137,-81.43757387
COUNTRY VILLAGE HOMES - WOODSLEE,440 County Road 8 R. R. #2,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Woodslee, N0R1V0,62.0,25.0,9.0,33.0,12.0,4.0,17.0,9.0,3.0,6.0,2.0,1.0,country village homes - woodslee,,18,,Inactive,104.0,Kingsville,3537013.0,42.17241110000001,-82.72129740000003
CRAIGHOLME,221 Main Street R. R. #1,South West,Non-Profit,Yes,Yes,Yes,No,stutti@craigwielgardens.on.ca   ,Ailsa Craig, N0M1A0,54.0,24.0,13.0,17.0,10.0,5.0,30.0,8.0,4.0,5.0,5.0,5.0,craigholme,,,,,83.0,North Middlesex,3539041.0,43.14535469,-81.53006982
CRAIGLEE NURSING HOME,102 Craiglee Drive,Central East,For-Profit,No,Yes,Yes,Yes,,Scarborough, M1N2M7,65.0,26.0,17.0,35.0,15.0,11.0,18.0,4.0,4.0,12.0,8.0,6.0,craiglee nursing home,<5,<5,5,Active,169.0,Toronto,3520005.0,43.706865,-79.25329325
CREEDAN VALLEY CARE COMMUNITY,143 Mary Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,,Creemore, L0M1G0,26.0,16.0,11.0,7.0,2.0,2.0,6.0,3.0,3.0,10.0,9.0,7.0,creedan valley care community,,,,,95.0,Clearview,3543005.0,44.32664057,-80.09982767
CREEK WAY VILLAGE,5200 Corporate Drive,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Burlington, L7L7G7,30.0,15.0,7.0,13.0,5.0,3.0,11.0,5.0,3.0,8.0,6.0,3.0,creek way village,<5,0,<5,Active,144.0,Burlington,3524002.0,43.39302822,-79.77985319
CRESCENT PARK LODGE,4 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Fort Erie, L2A5M5,26.0,17.0,8.0,10.0,6.0,3.0,7.0,5.0,4.0,5.0,3.0,,crescent park lodge,<5,0,0,Active,68.0,Fort Erie,3526003.0,42.91044887,-78.92320857
CROWN RIDGE PLACE,106 Crown Street,South East,For-Profit,Yes,Yes,Yes,Yes,,Trenton, K8V6R3,24.0,16.0,4.0,5.0,2.0,,11.0,9.0,4.0,2.0,1.0,,crown ridge place,,,,,116.0,Quinte West,3512015.0,44.10639945,-77.56149694
CUMMER LODGE,205 Cummer Avenue,Central,Municipal,Yes,Yes,Yes,Yes,,North York, M2M2E8,50.0,27.0,13.0,25.0,12.0,6.0,16.0,9.0,6.0,8.0,5.0,3.0,cummer lodge,,<5,,Inactive,391.0,Toronto,3520005.0,43.78816171,-79.4075617
DEARNESS HOME FOR SENIOR CITIZENS,710 Southdale Road East,South West,Municipal,Yes,Yes,Yes,Yes,"datars bere, dearness home managing director ",London, N6E1R8,76.0,33.0,16.0,30.0,12.0,6.0,39.0,18.0,10.0,3.0,1.0,,dearness home for senior citizens,,,,,243.0,London,3539036.0,42.94410837,-81.2242039
DEER PARK VILLA,150 Central Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,No,Yes,,Grimsby, L3M4Z3,15.0,9.0,5.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,deer park villa,,,,,39.0,Grimsby,3526065.0,43.1895365,-79.54142639
DEERWOOD CREEK CARE COMMUNITY,70 Humberline Drive,Central West,For-Profit,No,Yes,Yes,Yes,,Etobicoke, M9W7H3,33.0,19.0,11.0,18.0,10.0,6.0,7.0,3.0,3.0,6.0,3.0,2.0,deerwood creek care community,,,,,160.0,Toronto,3520005.0,43.73160489,-79.61744587
DELHI LONG TERM CARE CENTRE,750 Gibraltar Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,,Delhi, N4B3B3,27.0,13.0,3.0,5.0,3.0,,8.0,4.0,1.0,11.0,6.0,1.0,delhi long term care centre,,,,,60.0,Norfolk County,3528052.0,42.8420406,-80.4905752
DERBECKER'S HERITAGE HOUSE,54 Eby Street,Waterloo Wellington,For-Profit,No,Yes,No,No,,St. Jacobs, N0B2N0,10.0,6.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,,,,derbecker's heritage house,,,,,73.0,Woolwich,3530035.0,43.54089651,-80.54914374
DOM LIPA,52 Neilson Drive,Mississauga Halton,Non-Profit,No,Yes,No,No,,Etobicoke, M9C1V7,11.0,7.0,3.0,1.0,,,3.0,3.0,3.0,2.0,2.0,1.0,dom lipa,,0,,Inactive,66.0,Toronto,3520005.0,43.62949697,-79.56513824
DOUGLAS H. RAPELJE LODGE,277 Plymouth Road,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,Yes,Yes,Yes,Yes,,Welland, L3B6E3,33.0,11.0,8.0,15.0,5.0,5.0,12.0,3.0,2.0,4.0,1.0,,douglas h. rapelje lodge,,0,,Inactive,120.0,Welland,3526032.0,42.97774267,-79.24618498
DOVER CLIFFS,501 St George Street P.O. BOX 430,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Port Dover, N0A1N0,40.0,18.0,9.0,10.0,5.0,2.0,12.0,7.0,5.0,11.0,7.0,4.0,dover cliffs,,,,,70.0,Norfolk County,3528052.0,42.78788949,-80.20786437
DOWNSVIEW LONG TERM CARE CENTRE,3595 Keele Street,Central,For-Profit,Yes,Yes,Yes,Yes,,North York, M3J1M7,64.0,23.0,7.0,38.0,10.0,5.0,7.0,2.0,1.0,17.0,8.0,1.0,downsview long term care centre,66,52,70,Active,252.0,Toronto,3520005.0,43.7511842,-79.48559573
DUFFERIN OAKS,151 Centre Street,Central West,Municipal,No,Yes,Yes,No,,Shelburne, L0N1S4,24.0,14.0,6.0,8.0,6.0,3.0,8.0,4.0,3.0,2.0,2.0,,dufferin oaks,,0,,Inactive,160.0,Shelburne,3522021.0,44.07675832,-80.20035498
DUNDAS MANOR NURSING HOME,533 Clarence Street P.O. Box 970,Champlain,Non-Profit,No,Yes,Yes,Yes,,Winchester, K0C2K0,40.0,26.0,14.0,9.0,4.0,3.0,17.0,13.0,9.0,8.0,4.0,1.0,dundas manor nursing home,,,,,98.0,North Dundas,3501030.0,45.08860351,-75.35556820000002
DUNDURN PLACE CARE CENTRE,39 Mary Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Hamilton, L8R3L8,52.0,21.0,8.0,24.0,7.0,2.0,14.0,7.0,5.0,12.0,5.0,1.0,dundurn place care centre,,<5,,Inactive,201.0,Hamilton,3525005.0,43.25642639,-79.86394320000002
E. J. MCQUIGGE LODGE,38 Black Diamond Road P.O. Box 68,South East,For-Profit,Yes,Yes,No,Yes,,Cannifton, K0K1K0,24.0,10.0,5.0,9.0,2.0,2.0,8.0,5.0,3.0,1.0,,,e. j. mcquigge lodge,,,,,57.0,Belleville,3512005.0,44.19803357,-77.39029009
EAGLE TERRACE,329 Eagle Street,Central,For-Profit,No,Yes,Yes,Yes,,Newmarket, L3Y1K3,13.0,6.0,2.0,4.0,,,3.0,2.0,2.0,,,,eagle terrace,,<5,,Inactive,70.0,Newmarket,3519048.0,44.04894845,-79.46340434
EARLS COURT VILLAGE,"1390 Highbury Avenue, North",South West,For-Profit,No,Yes,Yes,Yes,,London, N5Y0B6,92.0,85.0,23.0,52.0,46.0,9.0,17.0,17.0,6.0,31.0,30.0,12.0,earls court village,,0,,Inactive,128.0,London,3539036.0,43.02686099,-81.21868721
EASTHOLME HOME FOR THE AGED,62 Big Bend Avenue P.O. Box 400,North East,Municipal,No,Yes,Yes,No,,Powassan, P0H1Z0,18.0,12.0,4.0,4.0,2.0,,9.0,6.0,3.0,1.0,1.0,1.0,eastholme home for the aged,0,0,<5,Active,128.0,Powassan,3549060.0,46.0786957,-79.35888349999998
EATONVILLE CARE CENTRE,420 The East Mall,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Etobicoke, M9B3Z9,41.0,19.0,10.0,21.0,6.0,3.0,12.0,7.0,6.0,4.0,3.0,1.0,eatonville care centre,44,42,24,Active,247.0,Toronto,3520005.0,43.64760318,-79.56046144
EDEN HOUSE NURSING HOME,5016 Wellington County Road 29 R. R. #2,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Guelph, N1H6H8,17.0,12.0,7.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,,eden house nursing home,,,,,59.0,Guelph/Eramosa,3523009.0,43.58078794,-80.16785633
EDGEWATER GARDENS LONG TERM CARE CENTRE,428 Broad Street West,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,,Dunnville, N1A1T3,21.0,15.0,10.0,10.0,6.0,5.0,3.0,2.0,2.0,6.0,5.0,2.0,edgewater gardens long term care centre,,,,,64.0,Haldimand County,3528018.0,42.90614674,-79.625957
EHATARE NURSING HOME,40 Old Kingston Road,Central East,Non-Profit,No,Yes,Yes,No,,Scarborough, M1E3J5,9.0,5.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,ehatare nursing home,,0,,Inactive,32.0,Toronto,3520005.0,43.77551412,-79.18320493
ELGIN ABBEY NURSING HOME,380 First Avenue North P.O. Box 7,South West,For-Profit,No,Yes,No,Yes,,Chesley, N0G1L0,33.0,20.0,7.0,8.0,4.0,2.0,5.0,3.0,2.0,18.0,10.0,5.0,elgin abbey nursing home,,,,,27.0,Arran-Elderslie,3541043.0,44.31058562,-81.09967099
ELGIN MANOR,39262 Fingal Line R. R. #1,South West,Municipal,Yes,Yes,Yes,No,,St. Thomas, N5P3S5,35.0,16.0,11.0,2.0,2.0,2.0,28.0,11.0,9.0,,,,elgin manor,,,,,90.0,Southwold,3534024.0,42.76901044,-81.23754879
ELGINWOOD,182 Yorkland Street,Central,For-Profit,Yes,Yes,Yes,Yes,,Richmond Hill, L4S2M9,25.0,17.0,12.0,11.0,6.0,5.0,7.0,6.0,4.0,3.0,2.0,2.0,elginwood,,,,,124.0,Richmond Hill,3519038.0,43.90172983,-79.44169122
ÉLISABETH-BRUYÈRE RESIDENCE,75 Bruyere Street,Champlain,Non-Profit,No,Yes,Yes,Yes,,Ottawa, K1N5C8,64.0,50.0,22.0,20.0,13.0,4.0,18.0,13.0,8.0,14.0,12.0,6.0,elisabeth-bruyere residence,<5,15,8,Active,71.0,Ottawa,3506008.0,45.43220386,-75.69601434
ELIZABETH CENTRE,2100 Main Street,North East,For-Profit,Yes,Yes,Yes,Yes,,Val Caron, P3N1S7,51.0,29.0,17.0,20.0,9.0,4.0,16.0,8.0,5.0,15.0,12.0,8.0,elizabeth centre,<5,0,<5,Active,128.0,Greater Sudbury / Grand Sudbury,3553005.0,46.6119611,-81.02674901
ELM GROVE LIVING CENTRE,35 Elm Grove Avenue,Toronto Central,For-Profit,No,Yes,No,Yes,,Toronto, M6K2J2,15.0,10.0,5.0,7.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,elm grove living centre,,18,,Inactive,126.0,Toronto,3520005.0,43.64031588,-79.4307008
ELMWOOD PLACE,46 Elmwood Place West,South West,For-Profit,No,Yes,Yes,Yes,,London, N6J1J2,49.0,19.0,10.0,18.0,8.0,3.0,19.0,5.0,4.0,5.0,3.0,2.0,elmwood place,,0,,Inactive,90.0,London,3539036.0,42.96948268,-81.26521352
EMO HEALTH CENTRE,170 Front Street P. O. Box 390,North West,Non-Profit,No,Yes,No,Yes,,Emo, P0W1E0,9.0,5.0,2.0,,,,,,,2.0,2.0,,emo health centre,,,,,12.0,Emo,3559019.0,48.631491,-93.842073
ERIN MILLS LODGE NURSING HOME,2132 Dundas Street West,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Mississauga, L5K2K7,35.0,21.0,6.0,13.0,6.0,1.0,6.0,4.0,2.0,7.0,6.0,1.0,erin mills lodge nursing home,29,17,22,Active,86.0,Mississauga,3521005.0,43.53474615,-79.66736096
ERRINRUNG LONG TERM CARE HOME,67 Bruce Street P.O. Box 7069,South West,For-Profit,Yes,Yes,Yes,Yes,,Thornbury, N0H2P0,30.0,13.0,5.0,19.0,7.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,errinrung long term care home,,,,,60.0,The Blue Mountains,3542045.0,44.55940799,-80.45518861
ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-ELDCAP),825  Mckinnon Drive,North East,Non-Profit,No,Yes,Yes,Yes,,Espanola, P5E1R4,10.0,6.0,3.0,,,,5.0,1.0,1.0,1.0,1.0,,espanola general hospital (operating as espanola nursing home-eldcap),,,,,30.0,Espanola,3552026.0,46.2482946,-81.78317101
ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-LTC),825 Mckinnon Drive,North East,Non-Profit,No,Yes,Yes,Yes,,Espanola, P5E1R4,16.0,12.0,4.0,2.0,2.0,1.0,7.0,3.0,2.0,3.0,3.0,,espanola general hospital (operating as espanola nursing home-ltc),,,,,32.0,Espanola,3552026.0,46.2484521,-81.7808318
EXETER VILLA,155 John Street East,South West,For-Profit,Yes,Yes,No,Yes,,Exeter, N0M1S1,18.0,11.0,7.0,5.0,3.0,3.0,7.0,4.0,3.0,1.0,1.0,1.0,exeter villa,,0,,Inactive,47.0,South Huron,3540005.0,43.34653763,-81.47441712
EXTENDICARE BAYVIEW,550 Cummer Avenue,Central,For-Profit,Yes,Yes,Yes,Yes,,North York, M2K2M2,34.0,11.0,4.0,13.0,3.0,1.0,11.0,2.0,2.0,5.0,2.0,,extendicare bayview,40,12,<5,Active,205.0,Toronto,3520005.0,43.79341251,-79.3906724
EXTENDICARE BRAMPTON,7891 Mclaughlin Road,Central West,For-Profit,No,Yes,Yes,Yes,,Brampton, L6Y5H8,26.0,17.0,10.0,13.0,6.0,4.0,3.0,3.0,3.0,8.0,7.0,4.0,extendicare brampton,11,<5,6,Active,150.0,Brampton,3521010.0,43.65536347,-79.7356338
EXTENDICARE COBOURG,130 New Densmore Road,Central East,For-Profit,No,Yes,Yes,Yes,,Cobourg, K9A5W2,42.0,20.0,7.0,20.0,9.0,3.0,11.0,6.0,3.0,5.0,,,extendicare cobourg,,,,,69.0,Cobourg,3514021.0,43.9837753,-78.17209322
EXTENDICARE FALCONBRIDGE,281 Falconbridge Road,North East,For-Profit,Yes,Yes,Yes,Yes,,Sudbury, P3A5K4,67.0,40.0,19.0,24.0,15.0,7.0,22.0,13.0,7.0,18.0,13.0,6.0,extendicare falconbridge,,,,,234.0,Greater Sudbury / Grand Sudbury,3553005.0,46.50713379,-80.93753367
EXTENDICARE GUILDWOOD,60 Guildwood Parkway,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1E1N9,39.0,18.0,10.0,16.0,2.0,2.0,12.0,6.0,3.0,12.0,10.0,5.0,extendicare guildwood,54,31,17,Active,169.0,Toronto,3520005.0,43.74686311,-79.20313123
EXTENDICARE HALIBURTON,167 Park Street P.O. Box 780,Central East,For-Profit,No,Yes,Yes,Yes,,Haliburton, K0M1S0,20.0,13.0,6.0,6.0,2.0,2.0,4.0,4.0,3.0,8.0,5.0,2.0,extendicare haliburton,,,,,60.0,Dysart et al,3546024.0,45.051712,-78.502471
EXTENDICARE HALTON HILLS,9 Lindsay Court,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Georgetown, L7G6G9,46.0,24.0,10.0,27.0,12.0,4.0,8.0,3.0,2.0,13.0,11.0,7.0,extendicare halton hills,0,0,<5,Active,130.0,Halton Hills,3524015.0,43.64922616,-79.94812796
EXTENDICARE HAMILTON,90 Chedmac Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Hamilton, L9C7S6,42.0,20.0,8.0,20.0,7.0,2.0,10.0,4.0,4.0,9.0,6.0,1.0,extendicare hamilton,,0,,Inactive,160.0,Hamilton,3525005.0,43.23730029,-79.92136612
EXTENDICARE KAPUSKASING,45 Ontario Street P.O. Box 460,North East,For-Profit,Yes,Yes,Yes,Yes,,Kapuskasing, P5N2Y5,29.0,21.0,13.0,9.0,8.0,6.0,11.0,7.0,7.0,1.0,1.0,1.0,extendicare kapuskasing,,,,,61.0,Kapuskasing,3556066.0,49.41769224,-82.41017831
EXTENDICARE KAWARTHA LAKES,125 Colborne Street East,Central East,For-Profit,No,Yes,No,Yes,,Lindsay, K0L2V0,15.0,10.0,4.0,3.0,1.0,,6.0,5.0,3.0,1.0,1.0,,extendicare kawartha lakes,,,,,64.0,Kawartha Lakes,3516010.0,44.36383334,-78.72369584
EXTENDICARE KINGSTON,309 Queen Mary Road,South East,For-Profit,No,Yes,Yes,Yes,,Kingston, K7M6P4,28.0,15.0,4.0,7.0,2.0,1.0,12.0,7.0,2.0,4.0,2.0,,extendicare kingston,,,,,150.0,Kingston,3510010.0,44.23934601,-76.53531092
EXTENDICARE KIRKLAND LAKE,155 Government Road East,North East,For-Profit,Yes,Yes,Yes,Yes,,Kirkland Lake, P2N3P4,22.0,16.0,5.0,5.0,3.0,1.0,8.0,5.0,2.0,3.0,3.0,,extendicare kirkland lake,,,,,100.0,Kirkland Lake,3554068.0,48.15597609,-80.02268375
