Antipsychotic Medication Use (%)‡*,Depression (%)*,Falls (%)‡*,Home Name,Pain (%)*,Physical Restraints Use (%)‡*,Placements for referrals from all prior locations (days)◊α,Placements for referrals from community (days)◊α,Placements for referrals from hospital (days)◊α,Pressure Ulcers (%)‡*,cleaned_home_name,index,matched,name1,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,city,postal_code_x,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,latitude,longitude,number_beds
14.1,22.8,16.6,Corporation Of The County Of Renfrew - Bonnechere Manor,4.5,0.9,328,302,663,2.2,corporation of the county of renfrew - bonnechere manor,137.0,True,bonnechere manor,470 Albert Street,Champlain,Municipal,Yes,Yes,Yes,Yes,Renfrew, K7V4L5,43.0,18.0,11.0,14.0,5.0,4.0,21.0,8.0,5.0,3.0,1.0,1.0,bonnechere manor,,0,,Inactive,Renfrew,3547048.0,45.48345932,-76.70256458,180.0
15.6,33,22.5,Corporation Of The County Of Renfrew - Miramichi Lodge,16.3,2.3,352,328,LV,3.6,corporation of the county of renfrew - miramichi lodge,138.0,True,miramichi lodge,725 Pembroke Street West,Champlain,Municipal,Yes,Yes,Yes,Yes,Pembroke, K8A8S6,30.0,18.0,10.0,11.0,8.0,5.0,15.0,7.0,5.0,1.0,1.0,1.0,miramichi lodge,,0,,Inactive,Pembroke,3547064.0,45.82684776,-77.13017355,166.0
15.3,19.2,15.7,Corporation Of The County Of Victoria - Victoria Manor Home for the Aged,6,8.5,179.5,179,206.5,1.6,corporation of the county of victoria - victoria manor home for the aged,139.0,True,victoria manor home for the aged,220 Angeline Street South,Central East,Municipal,Yes,Yes,Yes,Yes,Lindsay, K9V4R2,47.0,20.0,7.0,14.0,5.0,3.0,18.0,6.0,2.0,9.0,4.0,1.0,victoria manor home for the aged,,,,,Kawartha Lakes,3516010.0,44.33869223,-78.74399304,166.0
12.6,37.1,17.8,Corporation Of The County Of Wellington - Wellington Terrace LTC Home,4.8,1.8,156,154,433.5,1.6,corporation of the county of wellington - wellington terrace long term care home,140.0,False,wellington terrace long-term care home,474 Wellington Road 18,Waterloo Wellington,Municipal,No,Yes,Yes,No,Fergus, N1M0A1,18.0,7.0,4.0,3.0,,,9.0,4.0,4.0,1.0,,,wellington terrace long-term care home,,0,,Inactive,Centre Wellington,3523025.0,43.696534,-80.400755,176.0
12.5,22.4,13.1,Corporation Of The Town Of Kirkland Lake - Teck Pioneer Residence,9.6,6.5,173,208,106,3.2,corporation of the town of kirkland lake - teck pioneer residence,141.0,True,teck pioneer residence,145A Government Road East Postal Bag Service 1757,North East,Municipal,No,Yes,Yes,Yes,Kirkland Lake, P2N3P4,29.0,16.0,6.0,7.0,2.0,2.0,8.0,5.0,2.0,15.0,8.0,1.0,teck pioneer residence,,,,,Kirkland Lake,3554068.0,48.15345549,-80.01468335,81.0
16.3,28.5,15,Craigwiel Gardens - Craigholme,7.4,3.3,67,105.5,67,2.4,craigwiel gardens - craigholme,142.0,True,craigholme,221 Main Street R. R. #1,South West,Non-Profit,Yes,Yes,Yes,No,Ailsa Craig, N0M1A0,54.0,24.0,13.0,17.0,10.0,5.0,30.0,8.0,4.0,5.0,5.0,5.0,craigholme,,,,,North Middlesex,3539041.0,43.14535469,-81.53006982,83.0
6,37,17.5,Crown Ridge Health Care Services Inc. - Crown Ridge Place,25.1,1.9,156,202,NR,1.8,crown ridge health care services inc. - crown ridge place,143.0,True,crown ridge place,106 Crown Street,South East,For-Profit,Yes,Yes,Yes,Yes,Trenton, K8V6R3,24.0,16.0,4.0,5.0,2.0,,11.0,9.0,4.0,2.0,1.0,,crown ridge place,,,,,Quinte West,3512015.0,44.10639945,-77.56149694,116.0
9.6,36.8,18.7,Crown Ridge Health Care Services Inc. - Westgate Lodge Nursing Home,3.6,1,94.5,78,96,3,crown ridge health care services inc. - westgate lodge nursing home,144.0,True,westgate lodge nursing home,37 Wilkie Street,South East,For-Profit,Yes,Yes,Yes,Yes,Belleville, K8P4E4,42.0,23.0,12.0,11.0,4.0,4.0,26.0,15.0,7.0,1.0,1.0,1.0,westgate lodge nursing home,,,,,Belleville,3512005.0,44.14702066,-77.40620279,88.0
ST,18.5,10.4,Dallov Holdings Ltd - Maple Villa LTC Centre,0,1.8,110.5,68,LV,2.1,dallov holdings ltd - maple villa long term care centre,145.0,True,maple villa long term care centre,441 Maple Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7S1L8,18.0,11.0,5.0,8.0,6.0,3.0,4.0,2.0,2.0,4.0,1.0,,maple villa long term care centre,,,,,Burlington,3524002.0,43.31995171,-79.80289539,93.0
7,34.3,17.8,Deem Management Services Ltd - Pinehaven Nursing Home,1,0,67,68,61,2.5,deem management services ltd - pinehaven nursing home,146.0,True,pinehaven nursing home,229 Lexington Road,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Waterloo, N2K2E1,39.0,19.0,7.0,14.0,7.0,2.0,13.0,6.0,3.0,3.0,2.0,1.0,pinehaven nursing home,,0,,Inactive,Waterloo,3530016.0,43.4926954,-80.51167673,84.0
30.2,30.5,22,Deep River And District Hospital - The Four Seasons Lodge,6.1,11.8,LV,LV,LV,4.2,deep river and district hospital - the four seasons lodge,147.0,True,the four seasons lodge,117 Banting Drive,Champlain,Non-Profit,No,Yes,No,Yes,Deep River, K0J1P0,12.0,8.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,the four seasons lodge,,,,,Deep River,3547096.0,46.09087579,-77.47500669,14.0
20.3,34.8,15.2,Derbecker's Heritage House Ltd - Derbecker's Heritage House,1.9,0,101,143,LV,2,derbecker's heritage house ltd - derbecker's heritage house,148.0,True,derbecker's heritage house,54 Eby Street,Waterloo Wellington,For-Profit,No,Yes,No,No,St. Jacobs, N0B2N0,10.0,6.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,,,,derbecker's heritage house,,,,,Woolwich,3530035.0,43.54089651,-80.54914374,73.0
26.8,14.4,11.7,"Diversicare Canada Management Services Co., Inc. - Downsview LTC Centre",0,3.4,75,84,69.5,1.7,"diversicare canada management services co., inc. - downsview long term care centre",149.0,True,downsview long term care centre,3595 Keele Street,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M3J1M7,64.0,23.0,7.0,38.0,10.0,5.0,7.0,2.0,1.0,17.0,8.0,1.0,downsview long term care centre,66,52,70,Active,Toronto,3520005.0,43.7511842,-79.48559573,252.0
25,19,17,"Diversicare Canada Management Services Co., Inc. - Hardy Terrace",9.7,6.6,136,107,158,4.6,"diversicare canada management services co., inc. - hardy terrace",150.0,True,hardy terrace,612 Mount Pleasant Road R. R. #2,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Brantford, N3T5L5,47.0,21.0,13.0,20.0,7.0,5.0,16.0,7.0,5.0,14.0,7.0,5.0,hardy terrace,,,,,Brant,3529005.0,43.0876862,-80.3068167,101.0
11.4,41.3,18.2,"Diversicare Canada Management Services Co., Inc. - Perth Community Care Centre",8,15.3,129,127,129,3.8,"diversicare canada management services co., inc. - perth community care centre",151.0,True,perth community care centre,101 Christie Lake Road R. R. #4,South East,For-Profit,No,Yes,Yes,Yes,Perth, K7H3C6,40.0,24.0,14.0,12.0,6.0,4.0,11.0,10.0,6.0,12.0,4.0,3.0,perth community care centre,,,,,Tay Valley,3509015.0,44.90433714,-76.27097938,121.0
31.6,34.9,13.5,"Diversicare Canada Management Services Co., Inc. - Tilbury Manor Nursing Home",0.7,0,43.5,36,55,3.3,"diversicare canada management services co., inc. - tilbury manor nursing home",152.0,True,tilbury manor nursing home,16 Fort Street P.O. Box 160,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Tilbury, N0P2L0,33.0,20.0,7.0,16.0,6.0,2.0,9.0,7.0,3.0,3.0,3.0,,tilbury manor nursing home,,,,,Chatham-Kent,3536020.0,42.25877139,-82.43044492,75.0
23.7,16.8,14.5,"Diversicare Canada Management Services Co., Inc. - Villa Marconi",6.9,1,355,347,LV,4.7,"diversicare canada management services co., inc. - villa marconi",153.0,True,villa marconi,1026 Baseline Road,Champlain,Non-Profit,No,Yes,Yes,Yes,Ottawa, K2C0A6,53.0,40.0,21.0,25.0,16.0,10.0,16.0,13.0,7.0,8.0,8.0,5.0,villa marconi,,0,,Inactive,Ottawa,3506008.0,45.36599844,-75.72703304,128.0
28.1,27.1,28.6,"Diversicare Canada Management Services Co., Inc. - West Park Health Centre",4.9,2.6,50,50,52,5.8,"diversicare canada management services co., inc. - west park health centre",154.0,True,west park health centre,103 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,St Catharines, L2S1S9,49.0,23.0,11.0,22.0,7.0,5.0,6.0,5.0,4.0,19.0,8.0,3.0,west park health centre,<5,<5,0,Active,St. Catharines,3526053.0,43.140947,-79.25086429999998,101.0
21.3,19.3,14.4,Don Mills Foundation For Senior Citizens Inc. - Thompson House,1.2,37.2,70.5,74,LV,3.2,don mills foundation for senior citizens inc. - thompson house,155.0,True,thompson house,1 Overland Drive,Central,Non-Profit,No,Yes,Yes,No,North York, M3C2C3,16.0,12.0,7.0,6.0,2.0,2.0,4.0,4.0,4.0,6.0,4.0,3.0,thompson house,0,0,<5,Active,Toronto,3520005.0,43.7324901,-79.34677178,136.0
19.8,22.3,8.5,Drs Paul And John Rekai Centre - Drs. Paul and John Rekai Centre,2.7,3.8,233,214.5,LV,1.8,drs paul and john rekai centre - drs. paul and john rekai centre,156.0,True,sherbourne place,345 Sherbourne Street,Toronto Central,Non-Profit,Yes,Yes,No,Yes,Toronto, M5A2S3,31.0,17.0,5.0,14.0,6.0,2.0,9.0,3.0,1.0,4.0,4.0,1.0,sherbourne place,19,19,10,Active,Toronto,3520005.0,43.66267759,-79.37266528,126.0
17.5,17.1,10.3,Drs Paul And John Rekai Centre - Wellesley Central Place,1,2.2,382,380.5,LV,1.7,drs paul and john rekai centre - wellesley central place,157.0,True,wellesley central place,160 Wellesley Street East,Toronto Central,Non-Profit,Yes,Yes,Yes,Yes,Toronto, M4Y1J2,36.0,24.0,10.0,18.0,11.0,3.0,13.0,9.0,6.0,5.0,4.0,2.0,wellesley central place,28,18,10,Active,Toronto,3520005.0,43.66687279,-79.37566588,150.0
21.2,21,23.7,Dundas Manor Ltd - Dundas Manor Nursing Home,12,8.1,108,117.5,25.5,2.9,dundas manor ltd - dundas manor nursing home,158.0,True,dundas manor nursing home,533 Clarence Street P.O. Box 970,Champlain,Non-Profit,No,Yes,Yes,Yes,Winchester, K0C2K0,40.0,26.0,14.0,9.0,4.0,3.0,17.0,13.0,9.0,8.0,4.0,1.0,dundas manor nursing home,,,,,North Dundas,3501030.0,45.08860351,-75.35556820000002,98.0
19.5,35.6,18.3,East District Of Parry Sound Home For The Aged - Eastholme Home for the Aged,12,3.4,195,181,LV,2.1,east district of parry sound home for the aged - eastholme home for the aged,159.0,True,eastholme home for the aged,62 Big Bend Avenue P.O. Box 400,North East,Municipal,No,Yes,Yes,No,Powassan, P0H1Z0,18.0,12.0,4.0,4.0,2.0,,9.0,6.0,3.0,1.0,1.0,1.0,eastholme home for the aged,0,0,<5,Active,Powassan,3549060.0,46.0786957,-79.35888349999998,128.0
17.1,30.4,24,Eden House Care Facility Inc. - Eden House Nursing Home,12.4,0,436,433,LV,1.9,eden house care facility inc. - eden house nursing home,160.0,True,eden house nursing home,5016 Wellington County Road 29 R. R. #2,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Guelph, N1H6H8,17.0,12.0,7.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,,eden house nursing home,,,,,Guelph/Eramosa,3523009.0,43.58078794,-80.16785633,59.0
25.5,33.2,12.5,Elgin County - Bobier Villa,14.4,9.8,LV,LV,NR,3,elgin county - bobier villa,161.0,True,bobier villa,1 Bobier Lane,South West,Municipal,Yes,Yes,Yes,No,Dutton, N0L1J0,19.0,8.0,2.0,4.0,3.0,1.0,10.0,1.0,,,,,bobier villa,,,,,Dutton/Dunwich,3534030.0,42.66709281,-81.51387127,57.0
21.2,27.8,20.1,Elgin County - Elgin Manor,17.3,12.6,252,310.5,LV,2.2,elgin county - elgin manor,162.0,True,elgin manor,39262 Fingal Line R. R. #1,South West,Municipal,Yes,Yes,Yes,No,St. Thomas, N5P3S5,35.0,16.0,11.0,2.0,2.0,2.0,28.0,11.0,9.0,,,,elgin manor,,,,,Southwold,3534024.0,42.76901044,-81.23754879,90.0
12.1,37.3,20.4,Elgin County - Terrace Lodge,12.5,16.4,98,147,53,5.6,elgin county - terrace lodge,163.0,True,terrace lodge,475 Talbot Street East 49462 Talbot Line,South West,Municipal,Yes,Yes,Yes,No,Aylmer, N5H3A5,33.0,22.0,12.0,10.0,6.0,2.0,15.0,10.0,9.0,3.0,2.0,1.0,terrace lodge,,,,,Malahide,3534010.0,42.7710963,-80.9682813,100.0
19.6,10.4,6.9,Espanola General Hospital - Espanola Nursing Home,5.6,10.9,399,359,698,1.3,espanola general hospital - espanola nursing home,165.0,False,espanola general hospital (operating as espanola nursing home-ltc),825 Mckinnon Drive,North East,Non-Profit,No,Yes,Yes,Yes,Espanola, P5E1R4,16.0,12.0,4.0,2.0,2.0,1.0,7.0,3.0,2.0,3.0,3.0,,espanola general hospital (operating as espanola nursing home-ltc),,,,,Espanola,3552026.0,46.2484521,-81.7808318,32.0
9.1,15.3,18.2,Estonian Relief Committee In Canada - Ehatare Nursing Home,3,0,386,386,NR,3.7,estonian relief committee in canada - ehatare nursing home,166.0,True,ehatare nursing home,40 Old Kingston Road,Central East,Non-Profit,No,Yes,Yes,No,Scarborough, M1E3J5,9.0,5.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,ehatare nursing home,,0,,Inactive,Toronto,3520005.0,43.77551412,-79.18320493,32.0
18.2,24.8,22.2,Extendicare (Canada) Inc. - Bayfield Manor Nursing Home,8.5,7.2,564,564,NR,5,extendicare (canada) inc. - bayfield manor nursing home,167.0,False,bayfield manor,100 Elvira Street P.O. Bag 3000,Champlain,For-Profit,No,Yes,Yes,No,Kemptville, K0G1J0,22.0,17.0,4.0,3.0,2.0,,7.0,7.0,3.0,5.0,4.0,,bayfield manor,,,,,North Grenville,3507065.0,45.01874519,-75.65323739,66.0
16.9,7.4,12.5,Extendicare (Canada) Inc. - Bayview,1.5,1.2,114.5,131.5,77,2.4,extendicare (canada) inc. - bayview,168.0,False,extendicare bayview,550 Cummer Avenue,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M2K2M2,34.0,11.0,4.0,13.0,3.0,1.0,11.0,2.0,2.0,5.0,2.0,,extendicare bayview,40,12,<5,Active,Toronto,3520005.0,43.79341251,-79.3906724,205.0
19.7,38,20.4,Extendicare (Canada) Inc. - Bennett Health Care Centre,6.1,0.7,150,108,LV,2.1,extendicare (canada) inc. - bennett health care centre,169.0,True,bennett health care centre,1 Princess Anne Drive,Mississauga Halton,Non-Profit,No,Yes,Yes,Yes,Georgetown, L7G2B8,24.0,14.0,6.0,8.0,3.0,2.0,8.0,4.0,3.0,6.0,6.0,3.0,bennett health care centre,<5,0,0,Active,Halton Hills,3524015.0,43.64477486,-79.93394806,66.0
17.5,25.3,18.8,Extendicare (Canada) Inc. - Birchwood Terrace,7,14.1,44,56,17,4.9,extendicare (canada) inc. - birchwood terrace,170.0,True,birchwood terrace,237 Lakeview Drive R. R. #1,North West,For-Profit,Yes,Yes,Yes,Yes,Kenora, P9N4J7,53.0,31.0,14.0,19.0,10.0,5.0,19.0,9.0,5.0,20.0,17.0,6.0,birchwood terrace,,,,,Kenora,3560010.0,49.76559284,-94.504978,96.0
25.4,18.1,19.2,Extendicare (Canada) Inc. - Blackadar Continuing Care Centre,13.3,5.3,101,134,21,3.8,extendicare (canada) inc. - blackadar continuing care centre,171.0,True,blackadar continuing care centre,101 Creighton Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No,Dundas, L9H3B7,31.0,19.0,9.0,10.0,3.0,1.0,4.0,3.0,2.0,11.0,9.0,6.0,blackadar continuing care centre,,0,,Inactive,Hamilton,3525005.0,43.26120069,-79.96830854,80.0
27,14.8,21.3,Extendicare (Canada) Inc. - Brampton,8.4,2.4,80,81,102.5,3.2,extendicare (canada) inc. - brampton,172.0,False,extendicare brampton,7891 Mclaughlin Road,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6Y5H8,26.0,17.0,10.0,13.0,6.0,4.0,3.0,3.0,3.0,8.0,7.0,4.0,extendicare brampton,11,<5,6,Active,Brampton,3521010.0,43.65536347,-79.7356338,150.0
21.1,37.1,20.2,Extendicare (Canada) Inc. - Chelsey Park (Oxford) Nursing Home,4.5,6.9,70.5,94.5,36.5,4.9,extendicare (canada) inc. - chelsey park (oxford) nursing home,173.0,False,chelsey park,310 Oxford Street West,South West,For-Profit,Yes,Yes,Yes,Yes,London, N6H4N6,73.0,36.0,16.0,24.0,12.0,3.0,38.0,19.0,11.0,5.0,2.0,1.0,chelsey park,0,0,<5,Active,London,3539036.0,42.98760838,-81.27670392,247.0
16.3,48.4,14.5,Extendicare (Canada) Inc. - Cobourg,7,0,568,495,LV,2.9,extendicare (canada) inc. - cobourg,174.0,False,extendicare cobourg,130 New Densmore Road,Central East,For-Profit,No,Yes,Yes,Yes,Cobourg, K9A5W2,42.0,20.0,7.0,20.0,9.0,3.0,11.0,6.0,3.0,5.0,,,extendicare cobourg,,,,,Cobourg,3514021.0,43.9837753,-78.17209322,69.0
28.9,30.4,25.8,Extendicare (Canada) Inc. - Country Lane LTC Residence,7.2,0,27,LV,LV,1.3,extendicare (canada) inc. - country lane long term care residence,175.0,True,country lane long term care residence,"R. R. #3, 317079 Hwy 6 & 10",South West,For-Profit,No,Yes,Yes,Yes,Chatsworth, N0H1G0,21.0,8.0,2.0,5.0,1.0,,6.0,1.0,1.0,7.0,3.0,,country lane long term care residence,,,,,Chatsworth,3542037.0,44.4657069,-80.9030782,34.0
23,41.9,14.1,Extendicare (Canada) Inc. - Country Village Health Care Centre,3.2,6.7,62,62,28,4.2,extendicare (canada) inc. - country village health care centre,176.0,False,country village homes - woodslee,440 County Road 8 R. R. #2,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Woodslee, N0R1V0,62.0,25.0,9.0,33.0,12.0,4.0,17.0,9.0,3.0,6.0,2.0,1.0,country village homes - woodslee,,18,,Inactive,Kingsville,3537013.0,42.17241110000001,-82.72129740000003,104.0
18.3,15.7,13.4,Extendicare (Canada) Inc. - Craiglee Nursing Home,6.4,2,107,120,128,2.7,extendicare (canada) inc. - craiglee nursing home,177.0,True,craiglee nursing home,102 Craiglee Drive,Central East,For-Profit,No,Yes,Yes,Yes,Scarborough, M1N2M7,65.0,26.0,17.0,35.0,15.0,11.0,18.0,4.0,4.0,12.0,8.0,6.0,craiglee nursing home,<5,<5,5,Active,Toronto,3520005.0,43.706865,-79.25329325,169.0
21.3,35.3,21.6,Extendicare (Canada) Inc. - Dearness Home for Senior Citizens,1.5,1.1,180,174.5,184.5,2.3,extendicare (canada) inc. - dearness home for senior citizens,178.0,True,dearness home for senior citizens,710 Southdale Road East,South West,Municipal,Yes,Yes,Yes,Yes,London, N6E1R8,76.0,33.0,16.0,30.0,12.0,6.0,39.0,18.0,10.0,3.0,1.0,,dearness home for senior citizens,,,,,London,3539036.0,42.94410837,-81.2242039,243.0
18.9,38.6,18.5,Extendicare (Canada) Inc. - F.J. Davey Home,3.1,12.9,173,202,128,5,extendicare (canada) inc. - f.j. davey home,179.0,False,f. j. davey home,733 Third Line East,North East,Non-Profit,No,Yes,Yes,Yes,Sault Ste Marie, P6A7C1,65.0,25.0,10.0,28.0,8.0,4.0,15.0,9.0,4.0,22.0,6.0,2.0,f. j. davey home,,,,,Sault Ste. Marie,3557061.0,46.55212210000001,-84.3119845,374.0
22.8,19.6,18.1,Extendicare (Canada) Inc. - Falconbridge,7.5,1.9,47,55.5,29.5,3.2,extendicare (canada) inc. - falconbridge,180.0,False,extendicare falconbridge,281 Falconbridge Road,North East,For-Profit,Yes,Yes,Yes,Yes,Sudbury, P3A5K4,67.0,40.0,19.0,24.0,15.0,7.0,22.0,13.0,7.0,18.0,13.0,6.0,extendicare falconbridge,,,,,Greater Sudbury / Grand Sudbury,3553005.0,46.50713379,-80.93753367,234.0
25.2,35.3,13,Extendicare (Canada) Inc. - Georgian Heights,9.6,0,41,35,41,2.7,extendicare (canada) inc. - georgian heights,181.0,True,georgian heights,1115-10th Street East,South West,For-Profit,No,Yes,Yes,Yes,Owen Sound, N4K6B1,20.0,9.0,4.0,3.0,,,5.0,2.0,2.0,13.0,8.0,3.0,georgian heights,,,,,Owen Sound,3542059.0,44.56929937,-80.92272196,40.0
20.2,8.4,18.9,Extendicare (Canada) Inc. - Guildwood,1.7,0.1,156,130,177,3,extendicare (canada) inc. - guildwood,182.0,False,extendicare guildwood,60 Guildwood Parkway,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1E1N9,39.0,18.0,10.0,16.0,2.0,2.0,12.0,6.0,3.0,12.0,10.0,5.0,extendicare guildwood,54,31,17,Active,Toronto,3520005.0,43.74686311,-79.20313123,169.0
24.1,28.4,28.9,Extendicare (Canada) Inc. - Haliburton,20.9,0,169,176,LV,2.8,extendicare (canada) inc. - haliburton,183.0,False,extendicare haliburton,167 Park Street P.O. Box 780,Central East,For-Profit,No,Yes,Yes,Yes,Haliburton, K0M1S0,20.0,13.0,6.0,6.0,2.0,2.0,4.0,4.0,3.0,8.0,5.0,2.0,extendicare haliburton,,,,,Dysart et al,3546024.0,45.051712,-78.502471,60.0
25.5,30.6,21.1,Extendicare (Canada) Inc. - Halton Hills,2.8,6.5,240.5,251,LV,2.9,extendicare (canada) inc. - halton hills,184.0,False,extendicare halton hills,9 Lindsay Court,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Georgetown, L7G6G9,46.0,24.0,10.0,27.0,12.0,4.0,8.0,3.0,2.0,13.0,11.0,7.0,extendicare halton hills,0,0,<5,Active,Halton Hills,3524015.0,43.64922616,-79.94812796,130.0
22.3,13.9,16.3,Extendicare (Canada) Inc. - Hamilton,14.2,1.8,103,112,83.5,2.2,extendicare (canada) inc. - hamilton,185.0,False,extendicare hamilton,90 Chedmac Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L9C7S6,42.0,20.0,8.0,20.0,7.0,2.0,10.0,4.0,4.0,9.0,6.0,1.0,extendicare hamilton,,0,,Inactive,Hamilton,3525005.0,43.23730029,-79.92136612,160.0
13.5,41.4,21,Extendicare (Canada) Inc. - Hamilton Continuing Care,7.8,0,71.5,161,71.5,4.1,extendicare (canada) inc. - hamilton continuing care,186.0,True,hamilton continuing care,125 Wentworth Street South,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,Hamilton, L8N2Z1,42.0,21.0,8.0,14.0,3.0,1.0,13.0,6.0,3.0,13.0,10.0,3.0,hamilton continuing care,,,,,Hamilton,3525005.0,43.24791349,-79.8504795,64.0
15.3,33.2,18.7,Extendicare (Canada) Inc. - Hope Street Terrace,9.3,3.8,149,168,125,3.8,extendicare (canada) inc. - hope street terrace,187.0,True,hope street terrace,20 Hope Street South,Central East,For-Profit,Yes,Yes,No,Yes,Port Hope, L1A2M8,41.0,22.0,10.0,8.0,4.0,2.0,19.0,11.0,6.0,6.0,1.0,1.0,hope street terrace,,,,,Port Hope,3514020.0,43.95459039,-78.28837976,97.0
19.6,16.2,14.4,Extendicare (Canada) Inc. - Kapuskasing,7,3.7,214,LV,146.5,1.5,extendicare (canada) inc. - kapuskasing,188.0,False,extendicare kapuskasing,45 Ontario Street P.O. Box 460,North East,For-Profit,Yes,Yes,Yes,Yes,Kapuskasing, P5N2Y5,29.0,21.0,13.0,9.0,8.0,6.0,11.0,7.0,7.0,1.0,1.0,1.0,extendicare kapuskasing,,,,,Kapuskasing,3556066.0,49.41769224,-82.41017831,61.0
7,19.8,15.2,Extendicare (Canada) Inc. - Kawartha Lakes,4.9,4.6,678,617,LV,2.8,extendicare (canada) inc. - kawartha lakes,189.0,False,extendicare kawartha lakes,125 Colborne Street East,Central East,For-Profit,No,Yes,No,Yes,Lindsay, K0L2V0,15.0,10.0,4.0,3.0,1.0,,6.0,5.0,3.0,1.0,1.0,,extendicare kawartha lakes,,,,,Kawartha Lakes,3516010.0,44.36383334,-78.72369584,64.0
7.7,22.8,17.3,Extendicare (Canada) Inc. - Kingston,11.4,2.4,67,53,96,0.9,extendicare (canada) inc. - kingston,190.0,False,extendicare kingston,309 Queen Mary Road,South East,For-Profit,No,Yes,Yes,Yes,Kingston, K7M6P4,28.0,15.0,4.0,7.0,2.0,1.0,12.0,7.0,2.0,4.0,2.0,,extendicare kingston,,,,,Kingston,3510010.0,44.23934601,-76.53531092,150.0
20,22.2,18.4,Extendicare (Canada) Inc. - Kirkland Lake,20.2,0.8,48,46,54.5,1.9,extendicare (canada) inc. - kirkland lake,191.0,False,extendicare kirkland lake,155 Government Road East,North East,For-Profit,Yes,Yes,Yes,Yes,Kirkland Lake, P2N3P4,22.0,16.0,5.0,5.0,3.0,1.0,8.0,5.0,2.0,3.0,3.0,,extendicare kirkland lake,,,,,Kirkland Lake,3554068.0,48.15597609,-80.02268375,100.0
16.3,18.1,20.9,Extendicare (Canada) Inc. - Lakefield,15.4,1.3,674,627,LV,3.7,extendicare (canada) inc. - lakefield,192.0,False,extendicare lakefield,19 Fraser Street,Central East,For-Profit,Yes,Yes,Yes,Yes,Lakefield, K0L2H0,19.0,13.0,4.0,6.0,5.0,2.0,5.0,2.0,1.0,5.0,2.0,,extendicare lakefield,,0,,Inactive,Selwyn,3515015.0,44.42419477,-78.28153509999999,100.0
25,4.5,15,Extendicare (Canada) Inc. - Lakeside LTC Centre,0,1.2,368,358.5,LV,2.8,extendicare (canada) inc. - lakeside long term care centre,193.0,True,lakeside long term care centre,150 Dunn Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,Yes,Toronto, M6K2R6,14.0,9.0,4.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,,,lakeside long term care centre,,,,,Toronto,3520005.0,43.636584,-79.43316800000002,128.0
25.1,36.4,19.7,Extendicare (Canada) Inc. - Laurier Manor,2.9,9.6,38,42,44.5,1.3,extendicare (canada) inc. - laurier manor,194.0,False,extendicare laurier manor,1715 Montreal Road,Champlain,For-Profit,No,Yes,Yes,Yes,Gloucester, K1J6N4,85.0,52.0,15.0,41.0,24.0,6.0,34.0,20.0,8.0,5.0,5.0,,extendicare laurier manor,<5,25,<5,Active,Ottawa,3506008.0,45.44640676,-75.61084101,242.0
11.3,15,19,Extendicare (Canada) Inc. - London,14.4,0,65,74,45,2.9,extendicare (canada) inc. - london,195.0,False,extendicare london,860 Waterloo Street,South West,For-Profit,Yes,Yes,Yes,Yes,London, N6A3W6,61.0,25.0,12.0,29.0,10.0,3.0,24.0,11.0,7.0,3.0,1.0,1.0,extendicare london,,,,,London,3539036.0,43.00042548,-81.24860602,170.0
21,28.8,21.4,Extendicare (Canada) Inc. - Maitland Manor,12.9,4.8,23.5,26.5,23,5.1,extendicare (canada) inc. - maitland manor,196.0,True,maitland manor,290 South Street,South West,For-Profit,Yes,Yes,Yes,Yes,Goderich, N7A4G6,35.0,21.0,10.0,12.0,6.0,3.0,16.0,9.0,5.0,7.0,5.0,4.0,maitland manor,<5,0,0,Active,Goderich,3540028.0,43.73314149,-81.71190013,91.0
